Authors,Year,First author and year,Title,DOI,Number (% female),Age,Type of MS,Severity,Duration of disease in years,Treatments,Comorbidities,"Comparator population, number (number of females)",Wearable,Context,Duration wearable was worn,Does the study have a clearly defined research objective (including an outcome)?,Does the study adequately describe the inclusion/exclusion criteria?,"Does the study report on the population parameters/demographics (at least age, sex)?","Does the study report details on assessment of MS (severity [EDSS or PDSS], type)?","Does the study provide sufficient details on the wearables used (type, positioning of wearable, context, recording frequency)?",Does the study apply proper statistical analysis? Correction for multiple comparisons?,"Does the study adequately report the strength of the results (e.g., ways of calculating effect sizes, reporting confidence intervals/standard deviation?",Does the study make the data and/or code publicly available?,Do the authors report on the limitations of their study?,sensors_type_plot,axes
"Solomon A.J., Jacobs J.V., Lomond K.V., Henry S.M.",2015,"Solomon et al, 2015",Detection of postural sway abnormalities by wireless inertial sensors in minimally disabled patients with multiple sclerosis: A case-control study,10.1186/S12984-015-0066-9,20 (80.0),"40 (mean), 95% CI: 35-45",not reported,"EDSS: 2.0 (median), range: 1.0-2.5","4 (mean), 95% CI: 1-7",exclusion criteria: Dalfampridine medication,"exclusion criteria: severe pain that limited mobility, significant vision impairment limiting mobility or balance, and any additional neurological or medical conditions that may impair walking or balance, including but not limited to stroke, neuropathy, low back pain, depression, or arthritis","healthy
n=20 (80% female)
age: not reported","Opal system
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 6
Primary position: sternum, lower back, wrist, ankle",lab setting (controlled),15 minutes (for MS patients: 21 minutes),yes,yes,yes,applies partially,yes,yes,yes,no,no,"accelerometer, gyroscope, magnetometer",3
"Kahraman T., Savci S., Coskuner-Poyraz E., Ozakbas S., Idiman E.",2015,"Kahraman et al, 2015",Determinants of physical activity in minimally impaired people with multiple sclerosis,10.1016/J.CLINEURO.2015.07.018,52 (67.3),36 (8),"RR: n=43,
clinically isolated syndrom: n=9",EDSS: 1.5 (1.0),5 (4.0),not reported,not reported,none,"Caltrac
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: waist",real-life setting,7 days,yes,yes,yes,yes,applies partially,yes,yes,no,yes,accelerometer,3
R. Motl,2015,"Motl et al, 2015",Does the effect of a physical activity behavioral intervention vary by characteristics of people with multiple sclerosis?,10.7224/1537-2073.2014-016,41 (73.2),48.4 (9.1),"RR: n=31, 
P/SP: n=10","PDDS mild: n=22,
PDDS moderate: n=19",10.6 (7.1),subjects taking symptomatic medications: n=23,not reported,"Waitlist control (MS patients)
n=41 (78% female)
age: 49.5 (9.2)
Type: RR: n=43, PP: n=7, SP: n=7
Severity of MS: PDDS mild: n=17, PDDS moderate: n=24
Disease duration [yrs]: 13.0 (9.1)","Yamax SW-401
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: waist",real-life setting,7 days,yes,yes,yes,yes,applies partially,yes,yes,no,yes,accelerometer,3
"Stellmann J.P., Neuhaus A., Götze N., Briken S., Lederer C., Schimpl M., Heesen C., Daumer M.",2015,"Stellmann et al, 2015",Ecological validity of walking capacity tests in multiple sclerosis,10.1371/JOURNAL.PONE.0123822,28 (64.3),"45 [38-51], range: 27-68","RR: n=14,
PP: n=5, 
SP: n=8","EDSS:  3.2 [2.5-4.1], range: 1-6.5"," 9 [4-17], range: 1-24",not reported,not reported,none,"Actibelt
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: waist",both,7 days,yes,no,yes,yes,yes,applies partially,yes,no,yes,accelerometer,3
"Kasser S.L., Jacobs J.V., Ford M., Tourville T.W.",2015,"Kasser et al, 2015","Effects of balance-specific exercises on balance, physical activity and quality of life in adults with multiple sclerosis: a pilot investigation",10.3109/09638288.2015.1019008,10 (80.0),"52 (mean),  95% CI: 45-59","RR: n=7, 
PP: n=2,
SP: n=1","EDSS: 3.1 (1.73), range: 1-6",not reported,not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer, motion tracker
Number of axes: 2
Number of wearables: 1
Primary position: not reported",both,7 days,yes,yes,yes,yes,yes,applies partially,no,no,yes,"accelerometer, gyroscope, magnetometer",3
"Bove R., White C.C., Giovannoni G., Glanz B., Golubchikov V., Hujol J., Jennings C., Langdon D., Lee M., Legedza A., Paskavitz J., Prasad S., Richert J., Robbins A., Roberts S., Weiner H., Ramachandran R., Botfield M., De Jager P.L.",2015,"Bove et al, 2015",Evaluating more naturalistic outcome measures,10.1212/NXI.0000000000000162,22 (72.7),34.3 (11.0),"RR: n=15,
PP: n=9,  
SP: n=4, 
clinically isolated syndrom: n=0, 
neruomyelitis optica: n=1, 
MS: n=1, 
undefined: n=1",EDSS: 2.5 (2.4),8.0 (6.0),not reported,not reported,"healthy cohabitants
n=17 (53% female)
age: 39.9 (10.5)","Smartphone
Type of sensor: touchscreen
Number of axes: NA
Number of wearables: 1
Primary position: hand",real-life setting,12 months,yes,no,yes,yes,applies partially,applies partially,yes,no,yes,smartphone/touchscreen,NA
"Sandroff B.M., Motl R.W., Sosnoff J.J., Pula J.H.",2015,"Sandroff et al, 2015",Further validation of the Six-Spot Step Test as a measure of ambulation in multiple sclerosis,10.1016/J.GAITPOST.2014.10.011,96 (80.2),52.7 (11.1),"RR: n=79,
P: n=13,
not reported: n=4","EDSS: 4.5 (median), range: 2-6.5, 
assistive device use: 
--> none: n=62,
--> cane: n=29,
--> walker: n=5",11.8 (10.0),not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: waist",real-life setting,7 days,yes,yes,yes,yes,applies partially,applies partially,yes,no,yes,accelerometer,3
"Carpinella I., Cattaneo D., Ferrarin M.",2015,"Carpinella et al, 2015",Hilbert-Huang transform based instrumental assessment of intention tremor in multiple sclerosis,10.1088/1741-2560/12/4/046011,20 (40.0),46.4 (8.5),"RR: n=9, 
PP: n=4, 
SP: n=7","EDSS: 6.2 (1.6), range: 2-8.5","15 .4 (11.6), range: 1-33",not reported,not reported,"healthy cohabitants
n=13 (38% female)
age: 44.2 (9)","Xsens
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 1
Primary position: hand",lab setting (controlled),not reported,yes,yes,yes,yes,yes,yes,yes,no,yes,"accelerometer, gyroscope, magnetometer",3
"Blikman L.J., Van Meeteren J., Horemans H.L., Kortenhorst I.C., Beckerman H., Stam H.J., Bussmann J.B.",2015,"Blikman et al, 2015",Is physical behavior affected in fatigued persons with multiple sclerosis?,10.1016/J.APMR.2014.08.023,"23 (78.3)
(MS with fatigue)","45.7 (10.2), range: 24-66","RR: n=20, 
SP: n=3","EDSS : 2.0 [3.0],
Fatigue severity scale: 5.4 (1.), range: 2-6.6,
checklist individual strength fatigue domain: 43.2 (6.6), range: 32-54","9.3 (7.1), range: 0-21",exclusion criterion: no initiation or change to pharmacologic treatment for fatigue during the previous 3 months,exclusion criterion: no depression,"healthy (nonfatigued)
n=23 (78% female)
age: 45.7(10.2), range: 27-67","ActiGraph
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: waist",real-life setting,7 days,yes,yes,yes,yes,yes,yes,yes,no,yes,accelerometer,3
"Ezeugwu V., Klaren R.E., Hubbard E.A., Manns P., Motl R.W.",2015,"Ezeugwu et al, 2015",Mobility disability and the pattern of accelerometer-derived sedentary and physical activity behaviors in people with multiple sclerosis,10.1016/J.PMEDR.2015.03.007,"439 (84.7)
(mobility disability:
absense [PDDS <= 2]: n=245,
presence [PDDS >= 3]:  n=194)",47.3 (10.0),"RR: n=395,
PP: n=9, 
SP: n=27, 
benign: n=6","PDDS<=2: n=245,
PDDS>=3 : n=194","<= 10 years:  n=279,
> 10 years: n=159",not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Primary position: waist",real-life setting,7 days,yes,yes,yes,yes,yes,applies partially,yes,no,yes,accelerometer,1
"Klaren R.E., Hubbard E.A., Motl R.W., Pilutti L.A., Wetter N.C., Sutton B.P.",2015,"Klaren et al, 2015",Objectively Measured Physical Activity Is Associated with Brain Volumetric Measurements in Multiple Sclerosis,10.1155/2015/482536,39 (76.9),48.7 (9.6),"RR: n=30, 
P: n=9",EDSS: 4.5 [2.5],10.3 (8.5),not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: not reported",real-life setting,7 days,yes,yes,yes,yes,applies partially,applies partially,yes,no,yes,accelerometer,3
"Rice I.M., Rice L.A., Motl R.W.",2015,"Rice et al, 2015",Promoting Physical Activity Through a Manual Wheelchair Propulsion Intervention in Persons with Multiple Sclerosis,10.1016/J.APMR.2015.06.011,"9 (66.7)
(intervention group)",53.3 (11.1),"RR: n=3,
PP: n=2,
SP: n=4",inclusion criteria: bilateral gross upperextremity strength of at least 4-/5 and full-time wheelchair user (use of power or manual for>40h/wk and>80% ambulation,13.2 (8.9),not reported,exclusion criterion: no self-reported history of cardiovascular or cardio-pulmonary disease or pressure ulcers,"MS patients
n=5 (80% female)
age: 54 (0.4)
Type: RR: n=2, PP: n=1, SP: n=2
Severity of MS: bilateral gross upperextremity strength of at least 4-/5 and full-time wheelchair user (use of power or manual for>40h/wk and>80% ambulation (inclusion criteria)
Disease duration [yrs]: 17.6 (8.5)","ActiGraph
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: wrist",real-life setting,2 weeks,yes,yes,yes,yes,yes,yes,yes,no,yes,accelerometer,3
"Sandroff B.M., Klaren R.E., Motl R.W.",2015,"Sandroff et al, 2015","Relationships among physical inactivity, deconditioning, and walking impairment in persons with multiple sclerosis",10.1097/NPT.0000000000000087,31 (87.1),43.4 (7.7),"RR: n=29,
SP: n=2","PDDS: 2 (median), range: 0-5",8.6 (6.3),not reported,not reported,"healthy
n=31 (87% female)
age: 42.4 (7.5)","ActiGraph
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: waist",real-life setting,7 days,yes,yes,yes,yes,yes,applies partially,yes,no,yes,accelerometer,3
"Hubbard E.A., Motl R.W.",2015,"Hubbard et al, 2015","Sedentary behavior is associated with disability status and walking performance, but not cognitive function, in multiple sclerosis",10.1139/APNM-2014-0271,82 (75.6),49.0 (9.1),RR: n=65,"SR-EDSS: 3.4 (2.3), 3.5 [4.5]",11.8 (mean),not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: waist",real-life setting,7 days,yes,yes,yes,yes,yes,applies partially,yes,no,yes,accelerometer,3
"Moon Y., Wajda D.A., Motl R.W., Sosnoff J.J.",2015,"Moon et al, 2015",Stride-time variability and fall risk in persons with multiple sclerosis,10.1155/2015/964790,17 (64.7),62.8 (7.4),"RR: n=10,
PP: n=3,
SP: n=4","EDSS: 6.0 [4.75-6.0],
number of falls in the past 3 months: 2.52 (3.91)",19.2 (9.0),not reported,exclusion criterion: no history of neurological or orthopedic conditions that might affect their balance or mobility,"healthy
n=17 (71% female)
age: 62.8 (5.9)","MTx motion tracker
Type of sensor: accelerometer, motion tracker
Number of axes: 3
Number of wearables: 2
Primary position: lower leg",lab setting (controlled),not reported,yes,yes,yes,yes,yes,yes,yes,no,yes,"accelerometer, gyroscope, magnetometer",3
"Ayache S.S., Chalah M.A., Al-Ani T., Farhat W.H., Zouari H.G., Créange A., Lefaucheur J.-P.",2015,"Ayache et al, 2015",Tremor in multiple sclerosis: The intriguing role of the cerebellum,10.1016/J.JNS.2015.09.360,"18 (77.8)
(MS patients with manual clumsiness)",47.7 (10.3),"RR: n=10,
P: n=8","EDSS: 4.3 (2.4), 
ACS: 5.0 (4.3)",14.4 (11.7),not reported,not reported,"MS with no visible tremor
n=14 (64% female)
age: 54 (0.4)
Type: RR: n=8, P: n=6
Severity: EDSS: 3.5 (1.4)
Disease duration [yrs]: 11.4 (8.7)","TREM0000
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 2
Primary position: upper arm, hand",lab setting (controlled),not reported,yes,yes,yes,yes,yes,yes,applies partially,no,yes,accelerometer,1
C. Fjeldstad,2015,"Fjeldstad et al, 2015",Use of accelerometers to measure real-life physical activity in ambulatory individuals with multiple sclerosis,10.7224/1537-2073.2014-037,13 (69.2),47.6 (3.0),RR: n=13,EDSS 2.5 (0.5),7.5 (1.0),subjects taking disease-modifying therapies: n=11,not reported,"healthy
n=12 (42% female)
age: 45.5 (5.4)","ActiGraph
Type of sensor: accelerometer
Number of axes: 2
Number of wearables: 1
Primary position: waist",real-life setting,7 days,yes,yes,applies partially,yes,applies partially,applies partially,yes,no,yes,accelerometer,2
"Sola-Valls N., Blanco Y., Sepúlveda M., Llufriu S., Martínez-Lapiscina E.H., La Puma D., Graus F., Villoslada P., Saiz A.",2015,"Sola-Valls et al, 2015",Walking function in clinical monitoring of multiple sclerosis by telemedicine,10.1007/S00415-015-7764-X,23 (52.2),46.7 (10.0),"RR: n=15, 
SP: n=8","EDSS: 3.5 [1.5–6.5], 
MSSS multiple sclerosis severity score: 4.8 (8.9),
ARR annualized relapse rate: 0.5 (0.4),
MFIS modified fatigue impact scale: 55.3 (17.1)
MHI mental health inventory: 57 (8.2)",14.2 (9.9),not reported,smokers: n=5,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: waist",real-life setting,7 days,yes,yes,yes,yes,applies partially,applies partially,yes,no,yes,accelerometer,3
T. Brown,2016,"Brown et al, 2016",A randomized crossover trial of Dalfampridine extended release for effect on ambulatory activity in people with multiple sclerosis,10.7224/1537-2073.2015-035,"22 (86.4)
(protocol with treatment first and then placebo)",55.0 (2.5),"RR: n=13, 
PP: n=4, 
SP: n=5",EDSS: 5.1 (0.3),13.3 (1.7),"Dalfampridine extended release 10mg twice daily given first for 4 weeks, then 2 weeks off-treatment washout period and then placebo for 4 weeks; no use of any aminopyridine product or mitoxantrone in the past 6 months",not reported,"MS patients with placebo first and then treatment 
n=21 (52% female)
age: 54 (0.4)
Type: RR: n=13, PP: n=2, SP: n=6
Severity: EDSS score: 5.3 (0.2)
Disease duration [yrs]: 13.5 (1.5)","StepWatch 3
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: waist",real-life setting,7 days,applies partially,yes,yes,yes,applies partially,yes,yes,no,yes,accelerometer,3
"Balto J.M., Kinnett-Hopkins D.L., Motl R.W.",2016,"Balto et al, 2016",Accuracy and precision of smartphone applications and commercially available motion sensors in multiple sclerosis,10.1177/2055217316634754,45 (not reported),"46.7 (10.0), range: 23-62",RR: n=43,"EDSS: 3.0 [1.5], range: 1.0-5.0","11.4 (9.3), range: 0.0-35.0",not reported,not reported,none,"Yamax SW-200, Jawbone UP2 and UP Move, Fitbit Flex and One
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 5
Primary position: waist, wrist",lab setting (controlled),time to walk 25m,applies partially,yes,yes,yes,applies partially,applies partially,yes,no,yes,accelerometer,3
J. Gong,2016,"Gong et al, 2016",Causality Analysis of Inertial Body Sensors for Multiple Sclerosis Diagnostic Enhancement,10.1109/JBHI.2016.2589902,28 (75.0),40.5 (9.4),not reported,EDSS: 2.0 [0-4.0],6.7 (5.9),not reported,not reported,"healthy
n=13 (53% female)
age: 39.3 (10.3)","Inertial body sensors
Type of sensor: accelerometer, gyroscope
Number of axes: 3
Number of wearables: 5
Primary position: lower back, wrist, ankle",lab setting (controlled),time to walk 6M,applies partially,no,yes,applies partially,yes,yes,yes,no,yes,"accelerometer, gyroscope",3
"Pau M., Caggiari S., Mura A., Corona F., Leban B., Coghe G., Lorefice L., Marrosu M.G., Cocco E.",2016,"Pau et al, 2016",Clinical assessment of gait in individuals with multiple sclerosis using wearable inertial sensors: Comparison with patient-based measure,10.1016/J.MSARD.2016.10.007,"105 (70.5)
(severity:
MS class 1 [EDSS=0-1.5]: n=54, 
MS class 2 [EDSS=2.0-4.0]: n=31, 
MS class 3 [EDSS=4.5-6.0]: n=20)","severity:
MS class 1 [EDSS=0-1.5]: 39.6 (8.3), 
MS class 2 [EDSS=2.0-4.0]: 43.6 (9.3), 
MS class 3 [EDSS=4.5-6.0]: 52.1 (10.2)",not reported,"EDSS:
MS class1: 1.0 (0.2),
MS class 2: 2.6 (0.6),
MS class 3: 4.6 (1.1)",not reported,not reported,absence of other conditions that affect gait,"healthy
n=47 (45% female)
age: 39.4 (12.7)","G-Sensor
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 1
Primary position: lower back",lab setting (controlled),,applies partially,yes,yes,applies partially,applies partially,yes,yes,no,yes,"accelerometer, gyroscope, magnetometer",3
S. Dandu,2016,"Dandu et al, 2016",Determining physiological significance of inertial gait features in multiple sclerosis,10.1109/BSN.2016.7516271,86 (not reported),range: 19-61,not reported,EDSS: range: 0-7,not reported,not reported,not reported,"healthy
n=29 (female ratio not reported)
age: range: 19-54","ActiGraph
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: waist",lab setting (controlled),6 minutes,yes,no,applies partially,applies partially,yes,yes,yes,no,no,accelerometer,3
"Stellmann J.-P., Jlussi M., Neuhaus A., Lederer C., Daumer M., Heesen C.",2016,"Stellmann et al, 2016",Fampridine and real-life walking in multiple sclerosis: Low predictive value of clinical test for habitual short-term changes,10.1016/J.JNS.2016.07.051,28 (60.7),49 (8.6),"RR: n=3,
PP: n=7,
SP: n=18",EDSS: 4.75 [4-6.5],11.0 (8.4),not reported,not reported,none,"Actibelt
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: waist",both,28 days,yes,yes,yes,yes,applies partially,applies partially,yes,no,yes,accelerometer,3
"Brodie M.A.D., Psarakis M., Hoang P.",2016,"Brodie et al, 2016",Gyroscopic corrections improve wearable sensor data prior to measuring dynamic sway in the gait of people with Multiple Sclerosis,10.1080/10255842.2016.1140747,5 (100.0),56 (8),not reported,EDSS: 4.3 (1.0),not reported,not reported,not reported,"healthy
n=5 (100% female)
age: 56 (8)","Opal system
Type of sensor: accelerometer, gyroscope
Number of axes: 3
Number of wearables: 1
Primary position: lower back",lab setting (controlled),not reported,yes,no,yes,applies partially,applies partially,yes,yes,no,yes,"accelerometer, gyroscope",3
"Klaren R.E., Sebastiao E., Chiu C.-Y., Kinnett-Hopkins D., McAuley E., Motl R.W.",2016,"Klaren et al, 2016",Levels and rates of physical activity in older adults with multiple sclerosis,10.14336/AD.2015.1025,"963 (84.0)
(age:
Young: n=194,
Middle-aged: n=662,
Older: n=107)","age:
Young: 33.1 (4.7),
Middle-aged: 49.6 (5.4),
Older: 63.0 (3.6)        ",RR: n=885,"EDSS:
Young: 1.0 [3.0]
Middle-aged: 2.0 [2.0]
Older: 3.0 [3.0]","Young: 6.3 (5.0)
Middle-aged: 10.8 (7.2)
Older: 16.5 (9.2)    ",not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: waist",real-life setting,7 days,yes,yes,yes,yes,applies partially,applies partially,yes,no,yes,accelerometer,3
"Grover S.A., Sawicki C.P., Kinnett-Hopkins D., Finlayson M., Schneiderman J.E., Banwell B., Till C., Motl R.W., Yeh E.A.",2016,"Grover et al, 2016",Physical Activity and Its Correlates in Youth with Multiple Sclerosis,10.1016/J.JPEDS.2016.08.104,27 (66.7),16.0 (4.0),not reported,EDSS: 1.5 [0.5],2.0 (2.0),exclusion criteria: steroid treatment in the past 30 days,not reported,"healthy
n=37 (68% female)
age: 15.0 (3.0)","ActiGraph
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Primary position: waist",real-life setting,7 days,yes,yes,yes,applies partially,applies partially,applies partially,yes,no,yes,accelerometer,1
"Kinnett-Hopkins D., Grover S.A., Yeh E.A., Motl R.W.",2016,"Kinnett-Hopkins et al, 2016",Physical activity in pediatric onset multiple sclerosis: Validating a questionnaire for clinical practice and research,10.1016/J.MSARD.2016.08.010,27 (66.7),15.73 (3.2),not reported,EDSS: 1.5 (0.5),2.03 (2),not reported,not reported,"healthy
n=45 (67% female)
age: 14.76 (3.8)","ActiGraph
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Primary position: waist",real-life setting,7 days,yes,yes,yes,yes,applies partially,yes,yes,no,yes,accelerometer,1
"Zörner B., Filli L., Reuter K., Kapitza S., Lörincz L., Sutter T., Weller D., Farkas M., Easthope C.S., Czaplinski A., Weller M., Linnebank M.",2016,"Zoerner et al, 2016",Prolonged-release fampridine in multiple sclerosis: Improved ambulation effected by changes in walking pattern,10.1177/1352458515622695,55 (61.8),48.6 (9.8),"RR: n=29,
PP: n=5, 
SP: n=21","EDSS: 4.9 (1.3), range: 2.5-6.5",11.9 (7.4),"Natalizumab: n=21,
INF: n=34, 
GA: n=2,
Fingolimod: n=2",not reported,none,"Actiwatch 2
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: ankle",real-life setting,4 weeks,yes,yes,yes,yes,yes,yes,yes,no,no,accelerometer,3
M. Engelhard,2016,"Engelhard et al, 2016",Quantifying six-minute walk induced gait deterioration with inertial sensors in multiple sclerosis subjects,10.1016/J.GAITPOST.2016.07.184,89 (82.0),"46 [38-52], range: 19-61",not reported,"EDSS: 2.5 [2-3.5], range: 0-7",not reported,not reported,not reported,"healthy
n=29 (69% female)
age: 40 (19-54)","ActiGraph
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: waist",lab setting (controlled),1 day,yes,applies partially,yes,yes,yes,yes,yes,no,no,accelerometer,3
"Klaren R.E., Hubbard E.A., Zhu W., Motl R.W.",2016,"Klaren et al, 2016",Reliability of Accelerometer Scores for Measuring Sedentary and Physical Activity Behaviors in Persons With Multiple Sclerosis,10.1123/APAQ.2015-0007,422 (85.1),47.3 (10),RR: n=380,PDDS: 2.0 [4.0],9.6 (7.4),not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Primary position: waist",real-life setting,7 days,yes,no,yes,yes,yes,yes,yes,no,yes,accelerometer,1
"Lorefice L., Coghe G., Fenu G., Porta M., Pilloni G., Frau J., Corona F., Sechi V., Barracciu M.A., Marrosu M.G., Pau M., Cocco E.",2017,"Lorefice et al, 2017",‘Timed up and go’ and brain atrophy: a preliminary MRI study to assess functional mobility performance in multiple sclerosis,10.1007/S00415-017-8612-Y,60 (68.3),41.5 (11.6),PP: n=4 ,EDSS: 2.3 (1.2),11.6 (7.5),not reported,not reported,none,"G-Sensor
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: lower back",lab setting (controlled),1 day,yes,yes,yes,yes,applies partially,yes,yes,no,no,accelerometer,3
"McGinnis R.S., Mahadevan N., Moon Y., Seagers K., Sheth N., Wright J.A., DiCristofaro S., Silva I., Jortberg E., Ceruolo M., Pindado J.A., Sosnoff J., Ghaffari R., Patel S.",2017,"McGinnis et al, 2017",A machine learning approach for gait speed estimation using skin-mounted wearable sensors: From healthy controls to individuals with multiple sclerosis,10.1371/JOURNAL.PONE.0178366,30 (70.0),range: 29-74,not reported,"EDSS: range: 0-7,
MSWS: range: 0.20-0.95",not reported,not reported,not reported,"healthy
n=7 (43% female)
age: range: 37-71","BioSTampRC Sensors
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 5
Primary position: lower back, upper leg, lower leg",lab setting (controlled),1 day,yes,yes,yes,applies partially,yes,yes,yes,no,yes,accelerometer,3
"Pau M., Porta M., Coghe G., Corona F., Pilloni G., Lorefice L., Marrosu M.G., Cocco E.",2017,"Pau et al, 2017",Are static and functional balance abilities related in individuals with Multiple Sclerosis?,10.1016/J.MSARD.2017.04.002,106 (68.9),"severity:
EDSS 0-1.5: 39.8 (8.2), 
EDSS 2-3.5 43.5 (9.5), 
EDSS 4-6.5 48.6 (10.1)","RR: n=99,
PP: n=1, 
SP: n=6","EDSS 0-1.5: 1.0 (0.2),
EDSS 2-3.5: 2.6 (0.6),
EDSS 4-6.5: 5.2 (1.1)",not reported,not reported,not reported,"healthy
n=42 (28% female)
age: 39.6 (13.5)","G-Sensor
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: lower back",lab setting (controlled),1 day,yes,yes,yes,yes,no,yes,yes,no,yes,accelerometer,3
A. Qureshi,2017,"Qureshi et al, 2017",Demonstrating the real-world significance of the mid-swing to heel strike part of the gait cycle using spectral features,10.1109/BSN.2017.7936025,65 (not reported),range: 18-64,not reported,not reported,not reported,not reported,not reported,none,"Sensor Nodes
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 2
Primary position: ankle",lab setting (controlled),1 day,no,no,no,no,no,yes,applies partially,no,no,accelerometer,3
"Craig J.J., Bruetsch A.P., Lynch S.G., Horak F.B., Huisinga J.M.",2017,"Craig et al, 2017",Instrumented balance and walking assessments in persons with multiple sclerosis show strong test-retest reliability,10.1186/S12984-017-0251-0,15 (80.0),48.2 (8.7),RR: n=15,EDSS: 1.89 (0.98),12.2 (5.9),not reported,not reported,"healthy
n=15 (80% female)
age: 47.8 (9.5)","Opal system
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 6
Primary position: sternum, lower back, wrist, ankle",lab setting (controlled),2 days,yes,yes,yes,yes,yes,yes,yes,no,yes,"accelerometer, gyroscope, magnetometer",3
"Sebastião E., Learmonth Y.C., Motl R.W.",2017,"Sebasti�o et al, 2017",Lower Physical Activity in Persons with Multiple Sclerosis at Increased Fall Risk: A Cross-sectional Study,10.1097/PHM.0000000000000581,47 (not reported),53.1 (11.4),"RR: n=44,
PP: n=1, 
SP: n=2",EDSS: 4 [3.0],13.1 (9.6),not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: not reported",real-life setting,7 days,yes,yes,yes,yes,yes,yes,yes,no,yes,accelerometer,3
"Norris M., Anderson R., Motl R.W., Hayes S., Coote S.",2017,"Norris et al, 2017","Minimum number of days required for a reliable estimate of daily step count and energy expenditure, in people with MS who walk unaided",10.1016/J.GAITPOST.2017.02.005,26 (not reported),44.5 (11.9),"RR: n=21, 
PP: n=2, 
SP: n=1, 
benign: n=2,
not reported: n=1",inclusion criteria: PDDS <=3,6.5 (6.2),not reported,not reported,none,"SenseWear Armband
Type of sensor: accelerometer
Number of axes: 2
Number of wearables: 1
Primary position: wrist",real-life setting,7 days,yes,yes,yes,applies partially,applies partially,yes,yes,no,yes,accelerometer,2
"Sebastião E., Learmonth Y.C., Motl R.W.",2017,"Sebasti�o et al, 2017",Mobility measures differentiate falls risk status in persons with multiple sclerosis: An exploratory study,10.3233/NRE-161401,"21 (90.5)
(increased fall risk)",55.5 (9.1),RR: n=18,EDSS: 6.0 [2.0],14.7 (10.5),not reported,not reported,"MS patients (normal fall risk)
n=26 (88% female)
age: 51.2 (12.9)
Type: RR: n=26
Severity: EDSS: 3.0 [1.5]
Disease duration [yrs]: 13.5 (1.5)","ActiGraph
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: waist",real-life setting,7 days,yes,yes,yes,yes,applies partially,yes,applies partially,no,yes,accelerometer,3
"Teufl, S; Preston, J; van Wijck, F; Stansfield, B",2017,"Teufl et al, 2017",Objective identification of upper limb tremor in multiple sclerosis using a wrist-worn motion sensor: Establishing validity and reliability,10.1177/0308022617726259,12 (58.3),51.5 (14.1),"RR: n=7, 
SP: n=5",not reported,13.9 (9.1),not reported,not reported,none,"AX3
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: wrist",lab setting (controlled),not reported,yes,yes,yes,applies partially,yes,yes,applies partially,no,yes,accelerometer,3
