Authors,Year,First author and year,Title,DOI,Number of MS patients,"Thereof female, n",Age,average_age,Type of MS,Severity,Duration of disease in years,Treatments,Comorbidities,Comparator populuation Type (healthy or other),"Comparator population, number (number of females)",Wearable,Context,Duration wearable was worn,clinicaltrials.gov identifier (NCT),Does the study report a clearly defined research objective (including an outcome)?,Does the study adequately describe the inclusion/exclusion criteria?,"Does the study report on the population parameters/demographics (at least age, sex)?","Does the study report details on assessment of MS (severity [EDSS or PDSS], type)?","Does the study provide sufficient details on the wearables used (type, positioning of wearable, context, recording frequency)?",Does the study report proper statistical analysis? Correction for multiple comparisons?,"Does the study adequately report the strength of the results (e.g., reporting confidence intervals / standard deviations)?",Does the study make the data and/or code publicly available?,Do the authors report on the limitations of their study?,Domain1,Domain2,Domain3,Domain4,Association with MS severity,Association with MS severity - Effect,Association with other measure,Association with other measure - Effect,Group differences MS vs HC,Group differences MS vs HC - Effect,Group differences MS vs MS,Group differences MS vs MS - Effect,Group differences MS vs other diseases,Group differences MS vs other diseases - Effect,Test-retest reliability,Test-retest reliability - Effect,Responsiveness to change,Responsiveness to change - Effect,Responsiveness to intervention,Responsiveness to intervention - Effect,Subjective participant acceptability,Subjective participant acceptability - Effect,Comment
"Baird J.F., Cederberg K.L.J., Sikes E.M., Silveira S.L., Jeng B., Sasaki J.E., Sandroff B.M., Motl R.W.",2019,"Baird et al, 2019",Physical activity and walking performance across the lifespan among adults with multiple sclerosis,10.1016/J.MSARD.2019.07.003,124,93,"age:
young: 33.3 (5.0),
middle-aged 48.5 (5.8),
older 65.8 (4.5)",49.4,"RR: n=107,
not reported: n=17",not reported,"young: 6.7 (5.0),
middle-aged: 12.4 (5.8),
older: 19.9 (8.7)",not reported,not reported,none,none,"ActiGraph GT3X+
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",real-world,7 days,,yes,yes,yes,yes,yes,yes,yes,no,yes,RW: Physical activity,,,,no,,no,,no,,yes,some significant,no,,no,,no,,no,,no,,
"Rooney S., Riemenschneider M., Dalgas U., Jørgensen M.-L.K., Michelsen A.-S., Brønd J.C., Hvid L.G.",2019,"Rooney et al, 2019",Physical activity is associated with neuromuscular and physical function in patients with multiple sclerosis independent of disease severity,10.1080/09638288.2019.1634768,91,62,48.1 (11.9),48.1,"RR: n=63,
PP: n=14,
SP: n=14","EDSS: 2.9 (1.5), range: 0-6.5",8.8 (7.2),not reported,not reported,none,none,"Axivity AX3
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: upper leg",real-world,7 days,,yes,yes,yes,yes,yes,yes,yes,no,yes,RW: Physical activity,,,,no,,yes,significant,no,,no,,no,,no,,no,,no,,no,,
"Cederberg K.L.J., Jeng B., Sasaki J.E., Braley T.J., Walters A.S., Motl R.W.",2019,"Cederberg et al, 2019","Physical activity, sedentary behavior, and restless legs syndrome in persons with multiple sclerosis",10.1016/J.JNS.2019.116531,253,204,59.4 (10),59.4,"RR: n=170,
PP: n=29,
SP: n=51,
benign: n=3",not reported,20.3 (9.7),subjects on disease-modifying treatment: n=187,not reported,none,none,"ActiGraph GT3X+
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",real-world,7 days,,yes,yes,yes,yes,yes,yes,yes,no,yes,RW: Physical activity,,,,no,,yes,some significant,no,,no,,no,,no,,no,,no,,no,,
"Bollaert R.E., Motl R.W.",2019,"Bollaert et al, 2019","Physical and Cognitive Functions, Physical Activity, and Sedentary Behavior in Older Adults With Multiple Sclerosis",10.1519/JPT.0000000000000163,40,25,65.3 (4.3),65.3,"RR: n=27,
not reported: n=13",EDSS: 4.0 [2.0],21.5 (8.6),not reported,not reported,healthy,"healthy 
n=40 (63% female)
age: 66.5 (6.7)","ActiGraph GT3X+
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: not reported",real-world,7 days,,yes,yes,yes,yes,yes,yes,yes,no,no,RW: Physical activity,,,,no,,no,,yes,some significant,no,,no,,no,,no,,no,,no,,
"Chitnis T., Glanz B.I., Gonzalez C., Healy B.C., Saraceno T.J., Sattarnezhad N., Diaz-Cruz C., Polgar-Turcsanyi M., Tummala S., Bakshi R., Bajaj V.S., Ben-Shimol D., Bikhchandani N., Blocker A.W., Burkart J., Cendrillon R., Cusack M.P., Demiralp E., Jooste S.K., Kharbouch A., Lee A.A., Lehár J., Liu M., Mahadevan S., Murphy M., Norton L.C., Parlikar T.A., Pathak A., Shoeb A., Soderberg E., Stephens P., Stoertz A.H., Thng F., Tumkur K., Wang H., Rhodes J., Rudick R.A., Ransohoff R.M., Phillips G.A., Bruzik E., Marks W.J., Weiner H.L., Snyder T.M.",2019,"Chitnis et al, 2019",Quantifying neurologic disease using biosensor measurements in-clinic and in free-living settings in multiple sclerosis,10.1038/S41746-019-0197-7,25,23,46.5 (7.4),46.5,not reported: n=25,"EDSS: 3.4 (mean), range: 1.0-6.5",16 (5),not reported,not reported,none,none,"Cardiac and Activity Monitor (CAM)
Type of sensor: accelerometer, others (ECG, PPG, skin impedance, temperature, light exposure, barometer)
Number of axes: 3
Number of wearables: 3 (real-world), 9 (lab setting)
Position: sternum, lower back, waist, wrist, upper leg, ankle",mixed,8 weeks,,yes,yes,yes,yes,yes,yes,yes,no,yes,RW: Gait,Lab: Gait,,,yes,some significant,yes,some significant,no,,no,,no,,no,,no,,no,,no,,
R.E. Bollaert,2019,"Bollaert et al, 2019",Self-efficacy and physical and cognitive function in older adults with multiple sclerosis,10.7224/1537-2073.2018-001,40,25,65.3 (4.3),65.3,"RR: n=27,
not reported: n=13",EDSS: 4.0 [2.0],21.5 (8.6),not reported,not reported,none,none,"ActiGraph GT3X+
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",real-world,7 days,,yes,yes,yes,yes,applies partially,yes,yes,no,yes,RW: Physical activity,,,,no,,yes,significant,no,,no,,no,,no,,no,,no,,no,,
"Boukhvalova, AK; Fan, O; Weideman, AM; Harris, T; Kowalczyk, E; Pham, L; Kosa, P; Bielekova, B",2019,"Boukhvalova et al, 2019",Smartphone Level Test Measures Disability in Several Neurological Domains for Patients With Multiple Sclerosis,10.3389/FNEUR.2019.00358,93,50,"MS type:
RR: 50 (10.2), 
SP: 60 (8.2), 
PP: 58.8 (7.8)",55.1,"RR: n=35,
PP: n=38,
SP: n=19,
not reported: n=1","EDSS:
RR: 3.3 (1.6), range: 1.0-6.5
SP: 6.0 (1.1), range: 3.5-7.5
PP: 5.7 (1.3), range: 2.5-8.0","MS type:
RR: 12.4 (10.1),
SP: 26.8 (11.2),
PP: 15.7 (8.3)",not reported,not reported,healthy,"healthy 
n=15 (53% female)
age: not reported","Google Pixel XL 2017 (smartphone)
MS Test Suite app
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: hand",mixed,6 months,NCT03109288/ NCT00794352,yes,yes,yes,yes,applies partially,yes,yes,applies partially,no,RW: Dexterity/Tremor,Lab: Dexterity/Tremor,,,yes,some significant,yes,some significant,yes,significant,no,,no,,no,,no,,no,,no,,
"Motl R.W., Sasaki J.E., Cederberg K.L., Jeng B.",2019,"Motl et al, 2019",Social-cognitive theory variables as correlates of sedentary behavior in multiple sclerosis: Preliminary evidence,10.1016/J.DHJO.2019.05.002,275,223,57 (10.1),57,"RR: n=181,
not reported: n=94",not reported,20.4 (9.7),not reported,not reported,none,none,"ActiGraph GT3X+
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",real-world,7 days,,yes,yes,yes,no,applies partially,yes,yes,no,yes,RW: Physical activity,,,,no,,yes,some significant,no,,no,,no,,no,,no,,no,,no,,
"Grinberg Y., Berkowitz S., Hershkovitz L., Malcay O., Kalron A.",2019,"Grinberg et al, 2019",The ability of the instrumented tandem walking tests to discriminate fully ambulatory people with MS from healthy adults,10.1016/J.GAITPOST.2019.02.022,25,17,35.2 (8.6),35.2,not reported: n=25,not reported,not reported,not reported,not reported,healthy,"healthy 
n=25 (72% female)
age: 34.3 (6.1)","APDM IMU
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 3
Position: lower back, foot",laboratory,1 day,,yes,yes,yes,yes,yes,yes,yes,no,yes,Lab: Gait,,,,no,,no,,yes,some significant,no,,no,,no,,no,,no,,no,,
"Braakhuis H.E.M., Berger M.A.M., Van Der Stok G.A., Van Meeteren J., De Groot V., Beckerman H., Bussmann J.B.J., Malekzadeh A., Van Den Akker L.E., Looijmans M., Sanches S.A., Dekker J., Collette E.H., Van Oosten B.W., Teunissen C.E., Blankenstein M.A., Eijssen I.C.J.M., Rietberg M., Heine M., Verschuren O., Kwakkel G., Visser-Meily J.M.A., Van De Port I.G.L., Lindeman E., Blikman L.J.M., Van Meeteren J., Bussmann J.B.J., Stam H.J., Hintzen R.Q., Hacking H.G.A., Hoogervorst E.L., Frequin S.T.F.M., Knoop H., De Jong B.A., Bleijenberg G., De Laat F.A.J., Verhulsdonck M.C., Van Munster E.T.L., Oosterwijk C.J., Aarts G.J.",2019,"Braakhuis et al, 2019",Three distinct physical behavior types in fatigued patients with multiple sclerosis,10.1186/S12984-019-0573-1,212,156,47.9 (10.4),47.9,"RR: n=155,
PP: n=22, 
SP: n=21, 
not reported: n=14",EDSS: 2.5 [1.5],6.4 (7.5),not reported,not reported,none,none,"ActiGraph GT3X+
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",real-world,7 days,,yes,yes,yes,yes,yes,yes,yes,no,yes,RW: Physical activity,,,,no,,no,,no,,yes,significant,no,,no,,no,,no,,no,,
"Block V.J., Zhao C., Hollenbach J.A., Olgin J.E., Marcus G.M., Pletcher M.J., Henry R., Gelfand J.M., Cree B.A.C.",2019,"Block et al, 2019",Validation of a consumer-grade activity monitor for continuous daily activity monitoring in individuals with multiple sclerosis,10.1177/2055217319888660,31,17,53.4 (11.7),53.4,"RR: n=16,
P: n=15","EDSS: 4.0 (mean), range: 0-6.5",17.5 [8.5-23],not reported,not reported,none,none,"ActiGraph GT3X
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist

Fitbit Flex
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: wrist

Fitbit Flex2
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: wrist",real-world,7 days,,yes,yes,yes,yes,yes,yes,yes,no,yes,RW: Physical activity,,,,no,,yes,some significant,no,,no,,no,,no,,no,,no,,no,,
"Motl R.W., Sasaki J.E., Cederberg K.L., Jeng B.",2019,"Motl et al, 2019",Validity of Sitting Time Scores From the International Physical Activity Questionnaire-Short Form in Multiple Sclerosis,10.1037/REP0000280,295,223,59.7 (10.1),59.7,"RR: n=181,
not reported: n=114",not reported,20.4 (9.7),not reported,not reported,none,none,"ActiGraph GT3X+
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",real-world,7 days,,yes,yes,yes,no,no,yes,yes,no,yes,RW: Physical activity,,,,no,,yes,some significant,no,,no,,no,,no,,no,,no,,no,,
"Sasaki J.E., Motl R.W., McAuley E.",2019,"Sasaki et al, 2019",Validity of the Marshall Sitting Questionnaire in people with multiple sclerosis,10.1080/02640414.2018.1554614,63,48,56.6 (7.3),56.6,"RR: n=50, 
SP: n=7, 
P: n=3, 
not reported: n=3",not reported,not reported,not reported,not reported,none,none,"ActiGraph GT3X
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",real-world,7 days,,yes,yes,applies partially,no,applies partially,yes,yes,no,yes,RW: Physical activity,,,,no,,yes,significant,no,,no,,no,,no,,no,,no,,no,,
"Schwab P., Karlen W.",2020,"Schwab et al, 2020",A Deep Learning Approach to Diagnosing Multiple Sclerosis from Smartphone Data,10.1109/JBHI.2020.3021143,774,not reported,not reported,NA,not reported: n=774,not reported,not reported,not reported,not reported,healthy,"healthy 
n=372 (female ratio not reported)
age: not reported","Bring-your-own-smartphone
Floodlight Open app
Type of sensor: accelerometer, gyroscope, touchscreen
Number of axes: 3
Number of wearables: 1
Position: pocket, hand",real-world,not reported,,yes,applies partially,applies partially,no,no,applies partially,applies partially,yes,yes,RW: Gait,RW: Dexterity/Tremor,,,no,,no,,yes,significance not tested,no,,no,,no,,no,,no,,no,,
"Shema-Shiratzky S., Hillel I., Mirelman A., Regev K., Hsieh K.L., Karni A., Devos H., Sosnoff J.J., Hausdorff J.M.",2020,"Shema-Shiratzky et al, 2020",A wearable sensor identifies alterations in community ambulation in multiple sclerosis: contributors to real-world gait quality and physical activity,10.1007/S00415-020-09759-7,44,32,49.2 (10.7),49.2,RR: n=44,EDSS: 3.5 [2.5-5.0],13.3 (9.3),not reported,not reported,healthy,"healthy 
n=60 (51% female)
age: 52.1 (7.1)","APDM Opal IMU
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 1
Position: lower back",mixed,7 days,NCT02427997,yes,yes,yes,yes,no,yes,yes,no,yes,RW: Gait,Lab: Gait,,,no,,no,,yes,some significant,no,,no,,no,,no,,no,,no,,
"Mosquera-Lopez C., Wan E., Shastry M., Folsom J., Leitschuh J., Condon J., Rajhbeharrysingh U., Hildebrand A., Cameron M.H., Jacobs P.G.",2020,"Mosquera-lopez et al, 2020",Automated Detection of Real-World Falls: Modeled from People with Multiple Sclerosis,10.1109/JBHI.2020.3041035,25,17,"54 (mean), range: 33-76",54,"RR: n=11,
PP: n=6,
SP: n=8",EDSS: range: 4.0-6.0,not reported,not reported,not reported,none,none,"MotioWear
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",real-world,8 weeks,NCT02583386,yes,yes,yes,yes,yes,yes,applies partially,applies partially,applies partially,RW: Gait,RW: Balance,,,no,,no,,no,,no,,no,,no,,no,,no,,no,,
K. Daunoraviciene,2020,"Daunoraviciene et al, 2020",Biomechanical markers of impaired motor coordination,10.1109/MSM49833.2020.9201642,31,19,"sex:
women: 40 (12.3)
men: 34.4 (11.3)",37.8,not reported: n=31,"EDSS: 3.71 (1.43), range: 2.0-6.0",not reported,not reported,not reported,healthy,"healthy 
n=23 (74% female)
age: women: 28 (4.0), men: 31.14 (5.7)","Shimmer IMU
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 6
Position: upper leg, lower leg, foot",laboratory,not reported,,yes,yes,yes,applies partially,yes,applies partially,yes,no,yes,Lab: Dexterity/Tremor,,,,no,,no,,yes,some significant,yes,some significant,no,,no,,no,,no,,no,,
K.K.V. Mate,2020,"Mate et al, 2020",Clinically assessed walking capacity versus real-world walking performance in people with multiple sclerosis,10.7224/1537-2073.2019-047,125,98,45.4 (10.0),45.4,not reported: n=125,not reported,6.1 (3.4),not reported,not reported,none,none,"activPAL3
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: upper leg",real-world,7 days,NCT01611987,yes,yes,yes,applies partially,yes,yes,applies partially,no,yes,RW: Physical activity,,,,no,,yes,significance not tested,no,,no,,no,,no,,no,,no,,no,,
"Næss-Schmidt E., Pedersen A., Christiansen D., Andersen N.-B., Brincks J., Grimm B., Nielsen J., Mechlenburg I.",2020,"Naess-Schmidt et al, 2020",Daily activity and functional performance in people with chronic disease: A cross-sectional study,10.1080/2331205X.2020.1713280,28,22,56.3 (8.8),56.3,not reported: n=28,not reported,12.4 (7.4)	,not reported,not reported,other disease(s),"mixed 
stroke: n=22 (55%, female), age: 65.1 (10.8);
PD: n=34 (29% female), age: 67.9 (7.8);
RA: n=15 (100% female), age: 57.3 (17.0)","Axivity AX3
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: upper leg",real-world,7 days,,applies partially,yes,yes,no,yes,applies partially,applies partially,no,yes,RW: Physical activity,,,,no,,yes,significant,no,,no,,yes,significance not tested,no,,no,,no,,no,,
"Sandroff B.M., Motl R.W.",2020,"Sandroff et al, 2020",Device-Measured Physical Activity and Cognitive Processing Speed Impairment in a Large Sample of Persons with Multiple Sclerosis,10.1017/S1355617720000284,385,301,49.9 (11.6),49.9,"RR: n=299, 
P: n=45,
not reported: n=41",PDDS: 2.0 [4.0],12.3 (9.4),not reported,not reported,none,none,"ActiGraph GT3X+
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",real-world,7 days,,yes,yes,yes,yes,yes,yes,applies partially,no,yes,RW: Physical activity,,,,no,,yes,significant,no,,no,,no,,no,,no,,no,,no,,
"Cohen M., Mondot L., Fakir S., Landes C., Lebrun C.",2020,"Cohen et al, 2020",Digital biomarkers can highlight subtle clinical differences in radiologically isolated syndrome compared to healthy controls,10.1007/S00415-020-10276-W,21,14,"44 (mean), range: 25-66",44,RIS: n=21,not reported,not reported,not reported,not reported,healthy,"healthy 
n=32 (72% female)
age: 42.4 (mean), range: 20-58","Apple iPhone X (smartphone)
MS Screen Test app
Type of sensor: touchscreen
Number of wearables: 1
Position: hand",laboratory,not reported,,yes,applies partially,yes,yes,yes,applies partially,applies partially,no,yes,Lab: Dexterity/Tremor,,,,no,,yes,some significant,yes,significant,no,,no,,yes,significant,no,,no,,no,,
"Pau M., Porta M., Coghe G., Frau J., Lorefice L., Cocco E.",2020,"Pau et al, 2020",Does multiple sclerosis differently impact physical activity in women and man? A quantitative study based on wearable accelerometers,10.3390/IJERPH17238848,45,23,"sex:
women: 49.4 (9.0), 
men: 51.2 (11.8)",50.3,"RR: n=30,
PP: n=8,
SP: n=7",EDSS: 3.6 (1.8),"Sex:
women: 17.6 (10.2), 
men: 18.4 (13.4)",not reported,not reported,healthy,"healthy 
n=41 (51% female)
age: women: 46.7 (14.6), men: 49.6 (14.4)","ActiGraph GT3X
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: wrist",real-world,7 days,,yes,yes,yes,yes,yes,yes,applies partially,no,yes,RW: Physical activity,,,,no,,no,,yes,some significant,yes,some significant,no,,no,,no,,no,,no,,
"Twose J., Licitra G., McConchie H., Lam K.H., Killestein J.",2020,"Twose et al, 2020",Early-warning signals for disease activity in patients diagnosed with multiple sclerosis based on keystroke dynamics,10.1063/5.0022031,34,not reported,range: 18-65 [inclusion criteria],NA,not reported: n=34,inclusion criteria: EDSS<7.5,not reported,not reported,not reported,healthy,"healthy 
n=24 (female ratio not reported)
age: not reported","Bring-your-own-smartphone
Neurokeys app
Type of sensor: touchscreen
Number of wearables: 1
Position: hand",real-world,12 months,https://www.trialregister.nl/trial/7070,yes,yes,no,no,yes,yes,yes,no,yes,RW: Dexterity/Tremor,,,,yes,significance not tested,yes,significance not tested,no,,no,,no,,no,,yes,significance not tested,no,,no,,
"Pratap A., Grant D., Vegesna A., Tummalacherla M., Cohan S., Deshpande C., Mangravite L., Omberg L.",2020,"Pratap et al, 2020","Evaluating the Utility of Smartphone-Based Sensor Assessments in Persons With Multiple Sclerosis in the Real-World Using an App (elevateMS): Observational, Prospective Pilot Digital Health Study",10.2196/22108,495,232,"MS diagnosis:
self-referred: 45.2 (11.6),
clinic-referred: 48.93 (11.20)",46.2,"RR: n=423,
PP: n=40,
SP: n=30,
not reported: n=2","PDDS:
normal: n=153,
mild disability: n=109,
moderate disability: n=142,
gait disability: n=2","MS diagnosis:
self-referred: 11.14 (8.84),
clinic-referred: 14.29 (8.89)","infusion disease-modifying therapy: n=170,
injection disease-modifying therapy: n=107,
oral disease-modifying therapy: n=154,
none disease-modifying therapy: n=52,
missing data about disease-modifying therapy: n=2",not reported,healthy,"healthy 
n=134 (64% female)
age: 39.3 (11.4)","Bring-your-own-smartphone
elevateMS app
Type of sensor: accelerometer, gyroscope, touchscreen
Number of axes: 3
Number of wearables: 1
Position: hand",real-world,12 weeks,,applies partially,yes,yes,yes,applies partially,applies partially,yes,yes,yes,RW: Gait,RW: Balance,RW: Dexterity/Tremor,,yes,significant,yes,significant,yes,significance not tested,yes,significance not tested,no,,no,,no,,no,,no,,
"Nasseri N.N., Ghezelbash E., Zhai Y., Patra S., Riemann-Lorenz K., Heesen C., Rahn A.C., Stellmann J.-P.",2020,"Nasseri et al, 2020",Feasibility of a smartphone app to enhance physical activity in progressive MS: A pilot randomized controlled pilot trial over three months,10.7717/PEERJ.9303,18,9,49.6 (8.5),49.6,P: n=18,"EDSS: 3.5 (median), range: 2.5-6.0",13.1 (5.6),not reported,not reported,MS patients,"MS patients
n=20 (64% female)
age: 52.5 (7.3)
Type: P: n=20
Severity: EDSS: 3.5 [3.0-6.0]
Disease duration: 20.1 (13.0)","ActiGraph GT3X+
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: not reported",real-world,7 days,NCT03114293,yes,yes,yes,yes,no,yes,applies partially,no,yes,RW: Physical activity,,,,no,,no,,no,,yes,non-significant,no,,no,,yes,significant,yes,non-significant,no,,
"Bourke A.K., Scotland A., Lipsmeier F., Gossens C., Lindemann M.",2020,"Bourke et al, 2020",Gait Characteristics Harvested During a Smartphone-Based Self-Administered 2-Minute Walk Test in People with Multiple Sclerosis: Test-Retest Reliability and Minimum Detectable Change,10.3390/S20205906,76,53,39.5 (7.9),39.5,"RR: n=69,
PP: n=3,
SP: n=4",EDSS: 2.4 (1.4),11.3 (7.0),not reported,not reported,healthy,"healthy 
n=25 (28% female)
age: 34.9 (9.3)","Samsung Galaxy S7 (smartphone)
Floodlight app
Type of sensor: accelerometer, gyroscope
Number of axes: 3
Number of wearables: 1
Position: upper leg or waist",real-world,24 weeks,NCT02952911,yes,yes,yes,yes,yes,applies partially,yes,no,yes,RW: Gait,,,,no,,no,,yes,significance not tested,no,,no,,yes,some significant,no,,no,,no,,
"Cofré Lizama L.E., Bruijn S.M., Galea M.P.",2020,"Cofré et al, 2020",Gait stability at early stages of multiple sclerosis using different data sources,10.1016/J.GAITPOST.2020.02.006,30,25,42.5 (9.2),42.5,RR: n=30,"EDSS: 1.2 (0.9), range: 0-2.5",<15,not reported,not reported,healthy,"healthy 
n=15 (60% female)
age: 36.8 (7.0)","Cometa accelerometer
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: lower back",laboratory,not reported,,yes,yes,yes,yes,yes,yes,yes,no,yes,Lab: Gait,,,,no,,no,,yes,some significant,no,,no,,no,,no,,no,,no,,
"Ibrahim A.A., Küderle A., Gaßner H., Klucken J., Eskofier B.M., Kluge F.",2020,"Ibrahim et al, 2020",Inertial sensor-based gait parameters reflect patient-reported fatigue in multiple sclerosis,10.1186/S12984-020-00798-9,49,32,41.6 (10.4),41.6,not reported: n=49,"EDSS: 3.7 (median), range: 1-6.5",not reported,not reported,not reported,none,none,"Shimmer IMU
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 2
Position: foot",laboratory,not reported,,yes,yes,yes,yes,yes,yes,applies partially,no,yes,Lab: Gait,,,,no,,yes,significant,no,,no,,no,,no,,no,,no,,no,,
"Neal W.N., Cederberg K.L., Jeng B., Sasaki J.E., Motl R.W.",2020,"Neal et al, 2020",Is Symptomatic Fatigue Associated With Physical Activity and Sedentary Behaviors Among Persons With Multiple Sclerosis?,10.1177/1545968320916159,174,141,58.7 (10.4),58.7,"RR: n=115, 
P: n=59",PDDS: 4.0 [2.0],20.1 (10.2),not reported,not reported,MS patients,"MS patients (non-fatigued)
n=78 (96% female)
age: 60.6 (8.9)
Type: RR: n=57, P: n=21
Severity: PDDS: 1.0 [0.0-4.0]
Disease duration: 20.7 (8.5)","ActiGraph GT3X+
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",real-world,7 days,,yes,yes,yes,yes,yes,applies partially,applies partially,no,yes,RW: Physical activity,,,,no,,yes,significant,no,,yes,significant,no,,no,,no,,no,,no,,
"Shah V.V., McNames J., Mancini M., Carlson-Kuhta P., Spain R.I., Nutt J.G., El-Gohary M., Curtze C., Horak F.B.",2020,"Shah et al, 2020","Laboratory versus daily life gait characteristics in patients with multiple sclerosis, Parkinson’s disease, and matched controls",10.1186/S12984-020-00781-4,15,not reported,49 (10),49,RR: n=15,inclusion criteria: EDSS <6.0,not reported,not reported,not reported,healthy,"healthy 
n=16 (female ratio not reported)
age: 45 (11)","APDM Opal IMU
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 3
Position: lower back, foot",mixed,7 days,,yes,yes,yes,applies partially,yes,yes,applies partially,no,yes,RW: Gait,Lab: Gait,,,no,,no,,yes,some significant,yes,some significant,no,,no,,no,,no,,no,,
"Tulipani L.J., Meyer B., Larie D., Solomon A.J., McGinnis R.S.",2020,"Tulipani et al, 2020",Metrics extracted from a single wearable sensor during sit-stand transitions relate to mobility impairment and fall risk in people with multiple sclerosis,10.1016/J.GAITPOST.2020.06.014,21,not reported,55.3 (8.6),55.3,not reported: n=21,EDSS: 3.4 (1.2),not reported,not reported,not reported,MS patients,"MS patients (non-fallers)
n=17 (female ratio not reported)
age: 4.8 (13.5)
Severity: EDSS: 2.3 (1.2)
Disease duration: not reported","Biostamp MC10
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 2
Position: sternum, upper leg",laboratory,not reported,,yes,yes,applies partially,applies partially,yes,applies partially,applies partially,yes,applies partially,Lab: Balance,,,,yes,significant,yes,significant,no,,yes,significant,no,,no,,no,,no,,no,,
"Maillart E., Labauge P., Cohen M., Maarouf A., Vukusic S., Donzé C., Gallien P., De Sèze J., Bourre B., Moreau T., Louapre C., Mayran P., Bieuvelet S., Vallée M., Bertillot F., Klaeylé L., Argoud A.-L., Zinaï S., Tourbah A.",2020,"Maillart et al, 2020","MSCopilot, a new multiple sclerosis self-assessment digital solution: results of a comparative study versus standard tests",10.1111/ENE.14091,116,71,46 (10),46,"RR: n=86, 
P: n=29,
not reported: n=1",EDSS: 3.6 (1.6),12 (7),not reported,not reported,healthy,"healthy 
n=69 (65% female)
age: 39 (11)","Smartphone
MSCopilot app
Type of sensor: accelerometer, gyroscope, magnetometer, touchscreen
Number of axes: 3
Number of wearables: 1
Position: hand",laboratory,not reported,NCT03148938,yes,yes,yes,yes,applies partially,yes,applies partially,no,yes,Lab: Gait,Lab: Dexterity/Tremor,,,no,,yes,significant,yes,significant,no,,no,,yes,significant,no,,no,,yes,significance not tested,
"Akhbardeh A., Arjona J.K., Krysko K.M., Nourbakhsh B., Gourraud P.A., Graves J.S.",2020,"Akhbardeh et al, 2020",Novel MS vital sign: multi-sensor captures upper and lower limb dysfunction,10.1002/ACN3.50988,117,88,47 (12.4),47,not reported: n=117,"EDSS: 2.5 (median), range: 1-7","10 (median), range: 0.4-44",not reported,not reported,healthy,"healthy 
n=30 (50% female)
age: 39.7 (10.7)","MYO-band
Type of sensor: accelerometer, gyroscope, others (sEMG)
Number of axes: 3
Number of wearables: 1
Position: lower arm, lower leg",laboratory,5 min,,yes,yes,yes,applies partially,applies partially,applies partially,yes,no,yes,Lab: Balance,Lab: Dexterity/Tremor,,,yes,significant,yes,significant,yes,significant,no,,no,,yes,significance not tested,no,,no,,no,,
"Flachenecker F, Gaßner H, Hannik J, Lee DH, Flachenecker P, Winkler J, Eskofier B, Linker R, Klucken J",2019,"Flachenecker et al, 2019",Objective sensor-based gait measures reflect motor impairment in multiple sclerosis patients: Reliability and clinical validation of a wearable sensor device,10.1016/J.MSARD.2019.101903,102,69,43.0 (11.6),43,"RR: n=68, 
PP: n=12,
SP: n=22","EDSS: 4.0 (median), range: 1.0-7.0",10.1 (10.5),not reported,not reported,healthy,"healthy 
n=22 (46% female)
age: 34.2 (15.5)","Shimmer IMU
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 2
Position: foot",laboratory,not reported,,yes,yes,yes,yes,yes,yes,applies partially,no,yes,Lab: Gait,,,,yes,significant,yes,significant,yes,significant,yes,significant,no,,yes,significant,no,,no,,no,,
