,Authors,Year,First author and year,Title,DOI,Language,Demographics,Disease characteristics,Number of MS patients included in analysis,Number (% female),Percentage female,"Thereof female, n","Female, n",Age,Type of MS,,Severity,Duration of disease in years,Treatments,Comorbidities,Type (healthy or other),"Comparator population, number (number of females)",Type (healthy or other) more information,Number of Subjects,"Thereof female, n (or ratios)",,"Age, mean (SD) or age groups",Type of MS ,"Severity (EDSS, PDDS)","Duration of disease (years), mean (SD) or median [IQR]",Information on treatment of MS,Comorbidities,Wearable,sensors_type_plot,Primary wearable type(s) used,Brand / company of primary wearable(s),Number of axes (original copy),Software to extract features/data used,Recording frequency,Number of primary wearable (s),Position of primary wearable (drop-down),Position of primary wearable(s) (more details),Number of wearables (from position),"Context of primary wearable(s) (at home, in clinic, lab-testing, ...) (more details)",Context,Number of secondary wearable (s),Secondary wearable(s) type,Brand / company of secondary wearable(s),Position of secondary wearable(s),"Context of secondary wearable(s) (at home, in clinic, lab-testing, ...)",Wearables main topic of study?,"If wearable was not main topic of study, what was it used for?",Accelerometry used as outcome measure?,Study duration per participant (time wearable was worn),Duration wearable was worn,Number of visits/session,Main/primary outcome,Correlation metrics reported,"Reliability metrics reported (ICC, CV, standard error of measurement (SEM), minimally detectable change (MDC), ...)",Other metrics reported,"Other/secondary outcomes (e.g., cognition)","Traditional MS outcomes used (EDSS, MSFC, SDMT, T25FW, 10MWT, MRI, ...)",STUDY CONCLUSION,"Limitations reported (e.g., small sample size)",clinicaltrials.gov identifier (NCT),Comments (e.g. suspected re-use of participants),Does the study report a clearly defined research objective (including an outcome)?,Does the study adequately describe the inclusion/exclusion criteria?,"Does the study report on the population parameters/demographics (at least age, sex)?","Does the study report details on assessment of MS (severity [EDSS or PDSS], type)?","Does the study provide sufficient details on the wearables used (type, positioning of wearable, context, recording frequency)?",Does the study report proper statistical analysis? Correction for multiple comparisons?,"Does the study adequately report the strength of the results (e.g., ways of calculating effect sizes, reporting confidence intervals/standard deviation?",Does the study make the data and/or code publicly available?,Do the authors report on the limitations of their study?,Domain1,Domain2,Domain3,Domain4,Domain5,Domain6,Association with MS severity,Association with MS severity - Effect,Association with other measure,Association with other measure - Effect,"Comment on which other measure used (for mixed cases: add ""(s)"" or ""(ns)"" or ""(mixed)"" after each measure)",Group differences MS vs HC,Group differences MS vs HC - Effect,Group differences MS vs MS,Group differences MS vs MS - Effect,Group differences MS vs other diseases,Group differences MS vs other diseases - Effect,Comment on what other diseases included,Test-retest reliability,Test-retest reliability - Effect,Responsiveness to change,Responsiveness to change - Effect,Responsiveness to intervention,Responsiveness to intervention - Effect,Subjective patient acceptability,Subjective patient acceptability - Effect
Naegelin,"Baird J.F., Cederberg K.L.J., Sikes E.M., Silveira S.L., Jeng B., Sasaki J.E., Sandroff B.M., Motl R.W.",2019,"Baird et al, 2019",Physical activity and walking performance across the lifespan among adults with multiple sclerosis,10.1016/J.MSARD.2019.07.003,English,,,124,"124 (75.0)
(age:
young: n=39, 
middle-aged: n=44, 
older: n=41)",75,93,"93
(young: 79.5%, 
middle-aged: 72.7%, 
older: 73.2%)","age:
young: 33.3 (5.0),
middle-aged 48.5 (5.8),
older 65.8 (4.5)","RR: n=107,
not reported: n=17",17,not reported,"young: 6.7 (5.0),
middle-aged: 12.4 (5.8),
older: 19.9 (8.7)",not reported,not reported,none,none,-,-,-,#VALUE!,-,-,-,-,-,-,"ActiGraph GT3X+
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",accelerometer,ActiGraph accelerometer (model GT3X+),"ActiGraph LLC, Pensacola, Florida",NA,ActiLife 8,NA,1,waist (non-dominant hip),"waist, non-dominant hip",1 (waist),Home setting,real-world,0,NA,NA,NA,NA,yes,-,yes,7 days,7 days,1,To investigate whether physical activity is differentially associated with walking performance across three age groups of adults with MS,Spearman coefficients,none,-,-,"T25FW, 6 MWT","The present results indicate that MVPA (moderate-to-vigorous physical activity), walking speed, and walkingendurance decreased with increasing age, and MVPA was stronglycorrelated with walking speed and walking endurance among olderadults with MS.",no control group,n.i.,,yes,yes,yes,yes,yes,yes,yes,no,yes,RW: Physical activity,,,,,,no,,no,,,no,,yes,mixed,no,,,no,,no,,no,,no,
Naegelin,"Rooney S., Riemenschneider M., Dalgas U., Jørgensen M.-L.K., Michelsen A.-S., Brønd J.C., Hvid L.G.",2019,"Rooney et al, 2019",Physical activity is associated with neuromuscular and physical function in patients with multiple sclerosis independent of disease severity,10.1080/09638288.2019.1634768,English,,,91,91 (68.1),68.13186813,62,62,48.1 (11.9),"RR: n=63,
PP: n=14,
SP: n=14",,"EDSS: 2.9 (1.5), range: 0-6.5",8.8 (7.2),not reported,not reported,none,none,-,-,-,#VALUE!,-,-,-,-,-,-,"Axivity AX3
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: upper leg",accelerometer,Axivity AX3,"Axivity Ltd, Newcastle, UK",NA,ActiLife software (6.4.11),100,1,upper leg,"thigh, non-dominant leg",1 (upper leg),Home setting,real-world,0,NA,NA,NA,NA,yes,-,yes,7 days,7 days,1,Physical Activity (counts/minute),"mixed model, lenear regression analysis",none,-,-,"EDSS; T25FWT, 2MWT, 6MWT, 5x Sit to Stand (5STS)",Higher levels of physical activity are associated with greater neuromuscular and physical function in ambulatory patients with multiple sclerosis independent of disease severity.,no detailed information about activity intensity,n.i.,,yes,yes,yes,yes,yes,yes,yes,no,yes,RW: Physical activity,,,,,,no,,yes,significant,,no,,no,,no,,,no,,no,,no,,no,
Naegelin,"Cederberg K.L.J., Jeng B., Sasaki J.E., Braley T.J., Walters A.S., Motl R.W.",2019,"Cederberg et al, 2019","Physical activity, sedentary behavior, and restless legs syndrome in persons with multiple sclerosis",10.1016/J.JNS.2019.116531,English,,,253,253 (80.6) (66 hereof with RLS),80.63241107,204,204,59.4 (10),"RR: n=170,
PP: n=29,
SP: n=51,
benign: n=3",,not reported,20.3 (9.7),subjects on disease-modifying treatment: n=187,not reported,none,none,-,-,-,#VALUE!,-,-,-,-,-,-,"ActiGraph GT3X+
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",accelerometer,ActiGraph accelerometer (model GT3X+),"ActiGraph LLC, Pensacola, Florida",NA,ActiLife,NA,1,waist,waist,1 (waist),Home setting,real-world,0,NA,NA,NA,NA,yes,-,yes,7 days,7 days,0,"To examine the relationships among parameters (i.e., volume and pattern) of physical activity and sedentary behavior with the presence and severity of restless legs syndrome(RLS) in adults with MS",Spearman's correlation,none,-,-,"IRLS (International Restless Legs Syndrome Study Group Scale), PSQI (Pttsburgh Sleep Quality Index), ","the more time spent in light physical activity as well as the pattern of sedentary behavior,specifically the number of breaks in sedentary time, number of seden-tary bouts, and total time of sedentary bouts, are important correlates of RLS severity in those with MS who have mild RLS","remote protocol, self reporting only, no screening for walking assistance, 27% on drug for RLS",n.i.,,yes,yes,yes,yes,yes,yes,yes,no,yes,RW: Physical activity,,,,,,no,,yes,mixed,"IRLS, PSQI",no,,no,,no,,,no,,no,,no,,no,
Naegelin,"Bollaert R.E., Motl R.W.",2019,"Bollaert et al, 2019","Physical and Cognitive Functions, Physical Activity, and Sedentary Behavior in Older Adults With Multiple Sclerosis",10.1519/JPT.0000000000000163,English,,,40,40 (62.5),62.5,25,25,65.3 (4.3),"RR: n=27,
not reported: n=13",13,EDSS: 4.0 [2.0],21.5 (8.6),not reported,not reported,healthy,"healthy 
n=40 (63% female)
age: 66.5 (6.7)",HC,40,25,62.5,66.5 (6.7),-,-,-,-,-,"ActiGraph GT3X+
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: not reported",accelerometer,ActiGraph accelerometer (model GT3X+),"Health One Technology, Fort Walton Beach, Florida",NA,ActiLife 8,NA,1,not reported,NA,1 (not reported),Home setting,real-world,0,NA,NA,NA,NA,yes,-,yes,7 days,7 days,1,"wear time, time spent in sedentary beahavior, light physical activity, MVPA, LPA",Pearson correlation,none,-,-,"EDSS, T25FW, 6MWT, TUG, Six-Spot Step Test (6SST), Short Physical Performance Battery (SPPB), SDMT, PASAT","In conclusion, the current study demonstrated that older adults with MS (ie, 60 years of age and older) had greater defi cits in many areas of physical function (ie, walking speed and endurance and lower extremity strength) but only 1 area of cognitive function (ie, information-processing speed) than age- and sex-matched healthy controls. ","Not full age spectrum of older participants, lower EDSS (mild to moderate disability)",n.i.,,yes,yes,yes,yes,yes,yes,yes,no,no,RW: Physical activity,,,,,,no,,no,,,yes,mixed,no,,no,,,no,,no,,no,,no,
Naegelin,"Chitnis T., Glanz B.I., Gonzalez C., Healy B.C., Saraceno T.J., Sattarnezhad N., Diaz-Cruz C., Polgar-Turcsanyi M., Tummala S., Bakshi R., Bajaj V.S., Ben-Shimol D., Bikhchandani N., Blocker A.W., Burkart J., Cendrillon R., Cusack M.P., Demiralp E., Jooste S.K., Kharbouch A., Lee A.A., Lehár J., Liu M., Mahadevan S., Murphy M., Norton L.C., Parlikar T.A., Pathak A., Shoeb A., Soderberg E., Stephens P., Stoertz A.H., Thng F., Tumkur K., Wang H., Rhodes J., Rudick R.A., Ransohoff R.M., Phillips G.A., Bruzik E., Marks W.J., Weiner H.L., Snyder T.M.",2019,"Chitnis et al, 2019",Quantifying neurologic disease using biosensor measurements in-clinic and in free-living settings in multiple sclerosis,10.1038/S41746-019-0197-7,English,,,25,25 (92.0),92,23,23,46.5 (7.4),not reported: n=25,25,"EDSS: 3.4 (mean), range: 1.0-6.5",16 (5),not reported,not reported,none,none,-,-,-,#VALUE!,-,-,-,-,-,-,"Cardiac and Activity Monitor (CAM)
Type of sensor: accelerometer, photoplethysmograph (PPG), electrocardiogram (ECG), skin impedance, temperature, light exposure, barometer
Number of axes: 3
Number of wearables: 3 (real-world), 9 (lab setting)
Position: sternum, lower back, waist, wrist, upper leg, ankle","accelerometer, others",Cardiac and Activity Monitor (CAM),Verily Life Sciences,NA,Algortithms were developed by verily,NA,3/9,multiple positions,"(i) wrist, 
(ii) ankle, 
(iii) sternum/sternum, 
(iv) lower back, 
(v) hip, right side, 
(vi) both wrists, 
(vii) both knees, 
(viii) both ankles","11: 3 wrist, 3 ankle, 1 sternum, 1 lower back, 1 waist,  2 upper leg",Home setting/Lab Testing,mixed,0,NA,NA,NA,NA,yes,-,yes,"8 weeks with sensors, total of 24 weeks",8 weeks,3,"step count, stance time, swing time, turning angle, turning duration and angualr velocity balance ",Spearman's correlation,none,-,-,"EDSS, MSFC-4, TUG, Psychomotor Vigilance Task (PVT)",The study demonstrated feasibility of applying passive biosensor measurement techniques to monitor disability in MS patients both in clinic and in dthe free-living setting,"not all participants completed the study, reliablity of features still to be proved, longitudinal data missing",n.i.,,yes,yes,yes,yes,yes,yes,yes,no,yes,RW: Gait,Lab: Gait,,,,,yes,mixed,yes,mixed,"m: z-scores from MSFC-4, 25TW, 9-HPT, SDMT / ns: LCVA",no,,no,,no,,,no,,no,,no,,no,
Naegelin,R.E. Bollaert,2019,"Bollaert et al, 2019",Self-efficacy and physical and cognitive function in older adults with multiple sclerosis,10.7224/1537-2073.2018-001,English,,,40,40 (62.5),62.5,25,25,65.3 (4.3),"RR: n=27,
not reported: n=13",13,EDSS: 4.0 [2.0],21.5 (8.6),not reported,not reported,none,none,-,-,-,#VALUE!,-,-,-,-,-,-,"ActiGraph GT3X+
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",accelerometer,ActiGraph accelerometer (model GT3X+),"Health One Technology, Fort Walton Beach, Florida",NA,ActiLife 8,NA,1,waist (non-dominant hip),waist,1 (waist),Home setting,real-world,0,NA,NA,NA,NA,yes,-,yes,7 days,7 days,1,activity counts per minute,Spearman's correlation,none,-,-,"EDSS, MSSE (MS self-efficacy scale), T25FW, 6MWT, TUG, SSST (Six Spot Step Test), SPPB (Short physical performence battery), SDMT, Verbal Learning Test, brief visuospatial memory test.",,Selected population,n.i.,,yes,yes,yes,yes,applies partially,yes,yes,no,yes,RW: Physical activity,,,,,,no,,yes,significant,"s: SPPB, 6MWT, T25FW TUG, SST",no,,no,,no,,,no,,no,,no,,no,
Naegelin,"Boukhvalova, AK; Fan, O; Weideman, AM; Harris, T; Kowalczyk, E; Pham, L; Kosa, P; Bielekova, B",2019,"Boukhvalova et al, 2019",Smartphone Level Test Measures Disability in Several Neurological Domains for Patients With Multiple Sclerosis,10.3389/FNEUR.2019.00358,English,,,93,"93 (53.8)
(MS type:
RR: n=35, 
SP: n=19, 
PP: n=38)",53.76344086,50,"50
(MS type:
RR: 54.3%, 
SP: 57.9%, 
PP: 52.6%)","MS type:
RR: 50 (10.2), 
SP: 60 (8.2), 
PP: 58.8 (7.8)","RR: n=35,
PP: n=38,
SP: n=19,
not reported: n=1",1,"EDSS:
RR: 3.3 (1.6), 3.0 (median), range: 1.0-6.5
SP: 6.0 (1.1), 6.5 (median), range: 3.5-7.5
PP: 5.7 (1.3), 6.0 (median), range: 2.5-8.0","MS type:
RR: 12.4 (10.1),
SP: 26.8 (11.2),
PP: 15.7 (8.3)",not reported,not reported,healthy,"healthy 
n=15 (53% female)
age: not reported",HC,15,8,53.33333333,-,-,-,-,-,-,"Google Pixel XL 2017 (smartphone)
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: hand",accelerometer,Google Pixel XL (2017),Google,NA,NA,NA,1,hand,hand,1 (hand),Home setting/Lab Testing,mixed,0,NA,NA,NA,NA,yes,-,yes,6 months,6 months,2,To assess the performance and optimize outcomes of a Level Test,Spearman's correlation,none,-,-,"EDSS, 9-HPT, MSFC, 25FW, SDMT, PASAT",Level features correlated strongly with reaction time and moderately with cerebellar functions and proprioception.,none,NCT03109288/ NCT00794352,probably same participants as in 10.3389/FNEUR.2018.00740 (suspected re-use),yes,yes,yes,yes,applies partially,yes,yes,applies partially,no,RW: Dexterity/Tremor,Lab: Dexterity/Tremor,,,,,yes,mixed,yes,mixed,"s: SDMT, MSFC, PASAT / m: SNRS, CombWISE, 9-HPT, 25 W",yes,significant,no,,no,,,no,,no,,no,,no,
Naegelin,"Motl R.W., Sasaki J.E., Cederberg K.L., Jeng B.",2019,"Motl et al, 2019",Social-cognitive theory variables as correlates of sedentary behavior in multiple sclerosis: Preliminary evidence,10.1016/J.DHJO.2019.05.002,English,,,275,275 (81.1),81.09090909,223,223,57 (10.1),"RR: n=181,
not reported: n=94",94,not reported,20.4 (9.7),not reported,not reported,none,none,-,-,-,#VALUE!,-,-,-,-,-,-,"ActiGraph GT3X+
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",accelerometer,ActiGraph accelerometer (model GT3X+),NA,NA,"(i) Troiano algorithm,
(ii) standard cut-point",100 counts per minute,1,waist (non-dominant hip),"waist, non-dominant hip",1 (waist),Home setting,real-world,0,NA,NA,NA,NA,yes,-,yes,7 days,7 days,0,To assess if social-cognitive theory (SCT) variables correlate to sedentary behaviour in MS (scores/device),Spearman's correlation,none,-,-,IPAQ (International Physical Acitivty Questionnaire),SCT constructs might be reasonable targets of a behavioral intervention for reducing sendetary behaviour in MS,newly-created variables of SCT. Cross-sectional desighn. ,,,yes,yes,yes,no,applies partially,yes,yes,no,yes,RW: Physical activity,,,,,,no,,yes,mixed,s: self-efficacy ,no,,no,,no,,,no,,no,,no,,no,
Naegelin,"Grinberg Y., Berkowitz S., Hershkovitz L., Malcay O., Kalron A.",2019,"Grinberg et al, 2019",The ability of the instrumented tandem walking tests to discriminate fully ambulatory people with MS from healthy adults,10.1016/J.GAITPOST.2019.02.022,English,,,25,25 (68.0),68,17,17,35.2 (8.6),not reported: n=25,25,not reported,not reported,not reported,not reported,healthy,"healthy 
n=25 (72% female)
age: 34.3 (6.1)",HC,25,18,72,34.3 (6.1),-,-,-,-,-,"APDM IMU
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 3
Position: lower back, foot","accelerometer, gyroscope, magnetometer",Wearable Accelerometer,"APDM, Oregon, USA",NA,Mobility Lab TM Software,NA,3,multiple positions,"(i) dorsum of both feed, 
(ii) lumbosacral junction level","3: 2 foot, 1 lower back",Lab Testing,laboratory,0,NA,NA,NA,NA,yes,-,yes,1 day,1 day,1,To investigate different types of 3-meter walking tests in fully ambulatory PwMS,Repeated measures analysis of variance ANOVAs,none,-,-,"EDSS, MSWS-12",New insights intio the 3-meter tandem walk test.,"Small sample size, no participants with progressive MS. Minimal disabilities among participants",,,yes,yes,yes,yes,yes,yes,yes,no,yes,Lab: Gait,,,,,,no,,no,,,yes,mixed,no,,no,,,no,,no,,no,,no,
Naegelin,"Braakhuis H.E.M., Berger M.A.M., Van Der Stok G.A., Van Meeteren J., De Groot V., Beckerman H., Bussmann J.B.J., Malekzadeh A., Van Den Akker L.E., Looijmans M., Sanches S.A., Dekker J., Collette E.H., Van Oosten B.W., Teunissen C.E., Blankenstein M.A., Eijssen I.C.J.M., Rietberg M., Heine M., Verschuren O., Kwakkel G., Visser-Meily J.M.A., Van De Port I.G.L., Lindeman E., Blikman L.J.M., Van Meeteren J., Bussmann J.B.J., Stam H.J., Hintzen R.Q., Hacking H.G.A., Hoogervorst E.L., Frequin S.T.F.M., Knoop H., De Jong B.A., Bleijenberg G., De Laat F.A.J., Verhulsdonck M.C., Van Munster E.T.L., Oosterwijk C.J., Aarts G.J.",2019,"Braakhuis et al, 2019",Three distinct physical behavior types in fatigued patients with multiple sclerosis,10.1186/S12984-019-0573-1,English,,,212,212 (73.6),73.58490566,156,156,47.9 (10.4),"RR: n=155,
PP: n=22,  
SP: n=21, 
other: n=14",,EDSS: 2.5 [1.5],6.4 (7.5),not reported,not reported,none,none,-,-,-,#VALUE!,-,-,-,-,-,-,"ActiGraph GT3X+
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",accelerometer,ActiGraph accelerometer (model GT3X+),NA,3,"(i) ActiLIfe (6.6.2.),
(ii) MATLAB (R2011b)",30,1,waist,waist,1 (waist),Home setting,real-world,0,NA,NA,NA,NA,yes,-,yes,7 days,7 days,n.i.,To identify physical behavior subtypes in fatigued PwMS based on multidimensional otcome measures,PCA,none,-,-,"EDSS, Fatigue Subscale of CIS20r",Patients with severe MS-related fatigue show three dstinct and homogenious PB subtypes.,"Acceleromter only, only crosssectional data, all participants had severe fatigue (inclusion criteria)",n.i.,Preprocessing Blikman et al. (2015),yes,yes,yes,yes,yes,yes,yes,no,yes,RW: Physical activity,,,,,,no,,no,,,no,,yes,significant,no,,,no,,no,,no,,no,
Naegelin,"Block V.J., Zhao C., Hollenbach J.A., Olgin J.E., Marcus G.M., Pletcher M.J., Henry R., Gelfand J.M., Cree B.A.C.",2019,"Block et al, 2019",Validation of a consumer-grade activity monitor for continuous daily activity monitoring in individuals with multiple sclerosis,10.1177/2055217319888660,English,,,31,31 (54.8),54.83870968,17,17,53.4 (11.7),"RR: n=16,
P: n=15",,"EDSS: 4.0 (mean), range: 0-6.5",17.5 [8.5-23],not reported,not reported,none,none,-,-,-,#VALUE!,-,-,-,-,-,-,"ActiGraph GT3X
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist

Fitbit Flex
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: wrist

Fitbit Flex2
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: wrist",accelerometer,ActiGraph accelerometer (model GT3X),"Manufacturing Technology, INc., FL, USA",3,ActiLIfe (6.13.2.),30,1,waist,waist,1 (waist),Home setting,real-world,2,"(i) Fitbit Flex,
(ii) Fitbit Flex2","Fitbit, CA, USA",wrist,at home,yes,-,yes,7 days,7 days,1,"To compare the output of Fitbit flex, Fitbilt flex 2 and ActiGraph","Bland-Altman, paired t-test",ICC with 95% CIs,-,-,"EDSS, 2MWT",Step counts from Flex and Flex 2 are equal. ,short validation time with block-time approach,n.i.,,yes,yes,yes,yes,yes,yes,yes,no,yes,RW: Physical activity,,,,,,no,,yes,mixed,"s: same step count from Flex and Flex 2, more step counts for Flex devices than ActiGraph",no,,no,,no,,,no,,no,,no,,no,
Naegelin,"Motl R.W., Sasaki J.E., Cederberg K.L., Jeng B.",2019,"Motl et al, 2019",Validity of Sitting Time Scores From the International Physical Activity Questionnaire-Short Form in Multiple Sclerosis,10.1037/REP0000280,English,,,295,295 (75.6),75.59322034,223,223,59.7 (10.1),"RR: n=181,
not reported: n=114",114,not reported,20.4 (9.7),not reported,not reported,none,none,-,-,-,#VALUE!,-,-,-,-,-,-,"ActiGraph GT3X+
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",accelerometer,ActiGraph GT3X+,NA,NA,NA,NA,1,waist,waist,1 (waist),Home setting,real-world,0,NA,NA,NA,NA,yes,-,yes,7 days,7 days,0,To validate the sitting time scores from IPAQ,Spearman's correlation,Correlation Coefficients,-,-,"PDDS (Patient determined disease steps scale), IPAQ (International Physical Acitivty Questionnaire), GLTEQ (Godin Leisure-Time Exercise Questionnaire)","The correlation analysis indicated consistent, moderate correlations between IPAQ and device mesured estimates","tota sedentary behaviour (accelerometer metrics), registry population, no BMI",n.i.,,yes,yes,yes,no,no,yes,yes,no,yes,RW: Physical activity,,,,,,no,,yes,mixed,s: IPAQ-SF sitting time scores ns: GLTEQ HCS scores,no,,no,,no,,,no,,no,,no,,no,
Naegelin,"Sasaki J.E., Motl R.W., McAuley E.",2019,"Sasaki et al, 2019",Validity of the Marshall Sitting Questionnaire in people with multiple sclerosis,10.1080/02640414.2018.1554614,English,,,63,63 (76.2),76.19047619,48,48,56.6 (7.3),"RR: n=50, 
SP: n=7, 
P: n=3, 
other: n=3",,not reported,not reported,not reported,not reported,none,none,-,-,-,#VALUE!,-,-,-,-,-,-,"ActiGraph GT3X
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",accelerometer,ActiGraph accelerometer (model GT3X),"ActiGraph, LLC, Pnesacola, FL",3,ActiLife Software,30,1,waist,waist,1 (waist),Home setting,real-world,0,NA,NA,NA,NA,yes,-,yes,7 days,7 days,0,To validate the Marshall Sitting Questionnaire (MSQ) in PwMS,"Pearson Correlation, Bland-Altman Plot",none,-,-,MSQ (Marshall Sitting Questionnaire),Small correlation between MSQ and accelerometer estimates,small sample size,n.i.,,yes,yes,applies partially,no,applies partially,yes,yes,no,yes,RW: Physical activity,,,,,,no,,yes,significant,s: MSQ (Marshall Sitting Questionnaire),no,,no,,no,,,no,,no,,no,,no,
Naegelin,"Schwab P., Karlen W.",2020,"Schwab et al, 2020",A Deep Learning Approach to Diagnosing Multiple Sclerosis from Smartphone Data,10.1109/JBHI.2020.3021143,English,,,774,"774 (not reported)
(Training: n=542 (51.9%), 
Validation: n=77 (52%), 
Test: n=155 (51.6%))",#VALUE!,not reported,not reported,not reported,not reported: n=774,774,not reported,not reported,not reported,not reported,healthy,"healthy 
n=372 (female ratio not reported)
age:not reported",Non MS,372,-,#VALUE!,-,-,-,-,-,-,"Bring-your-own-device (smartphone)
Type of sensor: accelerometer, gyroscope, touchscreen
Number of axes: 3
Number of wearables: 1
Position: pocket, hand","accelerometer, gyroscope, touchscreen",Smartphone (Bring-your-own-device bring your own device),"Floodlight open, Roche",NA,NA,NA,1,multiple positions,"pocket, hand",1 (hand),Home setting,real-world,0,NA,NA,NA,NA,yes,-,no,n.i.,not reported,0,To present a deep-learning approach to diagnosing MS from smartphone-derived digital biomarkers,no correlation performed,-,Attentive Aggregation Model (AAM),-,"Diagnosis of MS, age, sex","The AAM is able to distinguish between PwMS and P without MS with an area under the receiver operating characteristics curve of 0.88 (95% CI: 0.70, 0.88)","small cohort, not representative of overall population",n.i.,Deep Learning Approach on Floodlight Open/Quality terms for usual statistic measures do not apply,yes,applies partially,applies partially,no,no,applies partially,applies partially,yes,yes,RW: Gait,RW: Dexterity/Tremor,,,,,no,,no,,,yes,significance not tested,no,,no,,,no,,no,,no,,no,
Naegelin,"Shema-Shiratzky S., Hillel I., Mirelman A., Regev K., Hsieh K.L., Karni A., Devos H., Sosnoff J.J., Hausdorff J.M.",2020,"Shema-Shiratzky et al, 2020",A wearable sensor identifies alterations in community ambulation in multiple sclerosis: contributors to real-world gait quality and physical activity,10.1007/S00415-020-09759-7,English,,,44,44 (72.7),72.72727273,32,73%,49.2 (10.7),RR: n=44,,EDSS: 3.5 [2.5-5.0],13.3 (9.3),not reported,not reported,healthy,"healthy 
n=60 (51% female)
age: 52.1 (7.1)",HC,60,51%,0.85,52.1 (7.1),-,-,-,-,-,"APDM Opal IMU
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 1
Position: lower back","accelerometer, gyroscope, magnetometer",accelerometer,"Opal, APDM",3,NA,NA,1,lower back,lower back,1 (lower back),Home setting/Lab Testing,mixed,0,NA,NA,NA,NA,yes,-,yes,7 days,7 days,1,To evaluate community ambulation and physical activity in PwMS and HC and to compare in-lab gait to community ambulation,Spearman's correlation,none,-,-,"EDSS, T25FW, SDMT, MFIS","During community ambulation PwMS have marked gait alterations in multiple gait features, remniscent of dual-task walking measured in the lab",no perfect matching with HC,NCT02427997,,yes,yes,yes,yes,no,yes,yes,no,yes,RW: Gait,Lab: Gait,,,,,no,,no,,,yes,mixed,no,,no,,,no,,no,,no,,no,
Woelfle,"Mosquera-Lopez C., Wan E., Shastry M., Folsom J., Leitschuh J., Condon J., Rajhbeharrysingh U., Hildebrand A., Cameron M.H., Jacobs P.G.",2020,"Mosquera-lopez et al, 2020",Automated Detection of Real-World Falls: Modeled from People with Multiple Sclerosis,10.1109/JBHI.2020.3041035,English,,,25,25 (68.0),68,17,17,"54 (mean), range: 33-76","RR: n=11,
PP: n=6,
SP: n=8",,EDSS: range: 4.0-6.0,not reported,not reported,not reported,none,none,no control,-,-,#VALUE!,-,-,-,-,-,-,"MotioWear
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",accelerometer,accelerometer,MotioWear / MotioSens,3,NA,100,1,waist,trunk / in pockets,1 (waist),at home,real-world,0,NA,NA,NA,NA,yes,-,yes,8 weeks,8 weeks,1,classification method aims at accurately distinguishing between high acceleration ADLs and falls,-,-,"AUC, sensitivity, specificity, accuracy",-,-,"Our system achieved a sensitivity of 92.14% on real-world falls, which is associated with a false positive rate of 0.65 false alarms per day. Incorporating contextual features was helpful in substantially reducing the false positive rate.","the usability of the system would be improved by further reducing the number of false alarms, if this could be done without compromising the system's sensitivity.",NCT02583386,-,yes,yes,yes,yes,yes,yes,applies partially,applies partially,applies partially,RW: Gait,RW: Balance,,,,,no,,no,,,no,,no,,no,,,no,,no,,no,,no,
