"Title","Original Title","Author Names","AiP/IP Entry Date","Full Record Entry Date","Source","Source title","Publication Year","Volume","Issue","First Page","Last Page","Date of Publication","Publication Type","DOI"
"Smartphone-derived keystroke dynamics are sensitive to relevant changes in multiple sclerosis",,"Lam K.-H., Twose J., McConchie H., Licitra G., Meijer K., de Ruiter L., van Lierop Z., Moraal B., Barkhof F., Uitdehaag B., de Groot V., Killestein J.","2021-11-24","2022-04-20","European Journal of Neurology (2022) 29:2 (522-534). Date of Publication: 1 Feb 2022","European Journal of Neurology","2022","29","2","522","534","1 Feb 2022","Article",10.1111/ene.15162
"Feasibility of a theory-informed mobile app for changing physical activity in youth with multiple sclerosis",,"Stephens S., Schneiderman J.E., Finlayson M., Berenbaum T., Motl R.W., Yeh E.A.","2022-01-14","2022-09-13","Multiple Sclerosis and Related Disorders (2022) 58 Article Number: 103467. Date of Publication: 1 Feb 2022","Multiple Sclerosis and Related Disorders","2022","58",,,,"1 Feb 2022","Article",10.1016/j.msard.2021.103467
"Short inertial sensor-based gait tests reflect perceived state fatigue in multiple sclerosis",,"Ibrahim A.A., Flachenecker F., Gaßner H., Rothammer V., Klucken J., Eskofier B.M., Kluge F.","2022-01-24","2022-09-22","Multiple Sclerosis and Related Disorders (2022) 58 Article Number: 103519. Date of Publication: 1 Feb 2022","Multiple Sclerosis and Related Disorders","2022","58",,,,"1 Feb 2022","Article",10.1016/j.msard.2022.103519
"Walking With Horizontal Head Turns Is Impaired in Persons With Early-Stage Multiple Sclerosis Showing Normal Locomotion",,"Carpinella I., Gervasoni E., Anastasi D., Di Giovanni R., Tacchino A., Brichetto G., Confalonieri P., Solaro C., Rovaris M., Ferrarin M., Cattaneo D.","2022-02-21","2022-02-25","Frontiers in Neurology (2022) 12 Article Number: 821640. Date of Publication: 28 Jan 2022","Frontiers in Neurology","2022","12",,,,"28 Jan 2022","Article",10.3389/fneur.2021.821640
"Effect of Deep Brain Stimulation on Cerebellar Tremor Compared to Non-Cerebellar Tremor Using a Wearable Device in a Patient With Multiple Sclerosis: Case Report",,"Xie T., Padmanaban M., Javed A., Satzer D., Towle T.E., Warnke P., Towle V.L.","2022-02-04","2022-02-09","Frontiers in Human Neuroscience (2021) 15 Article Number: 754091. Date of Publication: 13 Jan 2022","Frontiers in Human Neuroscience","2021","15",,,,"13 Jan 2022","Article",10.3389/fnhum.2021.754091
"New pharmaceuticals approved by FDA in 2020: Small-molecule drugs derived from amino acids and related compounds",,"Liu A., Han J., Nakano A., Konno H., Moriwaki H., Abe H., Izawa K., Soloshonok V.A.","2021-11-09","2022-03-25","Chirality (2022) 34:1 (86-103). Date of Publication: 1 Jan 2022","Chirality","2022","34","1","86","103","1 Jan 2022","Review",10.1002/chir.23376
"Sex differences regulate immune responses in experimental autoimmune encephalomyelitis and multiple sclerosis",,"Ryan L., Mills K.H.G.","2021-11-23","2022-04-19","European Journal of Immunology (2022) 52:1 (24-33). Date of Publication: 1 Jan 2022","European Journal of Immunology","2022","52","1","24","33","1 Jan 2022","Review",10.1002/eji.202149589
"Personalized prediction of rehabilitation outcomes in multiple sclerosis: a proof-of-concept using clinical data, digital health metrics, and machine learning",,"Kanzler C.M., Lamers I., Feys P., Gassert R., Lambercy O.","2021-11-30","2022-04-05","Medical and Biological Engineering and Computing (2022) 60:1 (249-261). Date of Publication: 1 Jan 2022","Medical and Biological Engineering and Computing","2022","60","1","249","261","1 Jan 2022","Article",10.1007/s11517-021-02467-y
"Consensus Paper: Ataxic Gait",,"Cabaraux P., Agrawal S.K., Cai H., Calabro R.S., Carlo C., Loic D., Sarah D., Habas C., Horn A.K.E., Ilg W., Louis E.D., Mitoma H., Monaco V., Petracca M., Ranavolo A., Rao A.K., Ruggieri S., Schirinzi T., Serrao M., Summa S., Strupp M., Surgent O., Synofzik M., Tao S., Terasi H., Torres-Russotto D., Travers B., Roper J.A., Manto M.","2022-04-20",,"Cerebellum (2022). Date of Publication: 2022","Cerebellum","2022",,,,,"2022","Article in Press",10.1007/s12311-022-01373-9
"Social Cognitive Theory variables as correlates of physical activity in fatigued persons with multiple sclerosis",,"Jeng B., Cederberg K.L.J., Huynh T.L., Silic P., Jones C.D., Feasel C.D., Sikes E.M., Baird J.F., Silveira S.L., Sasaki J.E., Motl R.W.","2021-12-07","2022-11-25","Multiple Sclerosis and Related Disorders (2022) 57 Article Number: 103312. Date of Publication: 1 Jan 2022","Multiple Sclerosis and Related Disorders","2022","57",,,,"1 Jan 2022","Article",10.1016/j.msard.2021.103312
"The analysis of a subset of HLA region associations in type 1 diabetes and multiple sclerosis suggests the involvement mechanisms other than antigen presentation in the pathogenesis",,"Singh S.K.","2022-01-14","2022-04-19","Informatics in Medicine Unlocked (2022) 28 Article Number: 100831. Date of Publication: 1 Jan 2022","Informatics in Medicine Unlocked","2022","28",,,,"1 Jan 2022","Article",10.1016/j.imu.2021.100831
"Artificial Intelligence in Healthcare-A Survey",,"Kalra G., Rout S., Jain A., Kumar A., Giri J., Rai H.M.","2022-07-21","2022-07-26","NeuroQuantology (2022) 20:7 (544-551). Date of Publication: 2022","NeuroQuantology","2022","20","7","544","551","2022","Article",10.14704/nq.2022.20.7.NQ33071
"POSA363 Lasting Impacts of the COVID-19 Pandemic on Patients Affected By Chronic Diseases in Europe",,"Halioua B., Astruc A., Gourdon M., Bombezin-Domino A., Radoszycki L.",,"2022-01-25","Value in Health (2022) 25:1 Supplement (S220). Date of Publication: 1 Jan 2022","Value in Health","2022","25","1","S220",,"1 Jan 2022","Conference Abstract",10.1016/j.jval.2021.11.1074
"New Biomed-Tech Advances Poised to Change the Future",,"Mertz L.","2022-03-11","2022-03-28","IEEE Pulse (2022) 13:1 (2-7). Date of Publication: 2022","IEEE Pulse","2022","13","1","2","7","2022","Article",10.1109/MPULS.2022.3145605
"A Systematic Review on Serious Games in Attention Rehabilitation and Their Effects",,"Shahmoradi L., Mohammadian F., Rahmani Katigari M.","2022-03-22","2022-05-24","Behavioural Neurology (2022) 2022 Article Number: 2017975. Date of Publication: 2022","Behavioural Neurology","2022","2022",,,,"2022","Review",10.1155/2022/2017975
"Bioinformatics and system biology approaches to identify molecular pathogenesis of polycystic ovarian syndrome, type 2 diabetes, obesity, and cardiovascular disease that are linked to the progression of female infertility",,"Hossain M.A., Al Amin M., Hasan M.I., Sohel M., Ahammed M.A., Mahmud S.M.H., Rahman M.R., Rahman M.H.","2022-05-16","2022-07-01","Informatics in Medicine Unlocked (2022) 30 Article Number: 100960. Date of Publication: 1 Jan 2022","Informatics in Medicine Unlocked","2022","30",,,,"1 Jan 2022","Article",10.1016/j.imu.2022.100960
"The Sit-to-Stand Transition as a Biomarker for Impairment: Comparison of Instrumented 30-Second Chair Stand Test and Daily Life Transitions in Multiple Sclerosis",,"Tulipani L.J., Meyer B., Fox S., Solomon A.J., McGinnis R.S.","2022-05-16","2022-06-03","IEEE Transactions on Neural Systems and Rehabilitation Engineering (2022) 30 (1213-1222). Date of Publication: 2022","IEEE Transactions on Neural Systems and Rehabilitation Engineering","2022","30",,"1213","1222","2022","Article",10.1109/TNSRE.2022.3169962
"Toward Soft Wearable Strain Sensors for Muscle Activity Monitoring",,"Alvarez J.T., Gerez L.F., Araromi O.A., Hunter J.G., Choe D.K., Payne C.J., Wood R.J., Walsh C.J.","2022-08-17","2022-10-12","IEEE Transactions on Neural Systems and Rehabilitation Engineering (2022) 30 (2198-2206). Date of Publication: 2022","IEEE Transactions on Neural Systems and Rehabilitation Engineering","2022","30",,"2198","2206","2022","Article",10.1109/TNSRE.2022.3196501
"Neural correlates of digital measures shown by structural MRI: a post-hoc analysis of a smartphone-based remote assessment feasibility study in multiple sclerosis",,"Ganzetti M., Graves J.S., Holm S.P., Dondelinger F., Midaglia L., Gaetano L., Craveiro L., Lipsmeier F., Bernasconi C., Montalban X., Hauser S.L., Lindemann M.","2022-12-12",,"Journal of Neurology (2022). Date of Publication: 2022","Journal of Neurology","2022",,,,,"2022","Article in Press",10.1007/s00415-022-11494-0
"The Economic and Humanistic Burden of Pediatric-Onset Multiple Sclerosis",,"Greene N., Araujo L., Campos C., Dalglish H., Gibbs S., Yermilov I.","2022-11-22","2022-11-29","Journal of Health Economics and Outcomes Research (2022) 9:2 (103-114). Date of Publication: 2022","Journal of Health Economics and Outcomes Research","2022","9","2","103","114","2022","Review",10.36469/001c.37992
"Human Gait Analysis in Neurodegenerative Diseases: A Review",,"Cicirelli G., Impedovo D., Dentamaro V., Marani R., Pirlo G., D'Orazio T.R.","2021-08-17","2022-04-15","IEEE Journal of Biomedical and Health Informatics (2022) 26:1 (229-242). Date of Publication: 1 Jan 2022","IEEE Journal of Biomedical and Health Informatics","2022","26","1","229","242","1 Jan 2022","Article",10.1109/JBHI.2021.3092875
"Impedimetric Immunosensing for Neuroinflammatory Biomarker Profiling",,"Cruz A., Abreu C.M., Freitas P.P., Mendes Pinto I.","2021-10-26","2021-11-10","Neuromethods (2022) 173 (347-359). Date of Publication: 2022","Neuromethods","2022","173",,"347","359","2022","Chapter",10.1007/978-1-0716-1712-0_14
"Habitual Physical Activity in Patients with Myasthenia Gravis Assessed by Accelerometry and Questionnaire",,"Andersen L.K., Vissing J.","2022-01-24","2022-01-27","Journal of Neuromuscular Diseases (2022) 9:1 (161-169). Date of Publication: 2022","Journal of Neuromuscular Diseases","2022","9","1","161","169","2022","Article",10.3233/JND-210693
"MS JobSeek: A pilot randomized controlled trial of an online peer discussion forum for job-seekers with multiple sclerosis",,"Dorstyn D., Oxlad M., Roberts R., Murphy G., Potter E., Kneebone I., Craig A.","2022-01-31","2022-03-08","Journal of Vocational Rehabilitation (2022) 56:1 (81-91). Date of Publication: 2022","Journal of Vocational Rehabilitation","2022","56","1","81","91","2022","Article",10.3233/JVR-211174
"Technical validation of real-world monitoring of gait: A multicentric observational study",,"Mazzà C., Alcock L., Aminian K., Becker C., Bertuletti S., Bonci T., Brown P., Brozgol M., Buckley E., Carsin A.-E., Caruso M., Caulfield B., Cereatti A., Chiari L., Chynkiamis N., Ciravegna F., Del Din S., Eskofier B., Evers J., Garcia Aymerich J., Gazit E., Hansen C., Hausdorff J.M., Helbostad J.L., Hiden H., Hume E., Paraschiv-Ionescu A., Ireson N., Keogh A., Kirk C., Kluge F., Koch S., Küderle A., Lanfranchi V., Maetzler W., Micó-Amigo M.E., Mueller A., Neatrour I., Niessen M., Palmerini L., Pluimgraaff L., Reggi L., Salis F., Schwickert L., Scott K., Sharrack B., Sillen H., Singleton D., Soltani A., Taraldsen K., Ullrich M., Van Gelder L., Vereijken B., Vogiatzis I., Warmerdam E., Yarnall A., Rochester L.","2021-12-21","2022-01-03","BMJ Open (2021) 11:12 Article Number: e050785. Date of Publication: 2 Dec 2021","BMJ Open","2021","11","12",,,"2 Dec 2021","Article",10.1136/bmjopen-2021-050785
"Smartphone-based symbol-digit modalities test reliably captures brain damage in multiple sclerosis",,"Pham L., Harris T., Varosanec M., Morgan V., Kosa P., Bielekova B.","2021-03-05","2021-06-14","npj Digital Medicine (2021) 4:1 Article Number: 36. Date of Publication: 1 Dec 2021","npj Digital Medicine","2021","4","1",,,"1 Dec 2021","Article",10.1038/s41746-021-00401-y
"DHODH and cancer: promising prospects to be explored",,"Zhou Y., Tao L., Zhou X., Zuo Z., Gong J., Liu X., Zhou Y., Liu C., Sang N., Liu H., Zou J., Gou K., Yang X., Zhao Y.","2021-05-18","2021-06-24","Cancer and Metabolism (2021) 9:1 Article Number: 22. Date of Publication: 1 Dec 2021","Cancer and Metabolism","2021","9","1",,,"1 Dec 2021","Review",10.1186/s40170-021-00250-z
"Cybernic treatment with wearable cyborg Hybrid Assistive Limb (HAL) improves ambulatory function in patients with slowly progressive rare neuromuscular diseases: a multicentre, randomised, controlled crossover trial for efficacy and safety (NCY-3001)",,"Nakajima T., Sankai Y., Takata S., Kobayashi Y., Ando Y., Nakagawa M., Saito T., Saito K., Ishida C., Tamaoka A., Saotome T., Ikai T., Endo H., Ishii K., Morita M., Maeno T., Komai K., Ikeda T., Ishikawa Y., Maeshima S., Aoki M., Ito M., Mima T., Miura T., Matsuda J., Kawaguchi Y., Hayashi T., Shingu M., Kawamoto H.","2021-07-19","2021-12-24","Orphanet Journal of Rare Diseases (2021) 16:1 Article Number: 304. Date of Publication: 1 Dec 2021","Orphanet Journal of Rare Diseases","2021","16","1",,,"1 Dec 2021","Article",10.1186/s13023-021-01928-9
"Digital Inhalers for Asthma or Chronic Obstructive Pulmonary Disease: A Scientific Perspective",,"Chan A.H.Y., Pleasants R.A., Dhand R., Tilley S.L., Schworer S.A., Costello R.W., Merchant R.","2021-08-17","2021-11-25","Pulmonary Therapy (2021) 7:2 (345-376). Date of Publication: 1 Dec 2021","Pulmonary Therapy","2021","7","2","345","376","1 Dec 2021","Review",10.1007/s41030-021-00167-4
"Wearable inertial sensors are highly sensitive in the detection of gait disturbances and fatigue at early stages of multiple sclerosis",,"Müller R., Hamacher D., Hansen S., Oschmann P., Keune P.M.","2021-09-09","2021-09-21","BMC Neurology (2021) 21:1 Article Number: 337. Date of Publication: 1 Dec 2021","BMC Neurology","2021","21","1",,,"1 Dec 2021","Article",10.1186/s12883-021-02361-y
"Assessing the usability of wearable devices to measure gait and physical activity in chronic conditions: a systematic review",,"Keogh A., Argent R., Anderson A., Caulfield B., Johnston W.","2021-09-23","2022-02-15","Journal of NeuroEngineering and Rehabilitation (2021) 18:1 Article Number: 138. Date of Publication: 1 Dec 2021","Journal of NeuroEngineering and Rehabilitation","2021","18","1",,,"1 Dec 2021","Review",10.1186/s12984-021-00931-2
"European evidence-based recommendations for clinical assessment of upper limb in neurorehabilitation (CAULIN): data synthesis from systematic reviews, clinical practice guidelines and expert consensus",,"Prange-Lasonder G.B., Alt Murphy M., Lamers I., Hughes A.-M., Buurke J.H., Feys P., Keller T., Klamroth-Marganska V., Tarkka I.M., Timmermans A., Burridge J.H.","2021-11-15","2022-01-31","Journal of NeuroEngineering and Rehabilitation (2021) 18:1 Article Number: 162. Date of Publication: 1 Dec 2021","Journal of NeuroEngineering and Rehabilitation","2021","18","1",,,"1 Dec 2021","Article",10.1186/s12984-021-00951-y
"Evaluation of the concordance between GluN1-GluN2 heteromer live-cell-based assay and GluN1 monomer biochip kit assay on anti-NMDAR autoantibody detection",,"Tanaka K., Kitagawa Y., Hori K., Kinoshita M., Tanaka M.","2021-10-05","2022-01-20","Journal of Immunological Methods (2021) 499 Article Number: 113150. Date of Publication: 1 Dec 2021","Journal of Immunological Methods","2021","499",,,,"1 Dec 2021","Article",10.1016/j.jim.2021.113150
"Therapeutic maps for a sensor-based evaluation of deep brain stimulation programming",,"Bremm R.P., Berthold C., Krüger R., Koch K.P., Goncąlves J., Hertel F.","2021-11-22","2022-01-18","Biomedizinische Technik (2021) 66:6 (603-611). Date of Publication: 1 Dec 2021","Biomedizinische Technik","2021","66","6","603","611","1 Dec 2021","Article",10.1515/bmt-2020-0210
"Objectively-assessed physical activity and self-reported activity pacing in adults with multiple sclerosis: A pilot study",,"Abonie U.S., Saxton J., Baker K., Hettinga F.J.","2021-06-25","2021-12-21","Clinical rehabilitation (2021) 35:12 (1781-1788). Date of Publication: 1 Dec 2021","Clinical rehabilitation","2021","35","12","1781","1788","1 Dec 2021","Article",10.1177/02692155211024135
"Digital personal assistants are smart ways for assistive technology to aid the health and wellbeing of patients and carers",,"Balasubramanian G.V., Beaney P., Chambers R.","2022-01-04","2022-01-05","BMC geriatrics (2021) 21:1 (643). Date of Publication: 15 Nov 2021","BMC geriatrics","2021","21","1","643",,"15 Nov 2021","Article",10.1186/s12877-021-02436-y
"37th Congress of the European Committee for Treatment and Research in Multiple Sclerosis (ECTRIMS 2021): 13–15 October, 2021",,"Pochon S.","2021-12-08","2022-03-29","Pharmaceutical Medicine (2021) 35:6 (367-370). Date of Publication: 1 Nov 2021","Pharmaceutical Medicine","2021","35","6","367","370","1 Nov 2021","Article",10.1007/s40290-021-00411-x
"Automated analysis of the two-minute walk test in clinical practice using accelerometer data",,"Trentzsch K., Melzer B., Stölzer-Hutsch H., Haase R., Bartscht P., Meyer P., Ziemssen T.","2021-11-30","2021-12-01","Brain Sciences (2021) 11:11 Article Number: 1507. Date of Publication: 1 Nov 2021","Brain Sciences","2021","11","11",,,"1 Nov 2021","Article",10.3390/brainsci11111507
"Digital biomarkers in multiple sclerosis",,"Dillenseger A., Weidemann M.L., Trentzsch K., Inojosa H., Haase R., Schriefer D., Voigt I., Scholz M., Akgün K., Ziemssen T.","2021-11-30","2021-12-01","Brain Sciences (2021) 11:11 Article Number: 1519. Date of Publication: 1 Nov 2021","Brain Sciences","2021","11","11",,,"1 Nov 2021","Review",10.3390/brainsci11111519
"Comparing fall detection methods in people with multiple sclerosis: A prospective observational cohort study",,"Hildebrand A., Jacobs P.G., Folsom J.G., Mosquera-Lopez C., Wan E., Cameron M.H.","2021-09-28","2022-04-19","Multiple Sclerosis and Related Disorders (2021) 56 Article Number: 103270. Date of Publication: 1 Nov 2021","Multiple Sclerosis and Related Disorders","2021","56",,,,"1 Nov 2021","Article",10.1016/j.msard.2021.103270
"A multidimensional approach to sleep health in multiple sclerosis",,"Whibley D., Goldstein C., Kratz A.L., Braley T.J.","2021-10-07","2022-04-28","Multiple Sclerosis and Related Disorders (2021) 56 Article Number: 103271. Date of Publication: 1 Nov 2021","Multiple Sclerosis and Related Disorders","2021","56",,,,"1 Nov 2021","Article",10.1016/j.msard.2021.103271
"Practice effects of mobile tests of cognition, dexterity, and mobility on patients with multiple sclerosis: Data analysis of a smartphone-based observational study",,"Woelfle T., Pless S., Wiencierz A., Kappos L., Naegelin Y., Lorscheider J.","2021-12-07","2021-12-23","Journal of Medical Internet Research (2021) 23:11 Article Number: e30394. Date of Publication: 1 Nov 2021","Journal of Medical Internet Research","2021","23","11",,,"1 Nov 2021","Article",10.2196/30394
"Toward a Remote Assessment of Walking Bout and Speed: Application in Patients with Multiple Sclerosis",,"Atrsaei A., Dadashi F., Mariani B., Gonzenbach R., Aminian K.","2021-05-25","2022-04-15","IEEE Journal of Biomedical and Health Informatics (2021) 25:11 (4217-4228). Date of Publication: 1 Nov 2021","IEEE Journal of Biomedical and Health Informatics","2021","25","11","4217","4228","1 Nov 2021","Article",10.1109/JBHI.2021.3076707
"The impact of data from remote measurement technology on the clinical practice of healthcare professionals in depression, epilepsy and multiple sclerosis: survey",,"Andrews J.A., Craven M.P., Lang A.R., Guo B., Morriss R., Hollis C.","2021-11-11","2021-12-24","BMC medical informatics and decision making (2021) 21:1 (282). Date of Publication: 13 Oct 2021","BMC medical informatics and decision making","2021","21","1","282",,"13 Oct 2021","Article",10.1186/s12911-021-01640-5
"Upregulation of Phosphodiesterase 2A Augments T Cell Activation by Changing cGMP/cAMP Cross-Talk",,"Kurelic R., Krieg P.F., Sonner J.K., Bhaiyan G., Ramos G.C., Frantz S., Friese M.A., Nikolaev V.O.","2021-10-25","2022-05-06","Frontiers in Pharmacology (2021) 12 Article Number: 748798. Date of Publication: 5 Oct 2021","Frontiers in Pharmacology","2021","12",,,,"5 Oct 2021","Article",10.3389/fphar.2021.748798
"Physical activity and self-reported sleep quality in adults with multiple sclerosis",,"Cederberg K.L.J., Jeng B., Sasaki J.E., Sikes E.M., Cutter G., Motl R.W.","2021-07-06","2022-01-06","Disability and Health Journal (2021) 14:4 Article Number: 101133. Date of Publication: 1 Oct 2021","Disability and Health Journal","2021","14","4",,,"1 Oct 2021","Article",10.1016/j.dhjo.2021.101133
"Do physical activity and social cognitive theory variable scores differ across symptom cluster severity groups in multiple sclerosis?",,"Silveira S.L., Cederberg K.L.J., Jeng B., Sikes E.M., Sandroff B.M., Jones C.D., Motl R.W.","2021-07-20","2022-01-21","Disability and Health Journal (2021) 14:4 Article Number: 101163. Date of Publication: 1 Oct 2021","Disability and Health Journal","2021","14","4",,,"1 Oct 2021","Article",10.1016/j.dhjo.2021.101163
"MSCopilot: New smartphone-based digital biomarkers correlate with Expanded Disability Status Scale scores in people with Multiple Sclerosis",,"Tanoh I.-C., Maillart E., Labauge P., Cohen M., Maarouf A., Vukusic S., Donzé C., Gallien P., De Sèze J., Bourre B., Moreau T., Louapre C., Vallée M., Bieuvelet S., Klaeylé L., Argoud A.-L., Zinaï S., Tourbah A.","2021-08-06",,"Multiple Sclerosis and Related Disorders (2021) 55 Article Number: 103164. Date of Publication: 1 Oct 2021","Multiple Sclerosis and Related Disorders","2021","55",,,,"1 Oct 2021","Article",10.1016/j.msard.2021.103164
"The potential impact of digital biomarkers in multiple sclerosis in the netherlands: An early health technology assessment of ms sherpa",,"Cloosterman S., Wijnands I., Huygens S., Wester V., Lam K.-H., Strijbis E., Teuling B.D., Versteegh M.","2021-10-06","2021-10-26","Brain Sciences (2021) 11:10 Article Number: 1305. Date of Publication: 1 Oct 2021","Brain Sciences","2021","11","10",,,"1 Oct 2021","Article",10.3390/brainsci11101305
"The role of ahr in the hallmarks of brain aging: Friend and foe",,"Ojo E.S., Tischkau S.A.","2021-10-19","2021-11-02","Cells (2021) 10:10 Article Number: 2729. Date of Publication: 1 Oct 2021","Cells","2021","10","10",,,"1 Oct 2021","Review",10.3390/cells10102729
"Cardiorespiratory fitness and moderate-to-vigorous physical activity in older adults with multiple sclerosis",,"Motl R.W., Baird J.F.","2021-12-07","2021-12-17","Multiple Sclerosis Journal - Experimental, Translational and Clinical (2021) 7:4. Date of Publication: 1 Oct 2021","Multiple Sclerosis Journal - Experimental, Translational and Clinical","2021","7","4",,,"1 Oct 2021","Article",10.1177/20552173211057514
"Path feel smart insoles are a reliable tool to estimate gait parameters for monitoring multiple sclerosis patients progression",,"Völker J.M., Kiricenko I., Burke N.",,"2021-10-12","Journal of the Neurological Sciences (2021) 429 Supplement Article Number: 118174. Date of Publication: 1 Oct 2021","Journal of the Neurological Sciences","2021","429",,,,"1 Oct 2021","Conference Abstract",10.1016/j.jns.2021.118174
"Robot-assisted rehabilitation in multiple sclerosis",,"Feys P.",,"2021-11-02","Multiple Sclerosis Journal (2021) 27:2 SUPPL (131). Date of Publication: 1 Oct 2021","Multiple Sclerosis Journal","2021","27","2 SUPPL","131",,"1 Oct 2021","Conference Abstract",10.1177/13524585211044647
"Data analyses: New strategies for new trial outcomes",,"Tur C.",,"2021-11-02","Multiple Sclerosis Journal (2021) 27:2 SUPPL (6). Date of Publication: 1 Oct 2021","Multiple Sclerosis Journal","2021","27","2 SUPPL","6",,"1 Oct 2021","Conference Abstract",10.1177/13524585211044647
"Active and passive methods/devices for biosensing",,"Lorscheider J.",,"2021-11-02","Multiple Sclerosis Journal (2021) 27:2 SUPPL (38). Date of Publication: 1 Oct 2021","Multiple Sclerosis Journal","2021","27","2 SUPPL","38",,"1 Oct 2021","Conference Abstract",10.1177/13524585211044647
"Smartphone monitoring of cognition and walking function in multiple sclerosis",,"Lam K.H., Van Oirschot P., Bucur I.G., De Graaf F., Uitdehaag B., Heskes T., Killestein J., De Groot V.",,"2021-11-02","Multiple Sclerosis Journal (2021) 27:2 SUPPL (76). Date of Publication: 1 Oct 2021","Multiple Sclerosis Journal","2021","27","2 SUPPL","76",,"1 Oct 2021","Conference Abstract",10.1177/13524585211044647
"The power of big data to improve MS management",,"Hillert J.",,"2021-11-02","Multiple Sclerosis Journal (2021) 27:2 SUPPL (20). Date of Publication: 1 Oct 2021","Multiple Sclerosis Journal","2021","27","2 SUPPL","20",,"1 Oct 2021","Conference Abstract",10.1177/13524585211044647
"Cardiorespiratory fitness and free-living physical activity are not associated with cognition in persons with progressive multiple sclerosis: Baseline analyses from the COGEX study",,"Sandroff B., Motl R., Amato M.P., Brichetto G., Chataway J., Chiaravalloti N., Cutter G., Dalgas U., DeLuca J., Farrell R., Feys P., Filippi M., Freeman J., Inglese M., Meza C., Rocca M., Salter A., Feinstein A.",,"2021-11-02","Multiple Sclerosis Journal (2021) 27:2 SUPPL (87-89). Date of Publication: 1 Oct 2021","Multiple Sclerosis Journal","2021","27","2 SUPPL","87","89","1 Oct 2021","Conference Abstract",10.1177/13524585211044647
"Cognitive functioning in everyday life: The development of a questionnaire on instrumental activities of daily living in multiple sclerosis",,"Van Dam M., Sikkes S.A., Rammeloo E., Reinders E., Jelgerhuis J.R., Geurts J.J., Uitdehaag B.M., Hulst H.E.",,"2021-11-02","Multiple Sclerosis Journal (2021) 27:2 SUPPL (188-189). Date of Publication: 1 Oct 2021","Multiple Sclerosis Journal","2021","27","2 SUPPL","188","189","1 Oct 2021","Conference Abstract",10.1177/13524585211044667
"When does progression start?",,"Lorscheider J.",,"2021-11-02","Multiple Sclerosis Journal (2021) 27:2 SUPPL (27-28). Date of Publication: 1 Oct 2021","Multiple Sclerosis Journal","2021","27","2 SUPPL","27","28","1 Oct 2021","Conference Abstract",10.1177/13524585211044647
"Assessing cognitive impairment in multiple sclerosis using smartphone-based training games: Results of a feasibility study",,"Pless S., Naegelin Y., Lorscheider J., Woelfle T., Wiencierz A., Reyes O., Santos J., Calabrese P., Kappos L.",,"2021-11-02","Multiple Sclerosis Journal (2021) 27:2 SUPPL (541). Date of Publication: 1 Oct 2021","Multiple Sclerosis Journal","2021","27","2 SUPPL","541",,"1 Oct 2021","Conference Abstract",10.1177/13524585211044647
"Relationship between neurofilament light chain and disease activity in relapsing MS: Observations from a phase II trial of IMU-838",,"Fox R., Peelen E., Ondruš M., Muehler A.",,"2021-11-02","Multiple Sclerosis Journal (2021) 27:2 SUPPL (793). Date of Publication: 1 Oct 2021","Multiple Sclerosis Journal","2021","27","2 SUPPL","793",,"1 Oct 2021","Conference Abstract",10.1177/13524585211047080
"Passively acquired smartphone keystroke dynamics are associated with clinical outcomes in multiple sclerosis: A longitudinal analysis",,"Lam K.H., Twose J., Licitra G., Meijer K., Uitdehaag B., De Groot V., Killestein J.",,"2021-11-02","Multiple Sclerosis Journal (2021) 27:2 SUPPL (324-325). Date of Publication: 1 Oct 2021","Multiple Sclerosis Journal","2021","27","2 SUPPL","324","325","1 Oct 2021","Conference Abstract",10.1177/13524585211044667
"Deep grey matter atrophy predicts longitudinal worsening of gait dynamics in progressive MS; a gait biosensor subgroup analysis of the MS-SMART clinical trial [NCT01910259]",,"Paling D., Angelini L., Mazza C., Des Angelis F., Brittain G., Buckley E., Nair S., Sharrack B., Chataway J.",,"2021-11-02","Multiple Sclerosis Journal (2021) 27:2 SUPPL (325-326). Date of Publication: 1 Oct 2021","Multiple Sclerosis Journal","2021","27","2 SUPPL","325","326","1 Oct 2021","Conference Abstract",10.1177/13524585211044667
"Can we rely on EDSS to accurately monitor disability? A study of inter and intra rater variability",,"Cohen M., Bresch S., Thommel Rocchi O., Morain E., Benoit J., Levraut M., Fakir S., Landes C., Lebrun Frenay C.",,"2021-11-02","Multiple Sclerosis Journal (2021) 27:2 SUPPL (264). Date of Publication: 1 Oct 2021","Multiple Sclerosis Journal","2021","27","2 SUPPL","264",,"1 Oct 2021","Conference Abstract",10.1177/13524585211044667
"Novel smartphone sensor-based scores for remote measurement of gait and hand function impairment in people with MS",,"Rukina D., Bogaarts G., Dondelinger F., Hubeaux S., Zanon M., Craveiro L., Model F., Cutter G., Comi G.",,"2021-11-02","Multiple Sclerosis Journal (2021) 27:2 SUPPL (327-328). Date of Publication: 1 Oct 2021","Multiple Sclerosis Journal","2021","27","2 SUPPL","327","328","1 Oct 2021","Conference Abstract",10.1177/13524585211044667
"Passively collected smartphone-based keystroke dynamics could classify disease severity within MS based on a machine learning approach",,"Hoeijmakers A., Licitra G., Meijer K., Lam K.H., Killestein J.",,"2021-11-02","Multiple Sclerosis Journal (2021) 27:2 SUPPL (328). Date of Publication: 1 Oct 2021","Multiple Sclerosis Journal","2021","27","2 SUPPL","328",,"1 Oct 2021","Conference Abstract",10.1177/13524585211044667
