Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Alvarez, J.T., Gerez, L.F., Araromi, O.A., Hunter, J.G., Choe, D.K., Payne, C.J., Wood, R.J., Walsh, C.J.","57217826214;57203984471;36664291800;57838264100;57201365179;36622128200;7404053333;12646107000;","Toward Soft Wearable Strain Sensors for Muscle Activity Monitoring",2022,"IEEE Transactions on Neural Systems and Rehabilitation Engineering","30",,,"2198","2206",,,"10.1109/TNSRE.2022.3196501","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135738573&doi=10.1109%2fTNSRE.2022.3196501&partnerID=40&md5=931552e197a91483091a1eee02022c3d",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85135738573
"Gonzalez-Martinez, S., Cabrera-Umpiérrez, M.F., Ottaviano, M., Urošević, V., Vojičić, N., Spasojević, S., Milićević, O.","57209847794;23395830400;24723259500;41862815300;57802450300;57802683200;57211159715;","Novel Interactive BRAINTEASER Tools for Amyotrophic Lateral Sclerosis (ALS) and Multiple Sclerosis (MS) Management",2022,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","13287 LNCS",,,"302","310",,,"10.1007/978-3-031-09593-1_26","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134179024&doi=10.1007%2f978-3-031-09593-1_26&partnerID=40&md5=d3c2d8af85df332a19c72dc3534be72f",Conference Paper,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85134179024
"Fuchs, T.A., III, M.G.J., Youngs, M., Abdel-Kerim, O., Wojcik, C., Weinstock-Guttman, B., Benedict, R.H.B.","57201074871;57670988400;57220125400;57670089900;57205488572;57203073924;7102333960;","Preliminary Support of a Behavioral Intervention for Trait Conscientiousness in Multiple Sclerosis",2022,"International Journal of MS Care","24","2",,"45","53",,1,"10.7224/1537-2073.2021-005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129641720&doi=10.7224%2f1537-2073.2021-005&partnerID=40&md5=acc0f8aa74bb7dcc0a88b710cc39f2dd",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85129641720
"Tulipani, L.J., Meyer, B., Fox, S., Solomon, A.J., McGinnis, R.S.","57200934947;57210898550;57364569900;36115140000;37077700000;","The Sit-to-Stand Transition as a Biomarker for Impairment: Comparison of Instrumented 30-Second Chair Stand Test and Daily Life Transitions in Multiple Sclerosis",2022,"IEEE Transactions on Neural Systems and Rehabilitation Engineering","30",,,"1213","1222",,3,"10.1109/TNSRE.2022.3169962","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129440353&doi=10.1109%2fTNSRE.2022.3169962&partnerID=40&md5=bd8c77e551ae0e2ee42620d08d65d40f",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85129440353
"Araujo, W.S., Moura, I.Q., Siqueira-Junior, A.","57644249800;57642789600;57647956100;","Are PSoC Noise Levels Low Enough for Single-Chip Active EMG Electrodes?",2022,"IFMBE Proceedings","83",,,"891","896",,,"10.1007/978-3-030-70601-2_133","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128944142&doi=10.1007%2f978-3-030-70601-2_133&partnerID=40&md5=c454d10d26261a48c341e299213e3cf0",Conference Paper,"Final","",Scopus,2-s2.0-85128944142
"Cabaraux, P., Agrawal, S.K., Cai, H., Calabro, R.S., Carlo, C., Loic, D., Sarah, D., Habas, C., Horn, A.K.E., Ilg, W., Louis, E.D., Mitoma, H., Monaco, V., Petracca, M., Ranavolo, A., Rao, A.K., Ruggieri, S., Schirinzi, T., Serrao, M., Summa, S., Strupp, M., Surgent, O., Synofzik, M., Tao, S., Terasi, H., Torres-Russotto, D., Travers, B., Roper, J.A., Manto, M.","57207694886;7403054891;54988208100;16416609700;57188733612;57573245300;57573624600;12801181100;7102220238;6602482296;7202755371;6604086817;35307572000;24477713600;12798639500;25028672200;57007863600;37031954800;7004550391;55388082900;7006250251;57208650281;23391247900;49864907800;57196711458;25627047600;25026240000;55363004000;35565096000;","Consensus Paper: Ataxic Gait",2022,"Cerebellum",,,,"","",,2,"10.1007/s12311-022-01373-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128064808&doi=10.1007%2fs12311-022-01373-9&partnerID=40&md5=71cbf85a8803b9f2433812ee28cc82bc",Article,"Article in Press","",Scopus,2-s2.0-85128064808
"Gopal, A., Hsu, W.-Y., Allen, D.D., Bove, R.","57221906149;36015231600;16686177200;7003948420;","Remote Assessments of Hand Function in Neurological Disorders: Systematic Review",2022,"JMIR Rehabilitation and Assistive Technologies","9","1","e33157","","",,,"10.2196/33157","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126439684&doi=10.2196%2f33157&partnerID=40&md5=3e23f09041d32ec91d698c51cf7d74ba",Review,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85126439684
"Mertz, L.","53986535100;","New Biomed-Tech Advances Poised to Change the Future",2022,"IEEE Pulse","13","1",,"2","7",,,"10.1109/MPULS.2022.3145605","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125552406&doi=10.1109%2fMPULS.2022.3145605&partnerID=40&md5=f8c536e7b20a5f271e5c57b713062903",Article,"Final","",Scopus,2-s2.0-85125552406
"Andersen, L.K., Vissing, J.","56623922500;7005973881;","Habitual Physical Activity in Patients with Myasthenia Gravis Assessed by Accelerometry and Questionnaire",2022,"Journal of Neuromuscular Diseases","9","1",,"161","169",,1,"10.3233/JND-210693","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122789304&doi=10.3233%2fJND-210693&partnerID=40&md5=092d9f01dda2617b020ec4f67295cdcd",Article,"Final","",Scopus,2-s2.0-85122789304
"Jeng, B., Cederberg, K.L.J., Huynh, T.L., Silic, P., Jones, C.D., Feasel, C.D., Sikes, E.M., Baird, J.F., Silveira, S.L., Sasaki, J.E., Motl, R.W.","57203958928;57201820421;57222247044;57358269300;57211669002;57223200836;57208409767;57202444069;57194203914;18134588400;7004580855;","Social Cognitive Theory variables as correlates of physical activity in fatigued persons with multiple sclerosis",2022,"Multiple Sclerosis and Related Disorders","57",,"103312","","",,2,"10.1016/j.msard.2021.103312","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120351301&doi=10.1016%2fj.msard.2021.103312&partnerID=40&md5=367c3d6c07e80b3cd100469425345a0d",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85120351301
"Kanzler, C.M., Lamers, I., Feys, P., Gassert, R., Lambercy, O.","57208485681;36630548700;6602128573;8937521600;21933933900;","Personalized prediction of rehabilitation outcomes in multiple sclerosis: a proof-of-concept using clinical data, digital health metrics, and machine learning",2022,"Medical and Biological Engineering and Computing","60","1",,"249","261",,2,"10.1007/s11517-021-02467-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119866878&doi=10.1007%2fs11517-021-02467-y&partnerID=40&md5=c4356b1d08a5791aeae660384e76012b",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85119866878
"Liu, A., Han, J., Nakano, A., Konno, H., Moriwaki, H., Abe, H., Izawa, K., Soloshonok, V.A.","57218596097;55498265900;57226801149;56606756100;55633582700;57193948788;20934536200;7004553781;","New pharmaceuticals approved by FDA in 2020: Small-molecule drugs derived from amino acids and related compounds",2022,"Chirality","34","1",,"86","103",,9,"10.1002/chir.23376","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118198888&doi=10.1002%2fchir.23376&partnerID=40&md5=ff7177fff0d596b8727cf9f1908713e2",Review,"Final","",Scopus,2-s2.0-85118198888
"Cui, E., Leroux, A., Smirnova, E., Crainiceanu, C.M.","57196369689;57194512165;57201211900;6603085071;","Fast Univariate Inference for Longitudinal Functional Models",2022,"Journal of Computational and Graphical Statistics","31","1",,"219","230",,2,"10.1080/10618600.2021.1950006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111875687&doi=10.1080%2f10618600.2021.1950006&partnerID=40&md5=20443653c0c729db17df6d92e42fad53",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85111875687
"Mazzà, C., Alcock, L., Aminian, K., Becker, C., Bertuletti, S., Bonci, T., Brown, P., Brozgol, M., Buckley, E., Carsin, A.-E., Caruso, M., Caulfield, B., Cereatti, A., Chiari, L., Chynkiamis, N., Ciravegna, F., Del Din, S., Eskofier, B., Evers, J., Garcia Aymerich, J., Gazit, E., Hansen, C., Hausdorff, J.M., Helbostad, J.L., Hiden, H., Hume, E., Paraschiv-Ionescu, A., Ireson, N., Keogh, A., Kirk, C., Kluge, F., Koch, S., Küderle, A., Lanfranchi, V., Maetzler, W., Micó-Amigo, M.E., Mueller, A., Neatrour, I., Niessen, M., Palmerini, L., Pluimgraaff, L., Reggi, L., Salis, F., Schwickert, L., Scott, K., Sharrack, B., Sillen, H., Singleton, D., Soltani, A., Taraldsen, K., Ullrich, M., Van Gelder, L., Vereijken, B., Vogiatzis, I., Warmerdam, E., Yarnall, A., Rochester, L.","7006089519;55437030000;7006135858;7402823061;57190122707;55933999900;57373505800;25121364100;57194452409;15836518700;57213590211;6602906583;12786606600;6701379140;57201277098;8957737400;36738992800;26428080900;56270890000;6603421917;55646795200;55604204900;7006799695;55885414600;6507093570;57209717469;6603200593;12140689800;56585553500;57226147409;57192813255;55883050200;57164916900;8957737600;57206457563;57189212354;7404065096;57195757963;57203047517;35787311000;57374035500;57373680400;55237528900;54585982500;57218218234;6603604950;6504686914;57193511575;56223395700;35743889100;57201691113;57241383000;6603601384;55791244500;57203006155;26665224800;7003666082;","Technical validation of real-world monitoring of gait: A multicentric observational study",2021,"BMJ Open","11","12","e050785","","",,18,"10.1136/bmjopen-2021-050785","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121215805&doi=10.1136%2fbmjopen-2021-050785&partnerID=40&md5=b883b8b825df8c374960836614ff1149",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85121215805
"Guo, G., Zhang, H., Yao, L., Li, H., Xu, C., Li, Z., Xu, W.","57212411087;57203145783;57208701644;57195638748;57190585571;57203558182;55546406300;","MSLife- Digital behavioral phenotyping of multiple sclerosis symptoms in the wild usingwearables and graph-based statistical analysis",2021,"Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies","5","4","3494970","","",,,"10.1145/3494970","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122809617&doi=10.1145%2f3494970&partnerID=40&md5=04d31fd4cfb40abf5f695a8b87ea50d7",Article,"Final","",Scopus,2-s2.0-85122809617
"Balasubramanian, G.V., Beaney, P., Chambers, R.","57193855949;57208123145;7202598815;","Digital personal assistants are smart ways for assistive technology to aid the health and wellbeing of patients and carers",2021,"BMC Geriatrics","21","1","643","","",,8,"10.1186/s12877-021-02436-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119070983&doi=10.1186%2fs12877-021-02436-y&partnerID=40&md5=a8e8ac72e5805ea8376cf93fac09ff46",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85119070983
"Bremm, R.P., Berthold, C., Krüger, R., Koch, K.P., Goncąlves, J., Hertel, F.","57214280813;56295280400;7102281350;35761235900;56830082600;55874386900;","Therapeutic maps for a sensor-based evaluation of deep brain stimulation programming",2021,"Biomedizinische Technik","66","6",,"603","611",,,"10.1515/bmt-2020-0210","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119061786&doi=10.1515%2fbmt-2020-0210&partnerID=40&md5=f9d38f875481c7bca725c61ed9539c5f",Article,"Final","",Scopus,2-s2.0-85119061786
"Andrews, J.A., Craven, M.P., Lang, A.R., Guo, B., Morriss, R., Hollis, C.","57193444880;56768273300;54965585600;57301877100;7004056331;7006624553;","The impact of data from remote measurement technology on the clinical practice of healthcare professionals in depression, epilepsy and multiple sclerosis: survey",2021,"BMC Medical Informatics and Decision Making","21","1","282","","",,3,"10.1186/s12911-021-01640-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117501286&doi=10.1186%2fs12911-021-01640-5&partnerID=40&md5=f039b20b4a88c5ad43905f25e7fb7175",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85117501286
"Keogh, A., Argent, R., Anderson, A., Caulfield, B., Johnston, W.","56585553500;57202307458;57262451600;6602906583;57192429963;","Assessing the usability of wearable devices to measure gait and physical activity in chronic conditions: a systematic review",2021,"Journal of NeuroEngineering and Rehabilitation","18","1","138","","",,7,"10.1186/s12984-021-00931-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115089328&doi=10.1186%2fs12984-021-00931-2&partnerID=40&md5=b968fe75701cf988e13bb9fe3b065005",Review,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85115089328
"Müller, R., Hamacher, D., Hansen, S., Oschmann, P., Keune, P.M.","55447509100;35317494800;56865224500;6701710138;35885536500;","Wearable inertial sensors are highly sensitive in the detection of gait disturbances and fatigue at early stages of multiple sclerosis",2021,"BMC Neurology","21","1","337","","",,8,"10.1186/s12883-021-02361-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114347189&doi=10.1186%2fs12883-021-02361-y&partnerID=40&md5=5beb8703b84cd6718bc960f262d29075",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85114347189
"Chan, A.H.Y., Pleasants, R.A., Dhand, R., Tilley, S.L., Schworer, S.A., Costello, R.W., Merchant, R.","55337510300;56661122300;7006475019;7006059548;51964654700;7101602656;57040685500;","Digital Inhalers for Asthma or Chronic Obstructive Pulmonary Disease: A Scientific Perspective",2021,"Pulmonary Therapy","7","2",,"345","376",,13,"10.1007/s41030-021-00167-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112290286&doi=10.1007%2fs41030-021-00167-4&partnerID=40&md5=2c8e3c7189d72a1a016dedbb55bce379",Review,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85112290286
"Creagh, A.P., Lipsmeier, F., Lindemann, M., Vos, M.D.","57195574606;26029878300;7005073689;57217350598;","Interpretable deep learning for the remote characterisation of ambulation in multiple sclerosis using smartphones",2021,"Scientific Reports","11","1","14301","","",,1,"10.1038/s41598-021-92776-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110480800&doi=10.1038%2fs41598-021-92776-x&partnerID=40&md5=8f30d9ea13fff40f3e4bc1cf5f4738ea",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85110480800
"Nakajima, T., Sankai, Y., Takata, S., Kobayashi, Y., Ando, Y., Nakagawa, M., Saito, T., Saito, K., Ishida, C., Tamaoka, A., Saotome, T., Ikai, T., Endo, H., Ishii, K., Morita, M., Maeno, T., Komai, K., Ikeda, T., Ishikawa, Y., Maeshima, S., Aoki, M., Ito, M., Mima, T., Miura, T., Matsuda, J., Kawaguchi, Y., Hayashi, T., Shingu, M., Kawamoto, H.","57202698032;7003391951;57225899356;37026359700;8601062700;57205478976;7405414795;7406509363;7003925466;7005749824;56538253400;57201695665;57225899541;55628412300;56665490700;57225881484;7103314665;15044769600;7403118701;55636503500;7402962375;8561178000;7006327417;57225880696;57225907976;57225903282;57225910921;35932656200;7201742695;","Cybernic treatment with wearable cyborg Hybrid Assistive Limb (HAL) improves ambulatory function in patients with slowly progressive rare neuromuscular diseases: a multicentre, randomised, controlled crossover trial for efficacy and safety (NCY-3001)",2021,"Orphanet Journal of Rare Diseases","16","1","304","","",,8,"10.1186/s13023-021-01928-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109784753&doi=10.1186%2fs13023-021-01928-9&partnerID=40&md5=95c56a3d9e93b15502a2cc4b780d290d",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85109784753
"Abonie, U.S., Saxton, J., Baker, K., Hettinga, F.J.","57214797230;7006179166;55763789613;14063424200;","Objectively-assessed physical activity and self-reported activity pacing in adults with multiple sclerosis: A pilot study",2021,"Clinical Rehabilitation","35","12",,"1781","1788",,2,"10.1177/02692155211024135","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108336033&doi=10.1177%2f02692155211024135&partnerID=40&md5=0586347ccb7e1902eb2fed4ee6f5a93b",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85108336033
"Pham, L., Harris, T., Varosanec, M., Morgan, V., Kosa, P., Bielekova, B.","57221410277;57206860728;57221409706;57222164788;6506079533;55917319300;","Smartphone-based symbol-digit modalities test reliably captures brain damage in multiple sclerosis",2021,"npj Digital Medicine","4","1","36","","",,12,"10.1038/s41746-021-00401-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101785485&doi=10.1038%2fs41746-021-00401-y&partnerID=40&md5=befdd05f9c6ec8e270b6f26c5d39c565",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85101785485
"Woelfle, T., Pless, S., Wiencierz, A., Kappos, L., Naegelin, Y., Lorscheider, J.","57359375900;57359738700;57210020852;7004559324;12785348100;54397364000;","Practice effects of mobile tests of cognition, dexterity, and mobility on patients with multiple sclerosis: Data analysis of a smartphone-based observational study",2021,"Journal of Medical Internet Research","23","11","e30394","","",,4,"10.2196/30394","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120434321&doi=10.2196%2f30394&partnerID=40&md5=3a19ae15a04a38d1a783733b49bd3045",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85120434321
"Trentzsch, K., Melzer, B., Stölzer-Hutsch, H., Haase, R., Bartscht, P., Meyer, P., Ziemssen, T.","57211519578;57350858200;57224969090;57201570903;57226685573;57351198800;6602879721;","Automated analysis of the two-minute walk test in clinical practice using accelerometer data",2021,"Brain Sciences","11","11","1507","","",,2,"10.3390/brainsci11111507","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119678190&doi=10.3390%2fbrainsci11111507&partnerID=40&md5=0bf83b219017a3f44686f955c0562d06",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85119678190
"Dillenseger, A., Weidemann, M.L., Trentzsch, K., Inojosa, H., Haase, R., Schriefer, D., Voigt, I., Scholz, M., Akgün, K., Ziemssen, T.","57201215478;57211524569;57211519578;57210204422;57201570903;57194643249;57217058513;57219843011;57196033857;6602879721;","Digital biomarkers in multiple sclerosis",2021,"Brain Sciences","11","11","1519","","",,13,"10.3390/brainsci11111519","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119665952&doi=10.3390%2fbrainsci11111519&partnerID=40&md5=0aedffd8d3ca2af03481cee986f91bbe",Review,"Final","All Open Access, Gold",Scopus,2-s2.0-85119665952
"Xing, H., Kissmann, A.-K., Raber, H.F., Krämer, M., Amann, V., Kohn, K., Weil, T., Rosenau, F.","57294929000;57215215538;57204075224;57295367100;57314857900;57317362000;7102735171;6507649473;","Polyclonal aptamers for specific fluorescence labeling and quantification of the health relevant human gut bacterium parabacteroides distasonis",2021,"Microorganisms","9","11","2284","","",,3,"10.3390/microorganisms9112284","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118266978&doi=10.3390%2fmicroorganisms9112284&partnerID=40&md5=de93d7ce90c48b853a70549e4a1777f1",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85118266978
"Whibley, D., Goldstein, C., Kratz, A.L., Braley, T.J.","57190529133;36668361900;36515046700;18633412200;","A multidimensional approach to sleep health in multiple sclerosis",2021,"Multiple Sclerosis and Related Disorders","56",,"103271","","",,1,"10.1016/j.msard.2021.103271","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116265543&doi=10.1016%2fj.msard.2021.103271&partnerID=40&md5=7c2e49674ab6f16e6ae33a29fdcf1751",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85116265543
"Van Oirschot, P., Heerings, M., Wendrich, K., Den Teuling, B., Dorssers, F., Van Ee, R., Martens, M.B., Jongen, P.J.","57356659900;12787967600;57211858773;57219413353;57356520500;57523062000;36967753700;7003502897;","A two-minute walking test with a smartphone app for persons with multiple sclerosis: Validation study",2021,"JMIR Formative Research","5","11","e29128","","",,2,"10.2196/29128","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116148972&doi=10.2196%2f29128&partnerID=40&md5=3dfacd7c3b34fb81e095249328b054c7",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85116148972
"Hildebrand, A., Jacobs, P.G., Folsom, J.G., Mosquera-Lopez, C., Wan, E., Cameron, M.H.","57203040047;26321653200;57038629300;55814148300;7004344408;24398151800;","Comparing fall detection methods in people with multiple sclerosis: A prospective observational cohort study",2021,"Multiple Sclerosis and Related Disorders","56",,"103270","","",,1,"10.1016/j.msard.2021.103270","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115398229&doi=10.1016%2fj.msard.2021.103270&partnerID=40&md5=acfff103623fb7b06208e11721c91c1a",Article,"Final","",Scopus,2-s2.0-85115398229
"Atrsaei, A., Dadashi, F., Mariani, B., Gonzenbach, R., Aminian, K.","57190732663;35331665700;36179762600;23469397900;7006135858;","Toward a Remote Assessment of Walking Bout and Speed: Application in Patients with Multiple Sclerosis",2021,"IEEE Journal of Biomedical and Health Informatics","25","11",,"4217","4228",,6,"10.1109/JBHI.2021.3076707","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105054382&doi=10.1109%2fJBHI.2021.3076707&partnerID=40&md5=05d20e92cefb0bc746a6b00ceb783b12",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85105054382
"Angelini, L., Buckley, E., Bonci, T., Radford, A., Sharrack, B., Paling, D., Nair, K.P.S., Mazza, C.","57212514865;57194452409;55933999900;57222165600;6603604950;36608760800;7201447568;7006089519;","A Multifactorial Model of Multiple Sclerosis Gait and Its Changes across Different Disability Levels",2021,"IEEE Transactions on Biomedical Engineering","68","11",,"3196","3204",,4,"10.1109/TBME.2021.3061998","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101784282&doi=10.1109%2fTBME.2021.3061998&partnerID=40&md5=577c5abf5e316cdda7f03f87767f151e",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85101784282
"Motl, R.W., Baird, J.F.","7004580855;57202444069;","Cardiorespiratory fitness and moderate-to-vigorous physical activity in older adults with multiple sclerosis",2021,"Multiple Sclerosis Journal - Experimental, Translational and Clinical","7","4",,"","",,,"10.1177/20552173211057514","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120340282&doi=10.1177%2f20552173211057514&partnerID=40&md5=eca9963383fb1e2bc038d9155163681f",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85120340282
"Ojo, E.S., Tischkau, S.A.","57200725689;6602906488;","The role of ahr in the hallmarks of brain aging: Friend and foe",2021,"Cells","10","10","2729","","",,7,"10.3390/cells10102729","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116906534&doi=10.3390%2fcells10102729&partnerID=40&md5=90108e250b596486021c237b4d2cf590",Review,"Final","All Open Access, Gold",Scopus,2-s2.0-85116906534
"Cloosterman, S., Wijnands, I., Huygens, S., Wester, V., Lam, K.-H., Strijbis, E., Teuling, B.D., Versteegh, M.","57280492700;57280871300;57008151000;57214791085;57202955852;14029391000;57280624000;36718341000;","The potential impact of digital biomarkers in multiple sclerosis in the netherlands: An early health technology assessment of ms sherpa",2021,"Brain Sciences","11","10","1305","","",,1,"10.3390/brainsci11101305","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116122190&doi=10.3390%2fbrainsci11101305&partnerID=40&md5=7f5388f381926ee8f7d22317e1963ad1",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85116122190
"Tanoh, I.-C., Maillart, E., Labauge, P., Cohen, M., Maarouf, A., Vukusic, S., Donzé, C., Gallien, P., De Sèze, J., Bourre, B., Moreau, T., Louapre, C., Vallée, M., Bieuvelet, S., Klaeylé, L., Argoud, A.-L., Zinaï, S., Tourbah, A.","57219684894;26537843200;7006749057;35847506200;55750353200;6603820898;6603159474;7409508801;35546681800;36676836000;23005377100;36761200400;57211472013;24173424100;57211470101;57211467026;57211474947;55759794400;","MSCopilot: New smartphone-based digital biomarkers correlate with Expanded Disability Status Scale scores in people with Multiple Sclerosis",2021,"Multiple Sclerosis and Related Disorders","55",,"103164","","",,1,"10.1016/j.msard.2021.103164","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111561764&doi=10.1016%2fj.msard.2021.103164&partnerID=40&md5=1812b816cf9e7360e35bc84b3150b90d",Article,"Final","",Scopus,2-s2.0-85111561764
"Silveira, S.L., Cederberg, K.L.J., Jeng, B., Sikes, E.M., Sandroff, B.M., Jones, C.D., Motl, R.W.","57194203914;57201820421;57203958928;57208409767;41562065700;57211669002;7004580855;","Do physical activity and social cognitive theory variable scores differ across symptom cluster severity groups in multiple sclerosis?",2021,"Disability and Health Journal","14","4","101163","","",,1,"10.1016/j.dhjo.2021.101163","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110144635&doi=10.1016%2fj.dhjo.2021.101163&partnerID=40&md5=0ea2df8c9182fb7a8cef02ab2f472966",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85110144635
"Cederberg, K.L.J., Jeng, B., Sasaki, J.E., Sikes, E.M., Cutter, G., Motl, R.W.","57201820421;57203958928;18134588400;57208409767;34568672500;7004580855;","Physical activity and self-reported sleep quality in adults with multiple sclerosis",2021,"Disability and Health Journal","14","4","101133","","",,3,"10.1016/j.dhjo.2021.101133","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108973399&doi=10.1016%2fj.dhjo.2021.101133&partnerID=40&md5=f43cf3d6dd3f3c0052cfd5dc2c01d300",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85108973399
"Alexander, S., Peryer, G., Gray, E., Barkhof, F., Chataway, J.","57218375565;8944272600;57218381366;7102989379;57212501583;","Wearable technologies to measure clinical outcomes in multiple sclerosis: A scoping review",2021,"Multiple Sclerosis Journal","27","11",,"1643","1656",,13,"10.1177/1352458520946005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088979654&doi=10.1177%2f1352458520946005&partnerID=40&md5=eaa5e600bb6d231bafd97e199c830d6a",Review,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85088979654
"Midaglia, L., Sastre-Garriga, J., Montalban, X.","48662674900;6603920140;7007177960;","Clinical monitoring of multiple sclerosis patients by means of digital technology, a field in the midst of a revolution [Monitorización clínica del paciente con esclerosis múltiple a través de la tecnología digital, un campo en plena revolución]",2021,"Revista de Neurologia","73","6",,"210","218",,,"10.33588/RN.7306.2021136","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115983549&doi=10.33588%2fRN.7306.2021136&partnerID=40&md5=92030b47ba4f735063d30dca534bccfe",Review,"Final","",Scopus,2-s2.0-85115983549
"Rice, D.R., Kaplan, T.B., Hotan, G.C., Vogel, A.C., Matiello, M., Gillani, R.L., Hutto, S.K., Ham, A.S., Klawiter, E.C., George, I.C., Galetta, K., Mateen, F.J.","57216750620;56715235200;57189886847;57205647459;16307420500;35302490500;57223129744;57212222918;57200747538;23988528600;15122242100;14521342200;","Electronic pill bottles to monitor and promote medication adherence for people with multiple sclerosis: A randomized, virtual clinical trial",2021,"Journal of the Neurological Sciences","428",,"117612","","",,2,"10.1016/j.jns.2021.117612","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112465747&doi=10.1016%2fj.jns.2021.117612&partnerID=40&md5=a278a4e430a9e53531d4bd74759fb98f",Article,"Final","",Scopus,2-s2.0-85112465747
