,Author.Names,Title,Source.title,Publication.Year,Abstract,Publication.Type,DOI,ID,database,yvonne_included,yvonne_excluded,yvonne_comments,catherine_included,catherine_excluded,catherine_comment,tim,tim_comment
722,"Chitnis T., Glanz B.I., Gonzalez C., Healy B.C., Saraceno T.J., Sattarnezhad N., Diaz-Cruz C., Polgar-Turcsanyi M., Tummala S., Bakshi R., Bajaj V.S., Ben-Shimol D., Bikhchandani N., Blocker A.W., Burkart J., Cendrillon R., Cusack M.P., Demiralp E., Jooste S.K., Kharbouch A., Lee A.A., Lehár J., Liu M., Mahadevan S., Murphy M., Norton L.C., Parlikar T.A., Pathak A., Shoeb A., Soderberg E., Stephens P., Stoertz A.H., Thng F., Tumkur K., Wang H., Rhodes J., Rudick R.A., Ransohoff R.M., Phillips G.A., Bruzik E., Marks W.J., Weiner H.L., Snyder T.M.",Quantifying neurologic disease using biosensor measurements in-clinic and in free-living settings in multiple sclerosis,npj Digital Medicine,2019,"Technological advances in passive digital phenotyping present the opportunity to quantify neurological diseases using new approaches that may complement clinical assessments. Here, we studied multiple sclerosis (MS) as a model neurological disease for investigating physiometric and environmental signals. The objective of this study was to assess the feasibility and correlation of wearable biosensors with traditional clinical measures of disability both in clinic and in free-living in MS patients. This is a single site observational cohort study conducted at an academic neurological center specializing in MS. A cohort of 25 MS patients with varying disability scores were recruited. Patients were monitored in clinic while wearing biosensors at nine body locations at three separate visits. Biosensor-derived features including aspects of gait (stance time, turn angle, mean turn velocity) and balance were collected, along with standardized disability scores assessed by a neurologist. Participants also wore up to three sensors on the wrist, ankle, and sternum for 8 weeks as they went about their daily lives. The primary outcomes were feasibility, adherence, as well as correlation of biosensor-derived metrics with traditional neurologist-assessed clinical measures of disability. We used machine-learning algorithms to extract multiple features of motion and dexterity and correlated these measures with more traditional measures of neurological disability, including the expanded disability status scale (EDSS) and the MS functional composite-4 (MSFC-4). In free-living, sleep measures were additionally collected. Twenty-three subjects completed the first two of three in-clinic study visits and the 8-week free-living biosensor period. Several biosensor-derived features significantly correlated with EDSS and MSFC-4 scores derived at visit two, including mobility stance time with MSFC-4 z-score (Spearman correlation ?0.546; p = 0.0070), several aspects of turning including turn angle (0.437; p = 0.0372), and maximum angular velocity (0.653; p = 0.0007). Similar correlations were observed at subsequent clinic visits, and in the free-living setting. We also found other passively collected signals, including measures of sleep, that correlated with disease severity. These findings demonstrate the feasibility of applying passive biosensor measurement techniques to monitor disability in MS patients both in clinic and in the free-living setting.",Article,10.1038/S41746-019-0197-7,http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=23986352&id=doi:10.1038%2Fs41746-019-0197-7&atitle=Quantifying+neurologic+disease+using+biosensor+measurements+in-clinic+and+in+free-living+settings+in+multiple+sclerosis&stitle=npj+Digit.+Med.&title=npj+Digital+Medicine&volume=2&issue=1&spage=&epage=&aulast=Chitnis&aufirst=Tanuja&auinit=T.&aufull=Chitnis+T.&coden=&isbn=&pages=-&date=2019&auinit1=T&auinitm=,Embase,Yes,,,no,Out of scope,Biosensors,included,
730,R.E. Bollaert,Self-efficacy and physical and cognitive function in older adults with multiple sclerosis,International Journal of MS Care,2019,NA,Article,10.7224/1537-2073.2018-001,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85073699578&origin=inward,Scopus,No,Out of scope (topic),,yes,,,included,accelerometer used as outcome measure
735,"Motl R.W., Sasaki J.E., Cederberg K.L., Jeng B.",Social-cognitive theory variables as correlates of sedentary behavior in multiple sclerosis: Preliminary evidence,Disability and Health Journal,2019,"Background: Persons with multiple sclerosis(MS) engage in substantially more sedentary behavior than adults from the general population. Objective: Hypothesis: This preliminary, cross-sectional study examined social-cognitive theory(SCT) variables as correlates of sedentary behavior in MS. We hypothesized that scores from SCT variables for sedentary behavior change would correlate with scores from self-reported and device-measured volumes of sedentary behavior in MS. We further hypothesized that the correlations would be stronger for self-reported than device-measured sedentary behavior, and that the primary correlate of sedentary behavior would be self-efficacy. Methods: We recruited participants through a random sample of 1,000 persons enrolled in the North American Research Committee on MS registry, and 275 of the 296 persons who underwent screening volunteered for the study. Participants wore an ActiGraph accelerometer on a belt around the waist for measuring minutes per day of sedentary behavior. Participants further completed a newly-created, study-specific measure of SCT variables for reducing sedentary behavior(i.e., self-efficacy, outcome expectations, barriers, goal setting, & planning) and the abbreviated International Physical Activity Questionnaire as a self-report measure of sitting time. Results: Self-reported sedentary behavior was associated with self-efficacy(r = ?0.47), goal setting(r = ?0.31), planning(r = ?0.35), and barriers(r = 0.39) for reducing sedentary behavior. Device-measured sedentary behavior was associated with self-efficacy(r = ?0.32), goal setting(r = ?0.21), planning(r = ?0.18), and barriers(r = 0.20). Self-efficacy(? = ?0.29), barriers(? = 0.26), and planning(? = ?0.24) independently explained variance in self-reported sedentary behavior(R(2) = 0.33). Only self-efficacy(? = ?0.32) independently explained variance in device-measured sedentary behavior(R(2) = 0.10). Conclusion: SCT constructs might be reasonable targets of a behavioral intervention for reducing sedentary behavior in MS.",Article,10.1016/J.DHJO.2019.05.002,http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=18767583&id=doi:10.1016%2Fj.dhjo.2019.05.002&atitle=Social-cognitive+theory+variables+as+correlates+of+sedentary+behavior+in+multiple+sclerosis%3A+Preliminary+evidence&stitle=Disabil.+Health+J.&title=Disability+and+Health+Journal&volume=12&issue=4&spage=622&epage=627&aulast=Motl&aufirst=Robert+W.&auinit=R.W.&aufull=Motl+R.W.&coden=&isbn=&pages=622-627&date=2019&auinit1=R&auinitm=W,Embase,No,Out of scope (topic),,yes,,,included,accelerometer used as outcome measure
739,"Turner, A; Hayes, S",The Classification of Minor Gait Alterations Using Wearable Sensors and Deep Learning,IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,2019,"Objective: This paper describes how non-invasive wearable sensors can be used in combination with deep learning to classify artificially induced gait alterations without the requirement for a medical professional or gait analyst to be present. This approach is motivated by the goal of diagnosing gait abnormalities on a symptom-by-symptom basis, irrespective of other neuromuscular movement disorders the patients may be affected by. This could lead to improvements in treatment and offer a greater insight into movement disorders. Methods: In-shoe pressure was measured for 12 able-bodied participants, each subject to eight artificially induced gait alterations, achieved by modifying the underside of the shoe. The data were recorded at 100 Hz over 2520 data channels and were analyzed using the deep learning architecture and the long term short term memory networks. Additionally, the rationale for the decision-making process of these networks was investigated. Conclusion: Long term short term memory networks are applicable to the classification of the gait function. The classifications can be made using only 2 s of sparse data (82.0% accuracy over 96 000 instances of test data) from participants who were not a part of the training set. Significance: This paper provides potential for the gait function to be accurately classified using non-invasive techniques, and at more regular intervals, outside of a clinical setting, without the need for healthcare professionals to be present.",Article,10.1109/TBME.2019.2900863,WOS:000502102200015,WoS,No,Out of scope (topic),,yes,,,Out of scope (topic),"no MS patients, interesting (pressure in-shoe in HC only)"
746,"Braakhuis H.E.M., Berger M.A.M., Van Der Stok G.A., Van Meeteren J., De Groot V., Beckerman H., Bussmann J.B.J., Malekzadeh A., Van Den Akker L.E., Looijmans M., Sanches S.A., Dekker J., Collette E.H., Van Oosten B.W., Teunissen C.E., Blankenstein M.A., Eijssen I.C.J.M., Rietberg M., Heine M., Verschuren O., Kwakkel G., Visser-Meily J.M.A., Van De Port I.G.L., Lindeman E., Blikman L.J.M., Van Meeteren J., Bussmann J.B.J., Stam H.J., Hintzen R.Q., Hacking H.G.A., Hoogervorst E.L., Frequin S.T.F.M., Knoop H., De Jong B.A., Bleijenberg G., De Laat F.A.J., Verhulsdonck M.C., Van Munster E.T.L., Oosterwijk C.J., Aarts G.J.",Three distinct physical behavior types in fatigued patients with multiple sclerosis,Journal of NeuroEngineering and Rehabilitation,2019,"Background: Multiple sclerosis often leads to fatigue and changes in physical behavior (PB). Changes in PB are often assumed as a consequence of fatigue, but effects of interventions that aim to reduce fatigue by improving PB are not sufficient. Since the heterogeneous nature of MS related symptoms, levels of PB of fatigued patients at the start of interventions might vary substantially. Better understanding of the variability by identification of PB subtypes in fatigued patients may help to develop more effective personalized rehabilitation programs in the future. This study aimed to identify PB subtypes in fatigued patients with multiple sclerosis based on multidimensional PB outcome measures. Methods: Baseline accelerometer (Actigraph) data, demographics and clinical characteristics of the TREFAMS-ACE participants (n = 212) were used for secondary analysis. All patients were ambulatory and diagnosed with severe fatigue based on a score of ?35 on the fatigue subscale of the Checklist Individual Strength (CIS20r). Fifteen PB measures were used derived from 7 day measurements with an accelerometer. Principal component analysis was performed to define key outcome measures for PB and two-step cluster analysis was used to identify PB types. Results: Analysis revealed five key outcome measures: percentage sedentary behavior, total time in prolonged moderate-to-vigorous physical activity, number of sedentary bouts, and two types of change scores between day parts (morning, afternoon and evening). Based on these outcomes three valid PB clusters were derived. Conclusions: Patients with severe MS-related fatigue show three distinct and homogeneous PB subtypes. These PB subtypes, based on a unique set of PB outcome measures, may offer an opportunity to design more individually-tailored interventions in rehabilitation. Trial registration: Clinical trial registration no ISRCTN 82353628, ISRCTN 69520623 and ISRCTN 58583714.",Article,10.1186/S12984-019-0573-1,http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=17430003&id=doi:10.1186%2Fs12984-019-0573-1&atitle=Three+distinct+physical+behavior+types+in+fatigued+patients+with+multiple+sclerosis&stitle=J.+NeuroEng.+Rehabil.&title=Journal+of+NeuroEngineering+and+Rehabilitation&volume=16&issue=1&spage=&epage=&aulast=Braakhuis&aufirst=&auinit=H.E.M.&aufull=Braakhuis+H.E.M.&coden=&isbn=&pages=-&date=2019&auinit1=H&auinitm=E.M.,Embase,No,Out of scope (topic),,yes,,,included,accelerometer used as outcome measure
758,"Motl R.W., Sasaki J.E., Cederberg K.L., Jeng B.",Validity of Sitting Time Scores From the International Physical Activity Questionnaire-Short Form in Multiple Sclerosis,Rehabilitation Psychology,2019,"Purpose: The current study examined the validity of scores from the sitting time item on the International Physical Activity Questionnaire-Short Form (IPAQ-SF) in a sample of persons with multiple sclerosis (MS). Method: Persons with MS were recruited through the distribution of printed letters to a random sample of 1,000 persons from the North American Research Committee on MS registry. Two hundred ninety-five persons with MS were interested and volunteered to wear an ActiGraph accelerometer for a 7-day period and complete a battery of questionnaires that included the IPAQ-SF and Godin Leisure-Time Exercise Questionnaire over this period of time. Results: IPAQ-SF sitting time scores were consistently and moderately correlated with all of the sedentary behavior metrics from the accelerometer (range of r between .295 and .431), and the correlations were stronger than those between self-reported physical activity and sedentary metrics from the accelerometer (range of r between -.087 and .163). The correlations between IPAQ-SF sitting time scores with the accelerometer-derived sedentary behavior metrics were still statistically significant in the analyses controlling for physical activity (range of parametric correlations between .281 and .411). Conclusions: The correlation analysis indicated consistent, moderate correlations between IPAQ-SF sitting time scores and device-measured estimates of both the volume and pattern of sedentary behavior, and the correlations were (a) stronger than those for self-reported physical activity and (b) independent of self-reported physical activity. Such results provide initial evidence for the validity of inferences from IPAQ-SF sitting time scores as an overall measure of sedentary behavior in persons with MS.",Article in Press,10.1037/REP0000280,http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=19391544&id=doi:10.1037%2Frep0000280&atitle=Validity+of+Sitting+Time+Scores+From+the+International+Physical+Activity+Questionnaire-Short+Form+in+Multiple+Sclerosis&stitle=Rehabil.+Psychol.&title=Rehabilitation+Psychology&volume=&issue=&spage=&epage=&aulast=Motl&aufirst=Robert+W.&auinit=R.W.&aufull=Motl+R.W.&coden=RHBPB&isbn=&pages=-&date=2019&auinit1=R&auinitm=W,Embase,Yes,,,no,Out of scope,,included,"accelerometer used as outcome measure, Actigraph"
760,"Sasaki J.E., Motl R.W., McAuley E.",Validity of the Marshall Sitting Questionnaire in people with multiple sclerosis,Journal of sports sciences,2019,"This study examines the validity of the Marshall Sitting Questionnaire (MSQ) in people with multiple sclerosis (MS) and presents a prediction model to improve the accuracy of the MSQ estimates. Participants (n = 63 [15M and 48F], age: 56.6 ± 7.3 years) wore an accelerometer on the hip for a 7-day period and completed the MSQ. Sedentary behaviour (SB) estimates were computed as min/day for both the MSQ and accelerometer. Associations between the two methods were examined using the Pearson correlation and agreement was assessed using a Bland-Altman plot. A linear prediction model was developed to improve the accuracy of the MSQ estimates using a selection of predictor variables routinely collected in MS research. There was a moderate correlation between MSQ and accelerometer SB estimates (r = 0.34, p < 0.01). The Bland-Altman plot indicated that the MSQ overestimated SB (mean bias: 80.54 min/day, 95% limits of agreement: -410.5 to 571.5 min/day). The prediction model improved the MSQ estimates by 39% and virtually eliminated measurement bias (mean bias:-0.21 min/day; 95% limits of agreement:-109.8 to 109.4 min/day). The results indicate preliminary evidence for the validity of the MSQ in people with MS, and support the application of an alternative prediction model to improve the accuracy of the MSQ estimates. Abbreviations: SB = sedentary behaviour; MS = multiple sclerosis; MSQ = Marshall Sitting Questionnaire; PA = physical activity; EDSS = Expanded Disability Status Scale; LPA = light physical activity; MVPA = moderate-to-vigorous physical activity; GLTEQ = Godin Leisure Time Exercise Questionnaire; PDDS = Patient-Determined Disease Steps; RMSE = root mean square error.",Article,10.1080/02640414.2018.1554614,http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=1466447X&id=doi:10.1080%2F02640414.2018.1554614&atitle=Validity+of+the+Marshall+Sitting+Questionnaire+in+people+with+multiple+sclerosis&stitle=J+Sports+Sci&title=Journal+of+sports+sciences&volume=37&issue=11&spage=1250&epage=1256&aulast=Sasaki&aufirst=Jeffer+Eidi&auinit=J.E.&aufull=Sasaki+J.E.&coden=&isbn=&pages=1250-1256&date=2019&auinit1=J&auinitm=E,Embase,Yes,,,no,Out of scope,,included,accelerometer used as outcome measure
772,"Kaczmarek O., Srinivasan J., Burke C., Khokhar A., Zarif M., Bumstead B., Golan D., Buhse M., Ofori E., Gudesblatt M.",A comparison of digital gait technologies in a population of people with MS-when the same isn't always exactly the same,Multiple Sclerosis Journal,2020,"Background: Multiple Sclerosis (MS), a disease characterized both by relapses and progression, commonly impacts ambulation. Impaired ambulation results in loss of independence. Current approaches to document disease impact/progression on ambulation including EDSS/T25FW are insufficiently sensitive to quantify subtle but critical change. Patient Reported Outcomes (PRO) for gait relate to several critical elements of the gait cycle beyond velocity. Earlier recognition of critical change might improve disease modifying therapy choice and timing of change. Objective multi-dimensional analytics have included digital devices of varying types utilizing different technologies (e.g. foot pressure, accelerometer, 3D video capture). Comparing different technologies in people with MS (PwMS) along a spectrum of disability would be important to optimal technology choice. Simultaneous comparisons of similar outcome measures of gait components would enhance technology choice. Objectives: To compare and contrast quantified outcome measures of the gait cycle as measured by the use of three different validated and digital ambulatory devices. Methods: PwMS performed one pass (20 feet) while ambulating at a preferred walking speed along the Zeno™ walkway (ZW, ProtoKinetics), while wearing Opal sensors (OS, APDM), and captured using VSTBalance (VB, VirtuSense) simultaneously. Relevant gait parameters (GP) captured: velocity, stride length, total double support, and cadence. Univariate regression modeling and T-tests were used for statistical analysis for each GP. Results: 9 PwMS (69% female, average age =53.1±11.8 years). Regression modeling showed the following relationships: velocity: ZWvsVB (r2 =0.93, p=1.2E-25), ZWvsOS (r2 =0.99, p=6.9E-40), VBvsOS (r2 =0.96, p=1.8E-25) Stride Length: ZWvsVB (r2 =0.32, p=7.8E-25), ZWvsOS (r2 =0.9, p=1.02E-16), VBvsOS (r2 =0.30, p=1.3E-4). Total double support %: ZWvsVB (r2 =0.22, p=1.6E-3), ZWvsOS (r2 =0.87, p=3.2E-20), VBvsOS (r2 =0.27, p=3.9E-4). Cadence: ZWvsVB (r2 =0.18, p=5.3E-3), ZWvsOS (r2 =0.92, p=1.2E-23), VBvsOS (r2 =0.19, p=4.2E-3). T-tests showed the following relationships: velocity: ZWvsVB (p=0.47), ZWvsOS (p=0.21), VBvsOS (p=0.63). Stride Length: ZWvsVB (p=7.25E-6), ZWvsOS (p=0.08), VBvsOS (p=0.001). Total Double Support %: ZWvsVB (p=0.91), ZWvsOS (p=0.01), VBvsOS (p=0.02). Cadence: ZWvsVB (p=5.6E-5), ZWvsOS (p=0.92), VBvsOS (p=6.3E-5). Conclusions: Gait velocity had the strongest concordant relationship between all three technologies. Despite this concordance, there was still ~10% variability of this important measure. Other elements of the gait cycle had sub-optimal cross-device relationships. There was considerable discordance with stride length and cadence (ZWvsVB and OSvsVB), and double support (ZWvsOS and VBvsOS). Inconsistent relationships demonstrate the need to carefully select digital gait outcome measurement devices for PwMS.",Conference Abstract,10.1177/1352458520974937,http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=14770970&id=doi:10.1177%2F1352458520974937&atitle=A+comparison+of+digital+gait+technologies+in+a+population+of+people+with+MS-when+the+same+isn%27t+always+exactly+the+same&stitle=Mult.+Scler.+J.&title=Multiple+Sclerosis+Journal&volume=26&issue=3+SUPPL&spage=127&epage=&aulast=Kaczmarek&aufirst=O.&auinit=O.&aufull=Kaczmarek+O.&coden=&isbn=&pages=127-&date=2020&auinit1=O&auinitm=,Embase,Yes,,,no,Out of scope,,Abstract only,"interesting!!! comparing gait lab and foot-pressure and accelerometer, Review 2 ?"
776,"Hsu, YC; Zhao, Y; Huang, KH; Wu, YT; Cabrera, J; Sun, TL; Tsui, KL",A Novel Approach for Fall Risk Prediction Using the Inertial Sensor Data From the Timed-Up-and-Go Test in a Community Setting,IEEE SENSORS JOURNAL,2020,"Post-strokepatients usually suffer from a higher fall risk. Identifying potential fallers and giving them proper attention could reduce their chance of a fall that results in severe injuries and decreased quality of life. In this study, we introduced a novel approach for fall risk prediction that evaluates Short-form Berg Balance Scale scores via inertial measurement unit data measured from a 3-meter timed-up-and-go test. This approach used sensor technology and was thus easy to implement, and allowed a quantitative analysis of both gait and balance. The results showed that elastic net logistic regression achieved the best performance with 85% accuracy and 88% area under the curve compared with support vector machine, least absolute shrinkage and selection operator (LASSO), and stepwise logistic regression. This paper provides a framework for using sensor-based features together with a feature-selection strategy for screening and predicting the fall risk of post-stroke patients in a convenient setup with high accuracy. The findings of this study will not only enable the assessment of fall risk among post-stroke patients in a cost-effective manner but also provide decision-making support for community care providers and medical professionals in the form of sensor-based data on gait performance.",Article,10.1109/JSEN.2020.2987623,WOS:000550685000050,WoS,No,Out of scope (topic),,yes,,,Out of scope (topic),"no MS patients, interesting (stroke)"
789,"Mohana M., Priyadharshini S., Sowmiya N., Pavithra Devi G.",An IoT based automated communication system for paralyzed patients using simple hand gestures,European Journal of Molecular and Clinical Medicine,2020,"Paralysis is the inability to move muscles on their own. This is caused as a result of damage in the nervous system therefore the message passing between the brain and the muscles is not proper. Paralysis can be caused due to various reasons like diseases like Parkinsons disease, multiple sclerosis, Guillian Barre Syndrome, stroke, etc. It is also caused by accidents which results in the spinal cord injury or broken necks damaging the nervous system. Our proposed system is to help the paralyzed patient to convey the basic requirements and emergency messages by just moving the finger to display the required message in order for the patient to be motivated as much as possible. It also consists of a buzzer to alert the attender when a message is displayed.",Article,NA,http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=25158260&id=doi:&atitle=An+IoT+based+automated+communication+system+for+paralyzed+patients+using+simple+hand+gestures&stitle=Eur.+J.+Mol.+Clin.+Med.&title=European+Journal+of+Molecular+and+Clinical+Medicine&volume=7&issue=4&spage=2681&epage=2686&aulast=Mohana&aufirst=M.&auinit=M.&aufull=Mohana+M.&coden=&isbn=&pages=2681-2686&date=2020&auinit1=M&auinitm=,Embase,No,Out of scope (topic),,yes,,,Out of scope (topic),
793,K. Daunoraviciene,Biomechanical markers of impaired motor coordination,"15th International Conference Mechatronic Systems and Materials, MSM 2020",2020,NA,Conference Paper,10.1109/MSM49833.2020.9201642,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85094193187&origin=inward,Scopus,No,Out of scope (topic),,yes,,Conference paper with sufficient data,included,
798,K.K.V. Mate,Clinically assessed walking capacity versus real-world walking performance in people with multiple sclerosis,International Journal of MS Care,2020,NA,Article,10.7224/1537-2073.2019-047,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85085206461&origin=inward,Scopus,No,Out of scope (topic),,yes,,,included,accelerometer used as outcome measure
809,"Sandroff B.M., Motl R.W.",Device-Measured Physical Activity and Cognitive Processing Speed Impairment in a Large Sample of Persons with Multiple Sclerosis,Journal of the International Neuropsychological Society : JINS,2020,"OBJECTIVE: There is accumulating evidence regarding the beneficial effects of physical activity (PA) on cognitive processing speed in persons with multiple sclerosis (MS). However, one overarching limitation of this research is that researchers have not recruited samples who have the actual problem of being studied (i.e., cognitive processing speed impairment). This study examined associations between device-measured PA and cognitive processing speed in a large sample of persons with MS overall and between those with and without cognitive processing speed impairment. METHOD: Three hundred eighty-five persons with MS underwent the oral Symbol Digit Modalities Test (SDMT) and wore an accelerometer for 7 days for PA measurement. We divided the overall sample into subsamples with (n = 140) and without (n = 245) cognitive processing speed impairment based on age, sex, and education-adjusted SDMT Z-scores. RESULTS: After controlling for age and disability status, higher levels of device-measured PA were significantly associated with faster cognitive processing speed overall, and the association was significantly stronger among persons with MS who presented with cognitive processing speed impairment. CONCLUSIONS: This examination provides initial cross-sectional support for informing the development of PA interventions as a possible approach for managing MS-related cognitive processing speed impairment. This highlights the importance of developing purposefully designed trials involving PA interventions for targeting cognitive processing speed as a primary end point among persons with MS with impaired cognitive processing speed.",Article,10.1017/S1355617720000284,http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=14697661&id=doi:10.1017%2FS1355617720000284&atitle=Device-Measured+Physical+Activity+and+Cognitive+Processing+Speed+Impairment+in+a+Large+Sample+of+Persons+with+Multiple+Sclerosis&stitle=J+Int+Neuropsychol+Soc&title=Journal+of+the+International+Neuropsychological+Society+%3A+JINS&volume=26&issue=8&spage=798&epage=805&aulast=Sandroff&aufirst=Brian+M.&auinit=B.M.&aufull=Sandroff+B.M.&coden=&isbn=&pages=798-805&date=2020&auinit1=B&auinitm=M,Embase,No,Out of scope (topic),,yes,,,included,accelerometer used as outcome measure
827,"Nasseri N.N., Ghezelbash E., Zhai Y., Patra S., Riemann-Lorenz K., Heesen C., Rahn A.C., Stellmann J.-P.",Feasibility of a smartphone app to enhance physical activity in progressive MS: A pilot randomized controlled pilot trial over three months,PeerJ,2020,"Background: People with chronic progressive multiple sclerosis (CPMS) have limited options in medical treatment. Enhancing physical activity (PA) might promote neuroregeneration in multiple sclerosis (MS) and positively influence disability, thus providing an alternative to medical treatment. Previous studies indicate that evidence-based patient information (EBPI) is essential for inducing behavioral change, e.g. enhancing PA. Objective: To investigate feasibility of a smartphone app providing EBPI about the benefit of PA and a simple activity feedback to enhance PA in people with CPMS in a pilot randomized controlled trial over 3 months. Methods: Thirty-eight people with CPMS (mean age 51 years, median Expanded Disability Status Scale 4.0) were 1:1 randomized into either a control group (n = 20) or an intervention group (n = 18). The intervention group received access to a multimedia EBPI app including activity feedback, texts, figures and videos. In the control group, participants received a leaflet with unspecific information about exercising in general. The EPBI itself was designed based on a systematic review. At baseline and after 3 months, all participants underwent clinical performance tests, filled in questionnaires and received an activity monitor (Actigraph(Ò)) for 7 days. The primary endpoint was the rate of responders defined as participants with a 20% increase of physical acitivity (time of moderate or vigiorous PA—MVPA) or 20% increase of the number of steps, both assessed with the activity monitor. As secondary endpoints, we compared accelerometry, performance and questionnaires adjusted for baseline measurments between the groups (ANCOVA). Moreover, we used questionnaires to compare knowledge about exercise (activity requiring physical effort, carried out to improve or improve health and fitness) in MS, usability of the app in general and motivation towards a more active lifestyle after 3 months in both groups. Results: The groups showed significant differences in disease duration and PA according to the Godin–Leisure Time Exercise Questionnaire at baseline. After 3 months, we detected no difference in the rate of responders, which was an overall 22%. However, MVPA significantly increased in both groups (p < 0.001) and the intervention group tended to have a higher motivation towards a more active lifestyle (Cohens D = 0.7, p = 0.09) as measured by the questionnaire. Reponses also showed, that participants appreciated the app but claimed a lack of interactivity as a shortcoming. Conclusion: Just providing information in a multimedia smartphone app did not enhance physical activitiy more than a simple leaflet in this small pilot trial in CPMS. However, the group of app users tended to have a higher motivation towards a more active lifestyle. Overall, the concept of a smartphone app to support an active lifestyle in MS is highly appreciated by participants.",Article,10.7717/PEERJ.9303,http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=21678359&id=doi:10.7717%2Fpeerj.9303&atitle=Feasibility+of+a+smartphone+app+to+enhance+physical+activity+in+progressive+MS%3A+A+pilot+randomized+controlled+pilot+trial+over+three+months&stitle=PeerJ&title=PeerJ&volume=2020&issue=6&spage=&epage=&aulast=Nasseri&aufirst=Navina+N.&auinit=N.N.&aufull=Nasseri+N.N.&coden=&isbn=&pages=-&date=2020&auinit1=N&auinitm=N,Embase,No,Out of scope (topic),,yes,,,included,"accelerometer used as outcome measure, Actigraph"
836,"Cofré Lizama L.E., Bruijn S.M., Galea M.P.",Gait stability at early stages of multiple sclerosis using different data sources,Gait and Posture,2020,"Background: People at early stages of multiple sclerosis have subtle balance problems that may affect gait stability. However, differences in methods of determining stability such as sensor type and placements, may lead to different results and affect their interpretation when comparing to controls and other studies. Questions: Do people with multiple sclerosis (PwMS) exhibit lower gait stability? Do location and type of data used to calculate stability metrics affect comparisons? Methods: 30 PwMS with no walking impairments as clinically measured and 15 healthy controls walked on a treadmill at 1.2 ms(?1) while 3D acceleration data was obtained from sacrum, shoulder and cervical markers and from an accelerometer placed at the sacrum. The local divergence exponent was calculated for the four data sources. An ANOVA with group (multiple sclerosis and control) and data source as main factors was used to determine the effect of disease, data source and their interaction on stability metrics. Results: PwMS walked with significantly less stability according to all sensors (no interaction). A significant effect of data source on stability was also found, indicating that the local divergence exponent derived from sacrum accelerometer was lower than that derived from the other 3 sensor locations. Significance: PwMS with no evident gait impairments are less stable than healthy controls when walking on a treadmill. Although different data sources can be used to determine MS-related stability deterioration, a consensus about location and data source is needed. The local divergence exponent can be a useful measure of progression of gait instability at early stages of MS.",Article,10.1016/J.GAITPOST.2020.02.006,http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=18792219&id=doi:10.1016%2Fj.gaitpost.2020.02.006&atitle=Gait+stability+at+early+stages+of+multiple+sclerosis+using+different+data+sources&stitle=Gait+Posture&title=Gait+and+Posture&volume=77&issue=&spage=214&epage=217&aulast=Cofr%C3%A9+Lizama&aufirst=L.+Eduardo&auinit=L.E.&aufull=Cofr%C3%A9+Lizama+L.E.&coden=GAPOF&isbn=&pages=214-217&date=2020&auinit1=L&auinitm=E,Embase,Yes,,,no,Out of scope,,included,
