"";"Author.Names";"Title";"Source.title";"Publication.Year";"Abstract";"Publication.Type";"DOI";"ID";"database";"yvonne_included";"yvonne_excluded";"yvonne_comments";"catherine_included";"catherine_excluded";"catherine_comment";"johannes_included";"johannes_comment";"tim_included";"tim_comment";"team_decision"
"889";"Creagh A.P., Simillion C., Scotland A., Lipsmeier F., Bernasconi C., Belachew S., van Beek J., Baker M., Gossens C., Lindemann M., De Vos M.";"Smartphone-based remote assessment of upper extremity function for multiple sclerosis using the Draw a Shape Test";"Physiological measurement";2020;"OBJECTIVE: Smartphone devices may enable out-of-clinic assessments in chronic neurological diseases. We describe the Draw a Shape (DaS) Test, a smartphone-based and remotely administered test of Upper Extremity (UE) function developed for people with multiple sclerosis (PwMS). This work introduces DaS-related features that characterise UE function and impairment, and aims to demonstrate how multivariate modelling of these metrics can reliably predict the 9-Hole Peg Test (9HPT), a clinician-administered UE assessment in PwMS. APPROACH: The DaS Test instructed PwMS and healthy controls (HC) to trace predefined shapes on a smartphone screen. A total of 93 subjects (HC, n = 22; PwMS, n = 71) contributed both dominant and non-dominant handed DaS tests. PwMS subjects were characterised as those with normal (nPwMS, n = 50) and abnormal UE function (aPwMS, n = 21) with respect to their average 9HPT time (≤ or > 22.7 (s), respectively). L 1-regularization techniques, combined with linear least squares (OLS, IRLS), or non-linear support vector (SVR) or random forest (RFR) regression were investigated as functions to map relevant DaS features to 9HPT times. MAIN RESULTS: It was observed that average non-dominant handed 9HPT times were more accurately predicted by DaS features (r 2 = 0.41, [Formula: see text] 0.05; MAE: 2.08 ± 0.34 (s)) than average dominant handed 9HPTs (r 2 = 0.39, [Formula: see text] 0.05; MAE: 2.32 ± 0.43 (s)), using simple linear IRLS ([Formula: see text] 0.01). Moreover, it was found that the Mean absolute error (MAE) in predicted 9HPTs was comparable to the variability of actual 9HPT times within HC, nPwMS and aPwMS groups respectively. The 9HPT however exhibited large heteroscedasticity resulting in less stable predictions of longer 9HPT times. SIGNIFICANCE: This study demonstrates the potential of the smartphone-based DaS Test to reliably predict 9HPT times and remotely monitor UE function in PwMS.";"Article";"10.1088/1361-6579/AB8771";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=13616579&id=doi:10.1088%2F1361-6579%2Fab8771&atitle=Smartphone-based+remote+assessment+of+upper+extremity+function+for+multiple+sclerosis+using+the+Draw+a+Shape+Test&stitle=Physiol+Meas&title=Physiological+measurement&volume=41&issue=5&spage=054002&epage=&aulast=Creagh&aufirst=A.P.&auinit=A.P.&aufull=Creagh+A.P.&coden=&isbn=&pages=054002-&date=2020&auinit1=A&auinitm=P";"Embase";"Yes";"";"Biogen";"yes";"";"";NA;NA;NA;NA;NA
"901";"Huang S.-C., Dalla Costa G., Pisa M., Gregoris L., Leccabue G., Congiu M., Comi G., Leocani L.";"The Danger of Walking with Socks: Evidence from Kinematic Analysis in People with Progressive Multiple Sclerosis";"Sensors (Basel, Switzerland)";2020;"Multiple sclerosis (MS) is characterized by gait impairments and severely impacts the quality of life. Technological advances in biomechanics offer objective assessments of gait disabilities in clinical settings. Here we employed wearable sensors to measure electromyography (EMG) and body acceleration during walking and to quantify the altered gait pattern between people with progressive MS (PwPMS) and healthy controls (HCs). Forty consecutive patients attending our department as in-patients were examined together with fifteen healthy controls. All subjects performed the timed 10 min walking test (T10MW) using a wearable accelerator and 8 electrodes attached to bilateral thighs and legs so that body acceleration and EMG activity were recorded. The T10MWs were recorded under three conditions: standard (wearing shoes), reduced grip (wearing socks) and increased cognitive load (backward-counting dual-task). PwPMS showed worse kinematics of gait and increased muscle coactivation than controls at both the thigh and leg levels. Both reduced grip and increased cognitive load caused a reduction in the cadence and velocity of the T10MW, which were correlated with one another. A higher coactivation index at the thigh level of the more affected side was positively correlated with the time of the T10MW (r = 0.5, p < 0.01), Expanded Disability Status Scale (EDSS) (r = 0.4, p < 0.05), and negatively correlated with the cadence (r = -0.6, p < 0.001). Our results suggest that excessive coactivation at the thigh level is the major determinant of the gait performance as the disease progresses. Moreover, demanding walking conditions do not influence gait in controls but deteriorate walking performances in PwPMS, thus those conditions should be prevented during hospital examinations as well as in homecare environments.";"Article";"10.3390/S20216160";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=14248220&id=doi:10.3390%2Fs20216160&atitle=The+Danger+of+Walking+with+Socks%3A+Evidence+from+Kinematic+Analysis+in+People+with+Progressive+Multiple+Sclerosis&stitle=Sensors+%28Basel%29&title=Sensors+%28Basel%2C+Switzerland%29&volume=20&issue=21&spage=&epage=&aulast=Huang&aufirst=Su-Chun&auinit=S.-C.&aufull=Huang+S.-C.&coden=&isbn=&pages=-&date=2020&auinit1=S&auinitm=-C";"Embase";"No";"Out of scope (topic)";"";"yes";"";"";"Included";"";"included";"ACC + EMG";NA
"904";"Shalmoni N., Kalron A.";"The immediate effect of stroboscopic visual training on information-processing time in people with multiple sclerosis: an exploratory study";"Journal of Neural Transmission";2020;"Stroboscopic visual training (SVT) is a form of training aimed at improving visual and perceptual performance by having individuals perform activities under conditions of intermittent vision. The efficacy of SVT has never been examined in people with multiple sclerosis (PwMS), therefore, our aim was to examine the immediate effect of SVT on cognitive function, gait and static balance performance in PwMS. This assessor-blinded, randomized crossover study included 26 PwMS, 16 females, mean age 47.9 and median EDSS score 4.5. Participants attended two sessions: SVT and control training. Exercises for both the SVT and control sessions were based on ball-catching tasks. Training sessions were identical in length (40–50 min) and type of exercise drills. The difference between the two practice regimes was that the SVT session was performed wearing stroboscopic glasses and the control training was performed with similar glasses without lenses. Cognition was evaluated by a computerized software (Mindstreams(®), NeuroTrax Corp., NY). Gait and balance were evaluated via wearable accelerometers (APDM, Oregon, USA). Outcome measures were collected twice during a single session, prior to training and immediately afterward. Information processing speed (p = 0.003) increased at the post-evaluation compared with baseline, solely in the SVT session. No differences between pre–post evaluations were observed for other cognitive scores following the SVT session. No differences between pre–post measurements were noted for gait and balance following the SVT session. The present study’s results justify performing future RCT studies to examine the effects of a longer SVT program on cognition in PwMS.";"Article";"10.1007/S00702-020-02190-2";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=14351463&id=doi:10.1007%2Fs00702-020-02190-2&atitle=The+immediate+effect+of+stroboscopic+visual+training+on+information-processing+time+in+people+with+multiple+sclerosis%3A+an+exploratory+study&stitle=J.+Neural+Transm.&title=Journal+of+Neural+Transmission&volume=127&issue=8&spage=1125&epage=1131&aulast=Shalmoni&aufirst=Nov&auinit=N.&aufull=Shalmoni+N.&coden=JNTRF&isbn=&pages=1125-1131&date=2020&auinit1=N&auinitm=";"Embase";"No";"Out of scope (topic)";"";"yes";"";"";"Out of scope (topic)";"";"included";"accelerometer used as outcome measure";"in"
"906";"Karle V., Hartung V., Ivanovska K., Mäurer M., Flachenecker P., Pfeifer K., Tallner A.";"The two-minute walk test in persons with multiple sclerosis: Correlations of cadence with free-living walking do not support ecological validity";"International Journal of Environmental Research and Public Health";2020;"The two-minute walk test (2MWT) is a frequently used walking capacity test in persons with multiple sclerosis (pwMS). However, less is known about its relevance with regards to walking capacity during free-living walking performance. Therefore, the ecological validity of the 2MWT was tested by 1. computing free-living minutes with the same intensity (cadence) as during the 2MWT and 2. investigating the relationship between 2MWT cadence and minutes with the same cadence during free-living walking. 20 pwMS aged 44.2 ± 12.2 (Expanded Disability Status Scale (EDSS) score of 3.1 ± 1.4) performed a 2MWT and wore an accelerometer for seven days. The number of pwMS reaching 100%, 90%, 80% or 70% of 2MWT cadence for at least one minute a day and minutes/day with at least 100%, 90%, 80% and 70% of 2MWT cadence during free-living walking was calculated. Six participants reached 100% of the 2MWT cadence for at least one minute/day during free-living walking. A total of 80% 2MWT cadence was the first intensity category that was reached by all participants during free-living walking. No significant correlation was found between cadence in the 2MWT and minutes in which this cadence was reached during free-living walking. Ecological validity with regard to walking intensity could not be confirmed in our study sample.";"Article";"10.3390/IJERPH17239044";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=16604601&id=doi:10.3390%2Fijerph17239044&atitle=The+two-minute+walk+test+in+persons+with+multiple+sclerosis%3A+Correlations+of+cadence+with+free-living+walking+do+not+support+ecological+validity&stitle=Int.+J.+Environ.+Res.+Public+Health&title=International+Journal+of+Environmental+Research+and+Public+Health&volume=17&issue=23&spage=1&epage=11&aulast=Karle&aufirst=Viktoria&auinit=V.&aufull=Karle+V.&coden=&isbn=&pages=1-11&date=2020&auinit1=V&auinitm=";"Embase";"Yes";"";"";"no";"Out of scope";"";"Included";"";"included";"";NA
"911";"Craig J.J., Bruetsch A.P., Lynch S.G., Huisinga J.M.";"Trunk and foot acceleration variability during walking relates to fall history and clinical disability in persons with multiple sclerosis";"Clinical Biomechanics";2020;"Background: Persons with multiple sclerosis are often at higher risk for falling, but clinical disability scales and fall risk questionnaires are subjective and don't provide specific feedback about why an individual is unstable. The purpose of this study was to determine how relationships between trunk and foot acceleration variability relate to physiological impairments, clinical disability scales, and mobility questionnaires in persons with multiple sclerosis. Methods: 15 fallers and 25 non-fallers with multiple sclerosis walked on a treadmill at normal walking speed while trunk and foot accelerations were recorded with wireless accelerometers and variability measures were extracted and used to calculate the gait stability index metrics as a ratio of trunk acceleration variability divided foot acceleration variability. Subjects' sensorimotor delays and lower extremity vibration sensitivity were tested. Subjects also completed clinical disability scales (Guy's Neurological Disability Scale and Patient Reported Expanded Disability Status Scale) and mobility questionnaires (Falls Efficacy Scale, Activities Balance Confidence Scale, 12 Item Multiple Sclerosis Walk Scale). Findings: Multiple gait stability index metrics were significantly correlated with clinical measures of disability and mobility in multiple sclerosis subjects (r = 0.354–0.528), but no correlations were found for sensorimotor delays or lower extremity sensation. Multiple gait stability indices performed at least as well as clinical questionnaires for separating fallers from non-fallers. Interpretation: The gait stability indices can potentially be used outside of a laboratory setting to measure walking characteristics related to fall history and disability level in people with multiple sclerosis.";"Article";"10.1016/J.CLINBIOMECH.2020.105100";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=18791271&id=doi:10.1016%2Fj.clinbiomech.2020.105100&atitle=Trunk+and+foot+acceleration+variability+during+walking+relates+to+fall+history+and+clinical+disability+in+persons+with+multiple+sclerosis&stitle=Clin.+Biomech.&title=Clinical+Biomechanics&volume=80&issue=&spage=&epage=&aulast=Craig&aufirst=Jordan+J.&auinit=J.J.&aufull=Craig+J.J.&coden=CLBIE&isbn=&pages=-&date=2020&auinit1=J&auinitm=J";"Embase";"No";"Out of scope (topic)";"";"yes";"";"";"Included";"";"included";"";NA
"912";"Loyd B.J., Saviers-Steiger J., Fangman A., Ballard P., Taylor C., Schubert M., Dibble L.";"Turning Toward Monitoring of Gaze Stability Exercises: The Utility of Wearable Sensors";"Journal of neurologic physical therapy : JNPT";2020;"BACKGROUND AND PURPOSE: Few tools are currently available to quantify gaze stability retraining exercises. This project examined the utility of a head-worn inertial measurement unit (IMU) to quantify head movement frequency, velocity, and amplitude during gaze stability exercises. METHODS: Twenty-eight individuals with multiple sclerosis and complaints of dizziness or a history of falls were randomly assigned to either a strength and aerobic exercise (SAE) or gaze and postural stability (GPS) group. During a 6-week intervention, participants wore a head-mounted IMU 3 times (early, middle, and late). For aim 1, the frequency, mean peak velocity, and mean peak amplitude of head turns during equivalent duration components of group-specific exercises were compared using general linear models. For aim 2, the progression of treatment in the GPS group was examined using general linear regression models for each outcome. RESULTS: Aim 1 revealed the GPS group demonstrated significantly greater velocity and amplitude head turns during treatment than the SAE group. The frequency of head turns did not significantly differ between the 2 groups. The aim 2 analyses demonstrated that the yaw and pitch frequency of head turns significantly increased during gaze stability exercises over the 6-week intervention. Velocity and amplitude of head turns during yaw and pitch gaze stability exercises did not significantly change. DISCUSSION AND CONCLUSIONS: A head-worn IMU during rehabilitation distinguished between groups. Furthermore, within the GPS group, the IMU quantified the progression of the frequency of head movements during gaze stability exercises over time.Video Abstract available for more insights from the authors (see the Video, Supplemental Digital Content 1, available at: http://links.lww.com/JNPT/A320).";"Article";"10.1097/NPT.0000000000000329";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=15570584&id=doi:10.1097%2FNPT.0000000000000329&atitle=Turning+Toward+Monitoring+of+Gaze+Stability+Exercises%3A+The+Utility+of+Wearable+Sensors&stitle=J+Neurol+Phys+Ther&title=Journal+of+neurologic+physical+therapy+%3A+JNPT&volume=44&issue=4&spage=261&epage=267&aulast=Loyd&aufirst=Brian+J.&auinit=B.J.&aufull=Loyd+B.J.&coden=&isbn=&pages=261-267&date=2020&auinit1=B&auinitm=J";"Embase";"Yes";"";"";"no";"Out of scope";"Occulomotor assessment";"Included";"";"Out of scope (topic)";"";"in"
"919";"Pilloni G., Choi C., Shaw M.T., Coghe G., Krupp L., Moffat M., Cocco E., Pau M., Charvet L.";"Walking in multiple sclerosis improves with tDCS: a randomized, double-blind, sham-controlled study";"Annals of Clinical and Translational Neurology";2020;"Objective: To evaluate whether multiple sessions of transcranial direct current stimulation (tDCS) applied to the primary motor (M1) cortex paired with aerobic exercise can improve walking functions in multiple sclerosis (MS). Methods: MS participants were recruited for a double-blind, parallel-arm, randomized, sham-controlled trial and assigned to 10 sessions (5 d/wk for 2 weeks) of either active or sham tDCS paired with unloaded cycling for 20 minutes. Stimulation was administered over the left M1 cortex (2.5 mA; anode over C3/cathode over FP2). Gait spatiotemporal parameters were assessed using a wearable inertial sensor (10-meter and 2-minute walking tests). Measurements were collected at baseline, end of tDCS intervention, and 4-week postintervention to test for duration of any benefits. Results: A total of 15 participants completed the study, nine in the active and six in the sham condition. The active and sham groups were matched according to gender (50% vs. 40% female), neurologic disability (median EDSS 5.5 vs. 5), and age (mean 52.1 ± 12.9 vs. 53.7 ± 9.8 years). The active group had a significantly greater increase in gait speed (0.87 vs. 1.20 m/s, p < 0.001) and distance covered during the 2-minute walking test (118.53 vs. 133.06 m, p < 0.001) at intervention end compared to baseline. At 4-week follow-up, these improvements were maintained (baseline vs. follow-up: gait speed 0.87 vs. 1.18 m/s, p < 0.001; distance traveled 118.53 vs. 143.82 m, p < 0.001). Interpretation: Multiple sessions of tDCS paired with aerobic exercise lead to cumulative and persisting improvements in walking and endurance in patients with MS.";"Article";"10.1002/ACN3.51224";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=23289503&id=doi:10.1002%2Facn3.51224&atitle=Walking+in+multiple+sclerosis+improves+with+tDCS%3A+a+randomized%2C+double-blind%2C+sham-controlled+study&stitle=Ann.+Clin.+Transl.+Neurol.&title=Annals+of+Clinical+and+Translational+Neurology&volume=7&issue=11&spage=2310&epage=2319&aulast=Pilloni&aufirst=Giuseppina&auinit=G.&aufull=Pilloni+G.&coden=&isbn=&pages=2310-2319&date=2020&auinit1=G&auinitm=";"Embase";"No";"Out of scope (topic)";"";"yes";"";"Clinical trial that assess the effect of tDCS with wearable sensors";"Out of scope (topic)";"";"included";"";"in"
"925";"Angelini L., Hodgkinson W., Smith C., Dodd J.M., Sharrack B., Mazzà C., Paling D.";"Wearable sensors can reliably quantify gait alterations associated with disability in people with progressive multiple sclerosis in a clinical setting";"Journal of Neurology";2020;"Gait disability in people with progressive multiple sclerosis (MS) is difficult to quantify using existing clinical tools. This study aims to identify reliable and objective gait-based biomarkers to monitor progressive multiple sclerosis (MS) in clinical settings. During routine clinical visits, 57 people with secondary progressive MS and 24 healthy controls walked for 6 minutes wearing three inertial motion sensors. Fifteen gait measures were computed from the sensor data and tested for between-session reliability, for differences between controls and people with moderate and severe MS disability, and for correlation with Expanded Disability Status Scale (EDSS) scores. The majority of gait measures showed good to excellent between-session reliability when assessed in a subgroup of 23 healthy controls and 25 people with MS. These measures showed that people with MS walked with significantly longer step and stride durations, reduced step and stride regularity, and experienced difficulties in controlling and maintaining a stable walk when compared to controls. These abnormalities significantly increased in people with a higher level of disability and correlated with their EDSS scores. Reliable and objective gait-based biomarkers using wearable sensors have been identified. These biomarkers may allow clinicians to quantify clinically relevant alterations in gait in people with progressive MS within the context of regular clinical visits.";"Article";"10.1007/S00415-020-09928-8";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=14321459&id=doi:10.1007%2Fs00415-020-09928-8&atitle=Wearable+sensors+can+reliably+quantify+gait+alterations+associated+with+disability+in+people+with+progressive+multiple+sclerosis+in+a+clinical+setting&stitle=J.+Neurol.&title=Journal+of+Neurology&volume=267&issue=10&spage=2897&epage=2909&aulast=Angelini&aufirst=Lorenza&auinit=L.&aufull=Angelini+L.&coden=JNRYA&isbn=&pages=2897-2909&date=2020&auinit1=L&auinitm=";"Embase";"Yes";"";"";"yes";"";"";NA;NA;NA;NA;NA
"928";"Meyer B.M., Tulipani L.J., Gurchiek R.D., Allen D.A., Adamowicz L., Larie D., Solomon A.J., Cheney N., McGinnis R.";"Wearables and Deep Learning Classify Fall Risk from Gait in Multiple Sclerosis";"IEEE journal of biomedical and health informatics";2020;"Falls are a significant problem for persons with multiple sclerosis (PwMS). Yet fall prevention interventions are not often prescribed until after a fall has been reported to a healthcare provider. While still nascent, objective fall risk assessments could help in prescribing preventative interventions. To this end, retrospective fall status classification commonly serves as an intermediate step in developing prospective fall risk assessments. Previous research has identified measures of gait biomechanics that differ between PwMS who have fallen and those who have not, but these biomechanical indices have not yet been leveraged to detect PwMS who have fallen. Moreover, they require the use of laboratory-based measurement technologies, which prevent clinical deployment. Here we demonstrate that a bidirectional long short-term (BiLSTM) memory deep neural network was able to identify PwMS who have recently fallen with good performance (AUC of 0.88) based on accelerometer data recorded from two wearable sensors during a one-minute walking task. These results provide substantial improvements over machine learning models trained on spatiotemporal gait parameters (21% improvement in AUC), statistical features from the wearable sensor data (16%), and patient-reported (19%) and neurologist-administered (24%) measures in this sample. The success and simplicity (two wearable sensors, only one-minute of walking) of this approach indicates the promise of inexpensive wearable sensors for capturing fall risk in PwMS.";"Article in Press";"10.1109/JBHI.2020.3025049";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=21682208&id=doi:10.1109%2FJBHI.2020.3025049&atitle=Wearables+and+Deep+Learning+Classify+Fall+Risk+from+Gait+in+Multiple+Sclerosis&stitle=IEEE+J+Biomed+Health+Inform&title=IEEE+journal+of+biomedical+and+health+informatics&volume=PP&issue=&spage=&epage=&aulast=Meyer&aufirst=Brett+M.&auinit=B.M.&aufull=Meyer+B.M.&coden=&isbn=&pages=-&date=2020&auinit1=B&auinitm=M";"Embase";"Yes";"";"";"yes";"";"";NA;NA;NA;NA;NA
"933";"Angelini L., Buckley E., Bonci T., Radford A., Sharrack B., Paling D., Nair K.P.S., Mazza C.";"A Multifactorial Model of Multiple Sclerosis Gait and its Changes Across Different Disability Levels";"IEEE Transactions on Biomedical Engineering";2021;"Objective: Mobility assessment is critical in the clinical management of people with Multiple Sclerosis (pwMS). Instrumented gait analysis provides a plethora of metrics for quantifying concurrent factors contributing to gait deterioration. However, a gait model discriminating underlying features contributing to this deterioration is lacking in pwMS. This study aimed at developing and validating such a model. Methods: The gait of 24 healthy controls and 114 pwMS with mild, moderate, or severe disability was measured with inertial sensors on the shanks and lower trunk while walking for 6 minutes along a hospital corridor. Twenty out of thirty-six initially explored metrics computed from the sensor data met the quality criteria for exploratory factor analysis. This analysis provided the sought model, which underwent a confirmatory factor analysis before being used to characterize gait impairment across the three disability groups. Results: A gait model consisting of five domains (rhythm/variability, pace, asymmetry, and forward and lateral dynamic balance) was revealed by the factor analysis, which was able to highlight gait abnormalities across the disability groups: significant alterations in rhythm/variability-, asymmetry-, and pace-based features were present in the mild group, but these were more profound in the moderate and severe groups. Deterioration in dynamic balance-based features was only noted in pwMS with a moderate and severe disability. Conclusion: A conceptual model of gait for disease-specific mobility assessment in pwMS was successfully developed and tested. Significance: The new model, built with metrics that represent gait impairment in pwMS, highlighted clinically relevant changes across different disability levels, including those with no clinically observable walking disability. This shows the clear potential as a monitoring biomarker in pwMS.";"Article in Press";"10.1109/TBME.2021.3061998";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=15582531&id=doi:10.1109%2FTBME.2021.3061998&atitle=A+Multifactorial+Model+of+Multiple+Sclerosis+Gait+and+its+Changes+Across+Different+Disability+Levels&stitle=IEEE+Trans.+Biomed.+Eng.&title=IEEE+Transactions+on+Biomedical+Engineering&volume=&issue=&spage=&epage=&aulast=Angelini&aufirst=Lorenza&auinit=L.&aufull=Angelini+L.&coden=IEBEA&isbn=&pages=-&date=2021&auinit1=L&auinitm=";"Embase";"Yes";"";"";"yes";"";"";NA;NA;NA;NA;NA
"936";"Abbadessa G., Lavorgna L., Miele G., Mignone A., Signoriello E., Lus G., Clerico M., Sparaco M., Bonavita S.";"Assessment of multiple sclerosis disability progression using a wearable biosensor: A pilot study";"Journal of Clinical Medicine";2021;"Background: The evaluation of walking activity of people with multiple sclerosis (pwMS) is desirable. We evaluate the power of the correlation of motor parameters detected by the accelerometer in the Samsung Gear S2 smartwatch with multiple sclerosis (MS) disability measures and patient reported outcomes (PROs). Methods: We enrolled 25 relapsing remitting MS patients. We assessed disability with the expanded disability status scale, two-minute walking test (2MWT), timed 25-foot walk test (T25FWT), and nine-hole peg test. We collected PROs measuring fatigue, ambulatory ability, depression, quality of life, and bladder/bowel function. Participants were asked to wear the accelerometer for a period of 30 days. Results: The Spearman’s rank correlation coefficient showed a moderate negative correlation between the patient-determined disease steps (PDDS) score with the mean steps/day, a strong negative correlation between the PDDS score with the maximum number of daily steps (MNDS) and a moderate negative correlation between the fatigue severity scale score and MNDS. A moderate negative correlation between MNDS and the 2MWT and a moderate negative correlation between MNDS and the T25FW was found. Conclusion: Our results suggest that motor parameters derived from the accelerometer could be a reliable measure of motor disability in pwMS.";"Article";"10.3390/JCM10061160";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=20770383&id=doi:10.3390%2Fjcm10061160&atitle=Assessment+of+multiple+sclerosis+disability+progression+using+a+wearable+biosensor%3A+A+pilot+study&stitle=J.+Clin.+Med.&title=Journal+of+Clinical+Medicine&volume=10&issue=6&spage=1&epage=8&aulast=Abbadessa&aufirst=Gianmarco&auinit=G.&aufull=Abbadessa+G.&coden=&isbn=&pages=1-8&date=2021&auinit1=G&auinitm=";"Embase";"Yes";"";"";"yes";"";"";NA;NA;NA;NA;NA
"937";"Krysko K.M., Akhbardeh A., Arjona J., Nourbakhsh B., Waubant E., Antoine Gourraud P., Graves J.S.";"Biosensor vital sign detects multiple sclerosis progression";"Annals of Clinical and Translational Neurology";2021;"Objective: To determine whether a small, wearable multisensor device can discriminate between progressive versus relapsing multiple sclerosis (MS) and capture limb progression over a short interval, using finger and foot tap data. Methods: Patients with MS were followed prospectively during routine clinic visits approximately every 6 months. At each visit, participants performed finger and foot taps wearing the MYO-band, which includes accelerometer, gyroscope, and surface electromyogram sensors. Metrics of within-patient limb progression were created by combining the change in signal waveform features over time. The resulting upper (UE) and lower (LE) extremity metrics’ discrimination of progressive versus relapsing MS were evaluated with calculation of AUROC. Comparisons with Expanded Disability Status Scale (EDSS) scores were made with Pearson correlation. Results: Participants included 53 relapsing and 15 progressive MS (72% female, baseline mean age 48 years, median disease duration 11 years, median EDSS 2.5, median 10 months follow-up). The final summary metrics differentiated relapsing from secondary progressive MS with AUROC UE 0.93 and LE 0.96. The metrics were associated with baseline EDSS (UE P = 0.0003, LE P = 0.0007). While most had no change in EDSS during the short follow-up, several had evidence of progression by the multisensor metrics. Interpretation: Within a short follow-up interval, this novel multisensor algorithm distinguished progressive from relapsing MS and captured changes in limb function. Inexpensive, noninvasive and easy to use, this novel outcome is readily adaptable to clinical practice and trials as a MS vital sign. This approach also holds promise to monitor limb dysfunction in other neurological diseases.";"Article";"10.1002/ACN3.51187";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=23289503&id=doi:10.1002%2Facn3.51187&atitle=Biosensor+vital+sign+detects+multiple+sclerosis+progression&stitle=Ann.+Clin.+Transl.+Neurol.&title=Annals+of+Clinical+and+Translational+Neurology&volume=8&issue=1&spage=4&epage=14&aulast=Krysko&aufirst=Kristen+M.&auinit=K.M.&aufull=Krysko+K.M.&coden=&isbn=&pages=4-14&date=2021&auinit1=K&auinitm=M";"Embase";"Yes";"";"";"yes";"";"";NA;NA;NA;NA;NA
"938";"Shah V.V., McNames J., Harker G., Curtze C., Carlson-Kuhta P., Spain R.I., El-Gohary M., Mancini M., Horak F.B.";"Does gait bout definition influence the ability to discriminate gait quality between people with and without multiple sclerosis during daily life?";"Gait and Posture";2021;"Background: There is currently no consensus about standardized gait bout definitions when passively monitoring walking during normal daily life activities. It is also not known how different definitions of a gait bout in daily life monitoring affects the ability to distinguish pathological gait quality. Specifically, how many seconds of a pause with no walking indicates an end to one gait bout and the start of another bout? In this study, we investigated the effect of 3 gait bout definitions on the discriminative ability to distinguish quality of walking in people with multiple sclerosis (MS) from healthy control subjects (HC) during a week of daily living. Methods: 15 subjects with MS and 16 HC wore instrumented socks on each foot and one Opal sensor over the lower lumbar area for a week of daily activities for at least 8 h/day. Three gait bout definitions were based on the length of the pause between the end of one gait bout and start of another bout (1.25 s, 2.50 s, and 5.0 s pause). Area under the curve (AUC) was used to compare gait quality measures in MS versus HC. Results: Total number of gait bouts over the week were statistically significantly different across bout definitions, as expected. However, AUCs of gait quality measures (such as gait speed, stride length, stride time) discriminating people with MS from HC were not different despite the 3 bout definitions. Significance: Quality of gait measures that discriminate MS from HC during daily life are not influenced by the length of a gait bout, despite large differences in quantity of gait across bout definitions. Thus, gait quality measures in people with MS versus controls can be compared across studies using different gait bout definitions with pause lengths ?5 s.";"Article";"10.1016/J.GAITPOST.2020.11.024";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=18792219&id=doi:10.1016%2Fj.gaitpost.2020.11.024&atitle=Does+gait+bout+definition+influence+the+ability+to+discriminate+gait+quality+between+people+with+and+without+multiple+sclerosis+during+daily+life%3F&stitle=Gait+Posture&title=Gait+and+Posture&volume=84&issue=&spage=108&epage=113&aulast=Shah&aufirst=Vrutangkumar+V.&auinit=V.V.&aufull=Shah+V.V.&coden=GAPOF&isbn=&pages=108-113&date=2021&auinit1=V&auinitm=V";"Embase";"No";"Out of scope (topic)";"";"yes";"";"";"Included";"";"included";"";NA
